TimeZone;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris
DateTime;Test case 0;Test case 1;Test case 8;Test case 9;Test case 6;Test case 7;Test case 4;Test case 5;Test case 2;Test case 3
Jan 1, 2050 12:00 AM;-13,0857;-10,1053;-8,2451;-0,7281;2,3909;-6,2962;-1,8881;-4,5658;-5,8357;-6,0152
Jan 1, 2050 1:00 AM;-13,0857;-10,1053;-8,2451;-0,7281;2,3909;-6,2962;-1,8881;-4,5658;-5,8357;-6,0152
Jan 1, 2050 2:00 AM;-13,4858;-10,6722;-8,1968;-0,8021;2,7295;-6,3983;-1,6906;-4,2903;-5,9817;-6,4116
Jan 1, 2050 3:00 AM;-13,8573;-11,147;-8,0605;-0,7991;3,1164;-6,5312;-1,5462;-4,1537;-6,0749;-6,7669
Jan 1, 2050 4:00 AM;-14,0053;-11,5516;-7,7076;-0,8964;3,3637;-6,7704;-1,5107;-4,1039;-6,0534;-7,0468
Jan 1, 2050 5:00 AM;-14,0221;-11,929;-7,3896;-1,1156;3,4824;-7,1063;-1,6234;-4,2682;-5,9639;-7,2868
Jan 1, 2050 6:00 AM;-13,9053;-12,1431;-7,2047;-1,1385;3,6767;-7,4465;-1,7656;-4,5324;-5,8156;-7,6153
Jan 1, 2050 7:00 AM;-13,5311;-12,0409;-7,0944;-1,1853;3,8433;-7,754;-1,8865;-4,6947;-5,6069;-8,01
Jan 1, 2050 8:00 AM;-12,078;-11,2291;-6,5348;-0,5971;4,0958;-7,3749;-1,4102;-4,0768;-4,677;-7,6964
Jan 1, 2050 9:00 AM;-8,5624;-9,2073;-5,1086;0,7224;4,6043;-5,6277;0,0335;-2,0332;-2,7496;-5,7033
Jan 1, 2050 10:00 AM;-5,3784;-7,1681;-3,6488;1,6422;5,1958;-3,9729;1,3229;-0,736;-1,037;-3,9397
Jan 1, 2050 11:00 AM;-3,5267;-5,9657;-2,3994;2,4223;5,7874;-2,7864;2,0802;-0,4042;0,2293;-2,7409
Jan 1, 2050 12:00 PM;-2,2208;-5,1956;-1,4734;2,9035;6,3236;-2,1182;2,4434;-0,2931;1,0603;-2,0973
Jan 1, 2050 1:00 PM;-1,5534;-4,9005;-1,0455;2,9493;6,5138;-2,0477;2,4812;-0,3424;1,4197;-2,0026
Jan 1, 2050 2:00 PM;-1,635;-5,1888;-1,2427;2,5063;6,2816;-2,4951;2,1241;-0,5292;1,2027;-2,4355
Jan 1, 2050 3:00 PM;-2,5892;-6,2626;-2,1775;1,3104;5,4541;-3,6822;1,1787;-0,8239;-0,0155;-3,7108
Jan 1, 2050 4:00 PM;-3,8701;-8,0093;-3,5051;0,3301;4,6338;-5,75;-0,064;-1,4744;-1,2524;-5,8878
Jan 1, 2050 5:00 PM;-4,6557;-9,1202;-4,3884;0,1443;4,1307;-7,0988;-0,9707;-2,231;-1,293;-7,2053
Jan 1, 2050 6:00 PM;-5,2555;-9,7311;-5,0567;0,0619;3,6704;-7,9757;-1,5753;-2,8499;-1,2718;-7,7846
Jan 1, 2050 7:00 PM;-5,6284;-10,0918;-5,6393;0,0186;3,1749;-8,7217;-1,9295;-3,2818;-1,4391;-7,9446
Jan 1, 2050 8:00 PM;-5,6587;-10,2513;-6,1029;-0,0421;2,5679;-9,2385;-2,2318;-3,5849;-1,573;-7,9468
Jan 1, 2050 9:00 PM;-5,3594;-10,302;-6,528;-0,1885;1,8141;-9,5544;-2,5107;-3,7638;-1,4833;-7,9511
Jan 1, 2050 10:00 PM;-5,0604;-10,2042;-6,9346;-0,2804;1,1116;-9,757;-2,5544;-3,802;-1,1931;-8,0247
Jan 1, 2050 11:00 PM;-4,9234;-9,8311;-7,4051;-0,4044;0,4404;-9,871;-2,3176;-3,746;-0,8447;-8,2062
Jan 2, 2050 12:00 AM;-4,9217;-9,3401;-7,9295;-0,6186;-0,1907;-9,9311;-1,8335;-3,7255;-0,4636;-8,4136
Jan 2, 2050 1:00 AM;-5,0063;-8,9457;-8,3681;-0,8604;-0,8089;-10,0232;-1,284;-3,661;-0,0922;-8,6739
Jan 2, 2050 2:00 AM;-5,2329;-8,6398;-8,8004;-1,0965;-1,4194;-10,2163;-0,746;-3,6271;0,2514;-8,9588
Jan 2, 2050 3:00 AM;-5,6023;-8,4105;-9,1271;-1,3852;-1,9861;-10,341;-0,2349;-3,6276;0,5261;-9,221
Jan 2, 2050 4:00 AM;-6,0936;-8,171;-9,3508;-1,82;-2,3879;-10,4417;0,2024;-3,5531;0,9045;-9,346
Jan 2, 2050 5:00 AM;-6,7511;-7,9347;-9,4881;-2,3228;-2,6631;-10,5262;0,6116;-3,417;1,4872;-9,3814
Jan 2, 2050 6:00 AM;-7,2992;-7,7039;-9,5885;-2,7977;-2,7265;-10,5882;1,0501;-3,2756;2,0322;-9,3464
Jan 2, 2050 7:00 AM;-7,4876;-7,5017;-9,6892;-3,2389;-2,5771;-10,5571;1,2908;-3,1345;2,3883;-9,2834
Jan 2, 2050 8:00 AM;-6,5414;-6,8979;-8,938;-3,4553;-1,6097;-9,6286;1,8711;-2,8204;3,0532;-8,6352
Jan 2, 2050 9:00 AM;-4,1827;-5,2786;-6,5249;-3,4176;-0,1682;-7,4436;2,8128;-2,2066;4,2437;-7,136
Jan 2, 2050 10:00 AM;-2,4682;-3,8305;-4,2719;-3,4154;0,5581;-5,677;3,3912;-1,7422;5,1523;-5,9335
Jan 2, 2050 11:00 AM;-1,2583;-3,0784;-3,0029;-3,4519;0,7961;-4,231;3,7579;-1,4901;5,6323;-5,0427
Jan 2, 2050 12:00 PM;-0,5487;-2,76;-2,4069;-3,5899;0,779;-3,3971;3,9459;-1,393;5,6846;-4,6732
Jan 2, 2050 1:00 PM;-0,2424;-2,8776;-2,4626;-3,8435;0,7823;-3,1853;3,7486;-1,4318;5,1923;-4,7604
Jan 2, 2050 2:00 PM;-0,3842;-3,3391;-3,0624;-4,1813;0,3897;-3,5526;3,087;-1,6147;4,1879;-5,2656
Jan 2, 2050 3:00 PM;-1,1428;-4,3243;-4,1786;-4,5945;-0,2337;-4,7946;1,9904;-1,9333;3,5457;-6,2971
Jan 2, 2050 4:00 PM;-3,0489;-5,6724;-5,7286;-5,013;-0,763;-6,6473;1,0226;-2,2537;3,2453;-7,5553
Jan 2, 2050 5:00 PM;-3,9425;-6,5416;-6,7537;-5,3381;-1,0519;-7,5589;0,4815;-2,4226;3,1587;-8,4616
Jan 2, 2050 6:00 PM;-4,124;-7,1263;-7,3959;-5,6022;-1,3076;-7,7434;-0,0582;-2,5339;3,1567;-9,0838
Jan 2, 2050 7:00 PM;-4,076;-7,6297;-8,0049;-5,8174;-1,5714;-7,6135;-0,5406;-2,6325;3,2906;-9,5451
Jan 2, 2050 8:00 PM;-3,8361;-8,084;-8,3775;-6,0477;-1,8088;-7,549;-1,0469;-2,7016;3,4292;-9,951
Jan 2, 2050 9:00 PM;-3,4819;-8,4737;-8,5819;-6,3032;-2,0024;-7,4747;-1,6438;-2,7585;3,4343;-10,3642
Jan 2, 2050 10:00 PM;-3,2797;-8,7073;-8,6594;-6,5291;-2,0694;-7,3717;-2,1257;-2,795;3,4494;-10,7145
Jan 2, 2050 11:00 PM;-3,3864;-8,852;-8,7382;-6,7825;-2,1129;-7,2655;-2,3657;-2,8266;3,4995;-10,9799
Jan 3, 2050 12:00 AM;-3,7699;-9,036;-8,9251;-7,0368;-2,1425;-7,2245;-2,5389;-2,9007;3,4945;-11,2319
Jan 3, 2050 1:00 AM;-4,1965;-9,3377;-9,1298;-7,3091;-2,1187;-7,2602;-2,7171;-3,0049;3,4851;-11,4168
Jan 3, 2050 2:00 AM;-3,9318;-9,7233;-9,3437;-7,5888;-2,0381;-7,3828;-2,8695;-3,1197;3,4344;-11,5818
Jan 3, 2050 3:00 AM;-3,2342;-10,1367;-9,6146;-7,8937;-1,9441;-7,5608;-2,9932;-3,2495;3,2142;-11,7835
Jan 3, 2050 4:00 AM;-2,7639;-10,6106;-9,8996;-8,2985;-1,8212;-7,7449;-3,0562;-3,4269;3,0242;-12,0157
Jan 3, 2050 5:00 AM;-2,6076;-11,1626;-10,1742;-8,7153;-1,7317;-7,9184;-3,0752;-3,6009;2,8625;-12,22
Jan 3, 2050 6:00 AM;-2,5157;-11,8141;-10,5064;-9,0424;-1,6605;-8,0671;-3,0467;-3,7087;2,7366;-12,4258
Jan 3, 2050 7:00 AM;-2,4625;-12,4025;-10,856;-9,2644;-1,6344;-8,1806;-2,9569;-3,7955;2,6549;-12,6115
Jan 3, 2050 8:00 AM;-2,091;-12,1067;-10,2965;-8,814;-1,2022;-7,8609;-2,3457;-3,6895;3,1114;-12,0156
Jan 3, 2050 9:00 AM;-1,0994;-10,1879;-8,0207;-7,1739;-0,1367;-6,7894;-1,0884;-3,0994;4,2509;-9,8104
Jan 3, 2050 10:00 AM;-0,4051;-8,592;-6,084;-5,3428;0,9208;-5,5616;-0,1129;-2,527;5,1186;-7,7124
Jan 3, 2050 11:00 AM;0,0785;-7,755;-4,7894;-4,0376;1,6318;-4,5536;0,5199;-2,1129;5,6577;-6,3674
Jan 3, 2050 12:00 PM;0,4478;-7,3841;-3,9893;-3,2515;1,8736;-4,0033;0,817;-1,8679;5,8909;-5,8195
Jan 3, 2050 1:00 PM;0,7647;-7,5362;-3,8121;-3,0657;1,7371;-3,8133;0,7882;-1,7853;5,8718;-5,9029
Jan 3, 2050 2:00 PM;0,8966;-8,2506;-4,3601;-3,3902;1,1953;-4,0346;0,4799;-1,8457;5,3879;-6,5155
Jan 3, 2050 3:00 PM;0,7169;-9,7783;-6,1686;-4,5431;0,2063;-4,6184;-0,2615;-2,1595;3,9844;-7,8756
Jan 3, 2050 4:00 PM;0,0236;-12,2654;-9,9152;-6,6599;-0,7477;-5,3281;-0,8906;-2,7646;2,4685;-10,005
Jan 3, 2050 5:00 PM;-0,8627;-14,1309;-11,975;-7,7723;-1,2468;-5,8313;-1,0564;-3,2007;1,9548;-11,3383
Jan 3, 2050 6:00 PM;-1,5033;-15,3416;-12,9839;-8,1648;-1,5711;-6,2213;-1,1543;-3,537;1,6671;-12,0608
Jan 3, 2050 7:00 PM;-1,8929;-16,103;-13,4944;-8,2364;-1,9056;-6,5127;-1,3027;-3,8366;1,4628;-12,3633
Jan 3, 2050 8:00 PM;-2,1218;-16,5405;-13,7176;-8,3148;-2,1417;-6,7259;-1,4779;-4,1661;1,2918;-12,68
Jan 3, 2050 9:00 PM;-2,3946;-16,7582;-13,7369;-8,4235;-2,0998;-6,8458;-1,6749;-4,5177;1,1606;-12,9987
Jan 3, 2050 10:00 PM;-3,0639;-16,756;-13,7486;-8,5162;-1,8088;-6,8386;-1,8569;-4,7601;1,2581;-13,1505
Jan 3, 2050 11:00 PM;-3,9206;-16,6219;-13,6997;-8,5712;-1,5559;-6,7701;-1,9992;-4,8753;1,3879;-13,2884
Jan 4, 2050 12:00 AM;-4,8156;-16,5227;-13,5456;-8,6137;-1,397;-6,663;-1,9916;-4,961;1,3895;-13,2897
Jan 4, 2050 1:00 AM;-5,4303;-16,5155;-13,4411;-8,7254;-1,238;-6,5161;-1,8568;-5,0631;1,3732;-13,3376
Jan 4, 2050 2:00 AM;-5,5165;-16,478;-13,3856;-9,008;-1,014;-6,3692;-1,6697;-5,1665;1,3568;-13,5648
Jan 4, 2050 3:00 AM;-5,2595;-16,4182;-13,2314;-9,3774;-0,6541;-6,2462;-1,4948;-5,3287;1,4624;-14,0589
Jan 4, 2050 4:00 AM;-4,9469;-16,5366;-13,0468;-9,7736;-0,3985;-6,1668;-1,3132;-5,5888;1,5857;-14,618
Jan 4, 2050 5:00 AM;-4,4965;-16,7282;-12,9357;-10,0937;-0,2628;-6,1355;-1,1439;-5,8192;1,653;-15,065
Jan 4, 2050 6:00 AM;-4,0182;-16,9844;-12,9083;-10,3249;-0,1627;-6,144;-1,0602;-5,9937;1,5957;-15,3193
Jan 4, 2050 7:00 AM;-3,4355;-17,3112;-12,9229;-10,4801;-0,0166;-6,165;-1,0377;-6,2197;1,3851;-15,185
Jan 4, 2050 8:00 AM;-2,3498;-16,2797;-11,9729;-9,6124;0,5277;-5,7853;-0,6687;-5,802;1,6403;-13,7372
