TimeZone;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1
DateTime;Test case 0;Test case 1;Test case 2;Test case 3;Test case 4;Test case 5;Test case 6;Test case 7;Test case 8;Test case 9
01/01/2050 00:00;6350,123370;6745,557054;6814,484460;6689,151648;3555,077767;5135,270475;1826,758493;5106,811733;8213,719279;4517,807895
02/01/2050 00:00;6350,123370;6745,557054;6814,484460;6689,151648;3555,077767;5135,270475;1826,758493;5106,811733;8213,719279;4517,807895
03/01/2050 00:00;6208,422915;6801,128967;6700,978631;6655,188681;3658,669334;5208,458893;2147,396240;5077,983482;8370,747027;4528,105904
04/01/2050 00:00;6113,703785;6879,842614;6581,390002;6630,025029;3737,294868;5322,684269;2400,399772;5111,405877;8514,420042;4533,787565
05/01/2050 00:00;6054,300278;6990,827664;6512,570882;6668,089034;3810,212770;5447,042227;2636,901350;5136,252537;8586,734928;4551,720306
06/01/2050 00:00;5965,871868;7118,603372;6506,488082;6718,774681;3867,017291;5562,553661;2801,087869;5199,498580;8591,518713;4575,157156
07/01/2050 00:00;5864,901833;7253,682816;6522,192041;6749,552375;3885,110871;5639,678198;2894,149375;5298,502375;8601,405202;4608,181808
08/01/2050 00:00;5720,374534;7409,085703;6488,199928;6777,582772;3891,517396;5673,934120;2944,051922;5399,343826;8608,700475;4658,479722
09/01/2050 00:00;5614,308220;7563,575624;6324,322160;6798,884281;3909,300356;5696,147857;3045,602415;5492,872933;8586,695063;4716,310910
10/01/2050 00:00;5491,161406;7476,843744;6042,247253;6746,526366;3832,499711;5673,817205;3162,663159;5509,794695;8429,069342;4682,931154
11/01/2050 00:00;5303,355548;7189,298785;5583,333843;6570,022460;3659,174091;5551,602678;3173,532235;5390,308677;8136,899662;4514,485138
12/01/2050 00:00;5119,849676;6902,349239;4951,835914;6349,561795;3458,630446;5390,533597;3093,719894;5166,727022;7768,388744;4326,838152
