TimeZone;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris
DateTime;Test case 0;Test case 1;Test case 8;Test case 9;Test case 6;Test case 7;Test case 4;Test case 5;Test case 2;Test case 3
Jan 1, 2050 12:00 AM;-8,0445;-13,396;-4,7843;-2,7015;5,3059;-8,2306;-1,5373;-1,2219;0,7139;-8,0289
Jan 1, 2050 1:00 AM;-8,0445;-13,396;-4,7843;-2,7015;5,3059;-8,2306;-1,5373;-1,2219;0,7139;-8,0289
Jan 1, 2050 2:00 AM;-7,1737;-13,7458;-5,1353;-2,8379;5,4936;-8,4581;-1,6016;-1,3654;0,6447;-8,3376
Jan 1, 2050 3:00 AM;-6,2224;-14,1019;-5,7291;-2,724;5,6467;-8,5874;-1,6727;-1,4549;0,5433;-8,5261
Jan 1, 2050 4:00 AM;-5,2564;-14,4;-6,3802;-2,576;5,7876;-8,7557;-1,8203;-1,5778;0,369;-8,6917
Jan 1, 2050 5:00 AM;-4,3824;-14,5888;-7,0548;-2,445;5,9426;-8,8927;-2,0272;-1,6795;0,1592;-8,869
Jan 1, 2050 6:00 AM;-3,6676;-14,7125;-7,6929;-2,1826;6,0613;-9,0256;-2,2154;-1,7665;-0,2048;-8,9447
Jan 1, 2050 7:00 AM;-3,4799;-14,7368;-8,2945;-1,9807;5,986;-9,2105;-2,3883;-1,9438;-0,6427;-8,9094
Jan 1, 2050 8:00 AM;-3,2777;-14,2874;-8,7251;-1,7125;5,5941;-8,942;-2,4008;-2,1754;-0,9132;-8,402
Jan 1, 2050 9:00 AM;-1,6168;-11,6069;-6,956;-0,1536;5,2427;-7,0996;-1,4138;-1,64;-0,0673;-6,4805
Jan 1, 2050 10:00 AM;0,2091;-8,1021;-4,25;1,4119;5,2051;-5,0566;-0,1359;-0,806;1,2943;-4,1339
Jan 1, 2050 11:00 AM;1,3104;-6,1829;-2,5596;2,0797;5,3392;-3,6212;0,2389;-0,2241;2,5618;-2,6597
Jan 1, 2050 12:00 PM;1,9741;-4,968;-1,4319;2,2649;5,2879;-2,5344;0,4625;0,0931;3,4383;-1,6742
Jan 1, 2050 1:00 PM;2,1016;-4,4933;-0,7246;2,0131;4,9464;-1,9285;0,6927;0,1818;3,9816;-1,3673
Jan 1, 2050 2:00 PM;1,7179;-4,8564;-0,729;1,4772;4,4982;-1,9663;0,7564;-0,102;4,1132;-1,7229
Jan 1, 2050 3:00 PM;0,7543;-6,3829;-1,7695;0,6041;3,7046;-2,9384;0,3866;-1,0997;3,7029;-2,5938
Jan 1, 2050 4:00 PM;-0,2284;-9,6852;-5,0634;-0,3732;2,5783;-5,6449;-1,311;-2,7865;2,4116;-3,824
Jan 1, 2050 5:00 PM;-0,6738;-12,1505;-7,4854;-1,0329;1,7787;-8,0121;-3,2445;-3,8258;1,7682;-4,765
Jan 1, 2050 6:00 PM;-0,8372;-13,1344;-8,3701;-1,5773;1,1749;-9,4246;-3,6774;-4,188;1,8818;-5,3551
Jan 1, 2050 7:00 PM;-0,9533;-13,5448;-8,7556;-2,0684;0,7775;-10,4017;-3,2977;-4,3499;2,2006;-5,6896
Jan 1, 2050 8:00 PM;-1,0164;-13,8366;-8,998;-2,5873;0,2062;-11,0257;-2,5719;-4,3628;2,7252;-5,8608
Jan 1, 2050 9:00 PM;-0,9612;-14,1592;-9,1463;-3,1608;-0,4838;-11,3292;-1,8523;-4,2413;3,4084;-5,8471
Jan 1, 2050 10:00 PM;-0,974;-14,5786;-9,2683;-3,7975;-0,8853;-11,4389;-1,1004;-4,2753;4,0564;-5,8032
Jan 1, 2050 11:00 PM;-1,1214;-14,8944;-9,6168;-4,4382;-1,0505;-11,4727;-0,4703;-4,3898;4,4577;-5,8955
Jan 2, 2050 12:00 AM;-1,3574;-14,9327;-10,1923;-5,1224;-0,8698;-11,3834;-0,016;-4,5199;4,6674;-6,12
Jan 2, 2050 1:00 AM;-1,4712;-14,8199;-10,6225;-5,7661;-0,7491;-11,2063;0,347;-4,6588;4,7041;-6,2538
Jan 2, 2050 2:00 AM;-1,4727;-14,6523;-10,8285;-6,3361;-0,8941;-10,931;0,5847;-4,6559;4,7851;-6,4647
Jan 2, 2050 3:00 AM;-1,4093;-14,4277;-10,9676;-6,8575;-1,1343;-10,7627;0,6413;-4,7078;4,8591;-6,7801
Jan 2, 2050 4:00 AM;-1,2011;-14,1563;-10,9459;-7,1716;-1,3327;-10,7298;0,6385;-4,6717;4,8919;-6,966
Jan 2, 2050 5:00 AM;-0,9219;-13,9562;-10,8219;-7,371;-1,5445;-10,7307;0,6201;-4,6275;4,9031;-6,9125
Jan 2, 2050 6:00 AM;-0,6127;-13,8085;-10,6419;-7,504;-1,7803;-10,6944;0,6144;-4,5844;4,9255;-6,8785
Jan 2, 2050 7:00 AM;-0,3352;-13,6737;-10,5682;-7,6233;-2,0836;-10,6509;0,5582;-4,5588;5,04;-6,9492
Jan 2, 2050 8:00 AM;0,073;-13,0512;-10,3104;-7,7021;-2,4418;-10,2395;0,5469;-4,3872;5,2139;-6,8669
Jan 2, 2050 9:00 AM;1,0521;-9,648;-7,7021;-7,2545;-2,3459;-7,8931;0,8767;-3,1979;5,6634;-5,7168
Jan 2, 2050 10:00 AM;1,9408;-4,956;-4,326;-6,8738;-2,0109;-5,2446;1,2954;-1,914;6,2536;-3,7821
Jan 2, 2050 11:00 AM;2,6083;-2,384;-2,5868;-6,5066;-1,6542;-3,8851;1,5524;-1,1619;6,9601;-2,5871
Jan 2, 2050 12:00 PM;3,0138;-1,7311;-1,8648;-6,2201;-1,4669;-2,7546;1,4793;-0,8223;7,5319;-1,9846
Jan 2, 2050 1:00 PM;2,9996;-1,6275;-1,8162;-6,139;-1,4204;-2,3961;1,0571;-0,8051;7,9027;-1,9494
Jan 2, 2050 2:00 PM;2,5095;-2,2196;-2,3479;-6,4598;-1,5811;-2,8193;0,4092;-1,0628;7,616;-2,343
Jan 2, 2050 3:00 PM;1,4253;-4,0883;-3,632;-7,242;-2,0343;-3,9632;-0,2866;-1,6286;6,9346;-3,1499
Jan 2, 2050 4:00 PM;0,1392;-7,5702;-5,8794;-8,6191;-2,6214;-5,5864;-1,0104;-2,5267;6,5452;-4,318
Jan 2, 2050 5:00 PM;-0,2728;-9,8303;-7,7176;-9,4194;-2,8069;-6,5872;-1,5903;-3,131;6,4593;-5,3615
Jan 2, 2050 6:00 PM;-0,4483;-10,8383;-8,6801;-9,7037;-2,7411;-7,2234;-2,096;-3,6284;6,2007;-6,2441
Jan 2, 2050 7:00 PM;-0,6152;-11,356;-9,227;-9,7955;-2,7122;-7,7315;-2,5737;-4,11;5,5275;-7,1582
Jan 2, 2050 8:00 PM;-0,7773;-11,6153;-9,5945;-9,8573;-2,7048;-8,0389;-3,0633;-4,5658;4,6022;-7,9815
Jan 2, 2050 9:00 PM;-0,9841;-11,7177;-10,1142;-10,028;-2,6823;-8,181;-3,5068;-4,8713;3,6706;-8,6053
Jan 2, 2050 10:00 PM;-1,1103;-11,7183;-10,6549;-10,2886;-2,7574;-8,0642;-3,815;-5,0626;2,9899;-9,112
Jan 2, 2050 11:00 PM;-1,0974;-11,6849;-11,1605;-10,5563;-2,9422;-7,8659;-4,1331;-5,2946;2,3393;-9,609
Jan 3, 2050 12:00 AM;-0,979;-11,6094;-11,6293;-10,8648;-3,1099;-7,7444;-4,5015;-5,5195;1,8714;-10,1108
Jan 3, 2050 1:00 AM;-0,7944;-11,4851;-12,1064;-11,1854;-3,2531;-7,6819;-4,7575;-5,7692;1,5918;-10,461
Jan 3, 2050 2:00 AM;-0,72;-11,311;-12,4635;-11,5354;-3,4418;-7,6735;-4,8544;-5,9857;1,4012;-10,7447
Jan 3, 2050 3:00 AM;-0,8034;-11,1643;-12,7058;-11,9138;-3,6998;-7,6879;-4,9363;-6,2956;1,2319;-11,0005
Jan 3, 2050 4:00 AM;-0,9926;-11,2477;-12,9054;-12,133;-3,8309;-7,6614;-4,9845;-6,5898;1,0963;-11,2719
Jan 3, 2050 5:00 AM;-1,3174;-11,426;-13,0275;-12,1728;-3,8213;-7,6805;-4,9878;-6,8184;0,9739;-11,5762
Jan 3, 2050 6:00 AM;-1,6791;-11,5423;-13,0271;-11,9621;-3,7935;-7,7051;-5,0217;-6,9742;0,8456;-11,8596
Jan 3, 2050 7:00 AM;-1,978;-11,5772;-12,9304;-11,647;-3,668;-7,6163;-5,0582;-7,1241;0,7746;-12,1116
Jan 3, 2050 8:00 AM;-1,8562;-11,1982;-12,5236;-11,0918;-3,4042;-7,2957;-4,9408;-7,0033;0,9834;-12,0144
Jan 3, 2050 9:00 AM;-0,5147;-8,6042;-10,4719;-9,2424;-2,4364;-6,4714;-3,5701;-5,605;1,9458;-10,1323
Jan 3, 2050 10:00 AM;0,9128;-5,7282;-7,9143;-6,6377;-1,4692;-5,42;-2,0861;-3,9241;2,8275;-7,3666
Jan 3, 2050 11:00 AM;1,7845;-3,9836;-5,6361;-5,0357;-0,9539;-4,337;-1,2876;-2,8319;3,509;-5,3988
Jan 3, 2050 12:00 PM;2,1725;-2,7425;-4,0226;-4,0105;-0,6508;-3,3691;-0,8761;-2,1499;4,228;-4,2905
Jan 3, 2050 1:00 PM;2,3173;-2,1457;-3,3968;-3,6763;-0,6128;-2,7697;-0,7334;-1,8855;4,277;-3,9841
Jan 3, 2050 2:00 PM;2,0296;-2,3755;-3,8264;-4,099;-0,8337;-2,6489;-0,9564;-2,0661;3,9496;-4,458
Jan 3, 2050 3:00 PM;1,1697;-3,765;-5,3744;-5,3944;-1,397;-3,1601;-1,783;-2,8145;3,3746;-5,731
Jan 3, 2050 4:00 PM;-0,8743;-6,6406;-8,8609;-8,1791;-2,9379;-4,2132;-4,311;-4,1228;2,8499;-8,1447
Jan 3, 2050 5:00 PM;-2,3748;-8,7613;-11,5301;-10,0096;-4,5846;-4,8921;-6,334;-5,1198;2,6064;-10,0088
Jan 3, 2050 6:00 PM;-2,9323;-9,7531;-12,4919;-10,6879;-5,3221;-5,1325;-7,3133;-5,6525;2,7143;-10,86
Jan 3, 2050 7:00 PM;-3,1118;-10,3363;-12,8804;-10,8627;-5,5544;-5,1494;-7,8145;-6,0429;2,7304;-11,2312
Jan 3, 2050 8:00 PM;-3,1639;-10,766;-13,1737;-11,0246;-5,2017;-5,0232;-8,0704;-6,2939;2,5029;-11,5243
Jan 3, 2050 9:00 PM;-2,9748;-10,9841;-13,4429;-11,2373;-4,0869;-4,7862;-8,1794;-6,6156;2,2031;-11,5234
Jan 3, 2050 10:00 PM;-2,9;-10,9844;-13,5435;-11,4188;-2,7353;-4,5024;-8,2769;-7,0264;2,0722;-11,3758
Jan 3, 2050 11:00 PM;-3,0335;-10,9126;-13,6656;-11,4876;-1,8921;-4,1954;-8,2992;-7,5874;1,9773;-11,1325
Jan 4, 2050 12:00 AM;-3,2004;-10,8348;-14,0639;-11,2297;-1,3662;-3,8962;-8,2206;-8,2364;1,8473;-10,9232
Jan 4, 2050 1:00 AM;-3,2196;-10,6988;-14,2048;-10,8418;-0,5875;-3,6629;-8,1356;-8,8768;1,7276;-10,7927
Jan 4, 2050 2:00 AM;-3,0191;-10,5099;-14,1252;-10,8086;0,1896;-3,5809;-8,0707;-9,3576;1,6126;-10,8597
Jan 4, 2050 3:00 AM;-2,7369;-10,3548;-14,0595;-10,8778;0,8358;-3,5665;-8,0124;-9,6745;1,4917;-11,424
Jan 4, 2050 4:00 AM;-2,4731;-10,2504;-14,1742;-10,9939;1,272;-3,4056;-7,9122;-9,8997;1,2838;-11,8965
Jan 4, 2050 5:00 AM;-2,271;-10,272;-14,0696;-11,0642;1,5394;-3,1846;-7,7547;-10,1073;1,0939;-12,1669
Jan 4, 2050 6:00 AM;-2,0557;-10,4485;-13,844;-10,9825;1,7021;-2,9548;-7,5905;-10,2476;0,9204;-12,2379
Jan 4, 2050 7:00 AM;-1,8769;-10,535;-13,6131;-10,8374;1,7548;-2,6414;-7,4386;-10,3617;0,7426;-12,1144
Jan 4, 2050 8:00 AM;-1,6245;-10,3175;-12,6954;-10,3702;1,7435;-2,188;-6,7991;-10,1179;0,673;-11,6964
Jan 4, 2050 9:00 AM;-0,8749;-8,2525;-9,28;-8,4208;1,9389;-1,2477;-3,8003;-7,8563;1,0499;-9,9051
Jan 4, 2050 10:00 AM;-0,0388;-5,4272;-5,1516;-6,6668;2,2276;-0,0763;-0,0108;-5,1893;1,6235;-7,649
Jan 4, 2050 11:00 AM;0,5743;-3,2674;-3,0421;-5,1579;2,2903;1,029;1,5711;-3,3975;1,9714;-6,0343
Jan 4, 2050 12:00 PM;0,8506;-1,7511;-2,0316;-4,0458;2,0061;1,6572;2,2685;-2,2317;2,0317;-5,0135
Jan 4, 2050 1:00 PM;0,8937;-0,967;-1,6992;-3,5416;1,7017;1,6728;2,5477;-1,7629;1,9631;-4,7078
Jan 4, 2050 2:00 PM;0,7855;-0,8662;-2,1597;-3,7858;1,4814;1,2628;2,3931;-1,957;1,8833;-5,0511
Jan 4, 2050 3:00 PM;0,6349;-1,7915;-3,5846;-4,7099;1,267;0,4913;1,4596;-3,0386;1,7239;-5,9304
Jan 4, 2050 4:00 PM;0,646;-4,5826;-6,721;-6,857;0,9922;-0,389;-0,7913;-5,8046;1,2658;-7,4088
Jan 4, 2050 5:00 PM;0,6097;-6,7088;-9,0534;-8,5387;0,8344;-0,8053;-2,786;-7,944;0,531;-8,3213
Jan 4, 2050 6:00 PM;0,3445;-7,5855;-10,2119;-9,0297;0,7343;-1,0919;-3,5447;-9,0576;-0,3314;-8,7041
Jan 4, 2050 7:00 PM;-0,103;-8,1743;-11,1152;-9,2818;0,715;-1,4111;-3,8136;-9,7813;-1,2988;-8,7911
Jan 4, 2050 8:00 PM;-0,7037;-8,6399;-11,5805;-9,445;0,645;-1,7143;-3,8401;-10,1796;-2,2703;-8,7557
Jan 4, 2050 9:00 PM;-1,4492;-9,1078;-11,8657;-9,6161;0,4889;-1,9097;-3,7926;-10,2288;-3,1819;-8,7927
Jan 4, 2050 10:00 PM;-2,2222;-9,3708;-11,9432;-9,9869;0,2649;-1,8945;-3,8465;-10,0538;-3,9872;-8,9528
