TimeZone;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris
DateTime;Test case 0;Test case 1;Test case 8;Test case 9;Test case 6;Test case 7;Test case 4;Test case 5;Test case 2;Test case 3
Jan 1, 2050 12:00 AM;-9,1664;-12,9108;-8,3489;1,0679;2,9288;-4,2542;0,4744;-2,7113;-13,2968;-4,5403
Jan 1, 2050 1:00 AM;-9,1664;-12,9108;-8,3489;1,0679;2,9288;-4,2542;0,4744;-2,7113;-13,2968;-4,5403
Jan 1, 2050 2:00 AM;-9,5816;-13,0049;-8,4431;0,8945;3,4105;-4,3538;0,4425;-2,9762;-13,416;-4,5895
Jan 1, 2050 3:00 AM;-9,6336;-12,6423;-8,5349;0,7417;3,9332;-4,4104;0,4152;-3,1542;-13,4759;-4,6313
Jan 1, 2050 4:00 AM;-9,4476;-12,2327;-8,5818;0,7153;4,3766;-4,4929;0,3877;-3,2336;-13,5209;-4,7955
Jan 1, 2050 5:00 AM;-9,4628;-11,8147;-8,5874;0,7435;4,8885;-4,5842;0,3992;-3,2434;-13,5687;-5,0717
Jan 1, 2050 6:00 AM;-9,5275;-11,2044;-8,5552;0,7055;5,4426;-4,7048;0,4556;-3,2077;-13,5513;-5,3969
Jan 1, 2050 7:00 AM;-9,7234;-10,5252;-8,5647;0,5802;5,9506;-4,8467;0,5203;-3,099;-13,4668;-5,6741
Jan 1, 2050 8:00 AM;-9,4216;-9,8243;-8,2345;0,6168;6,3254;-4,6535;0,7534;-2,7107;-12,7861;-5,6761
Jan 1, 2050 9:00 AM;-7,9152;-8,6096;-7,1346;0,9045;6,7834;-3,8514;1,2473;-1,8547;-10,9758;-4,9301
Jan 1, 2050 10:00 AM;-6,1524;-7,2392;-5,6165;1,0938;7,3341;-2,8087;1,7257;-1,0647;-9,1624;-4,0715
Jan 1, 2050 11:00 AM;-4,7748;-5,9022;-4,3036;1,1245;7,8187;-1,6253;2,2179;-0,541;-7,5781;-3,3383
Jan 1, 2050 12:00 PM;-3,8415;-4,8896;-3,5523;1,0971;8,0966;-0,8876;2,5427;-0,2066;-6,2726;-2,9397
Jan 1, 2050 1:00 PM;-3,3763;-4,4405;-3,4067;0,8581;7,9672;-0,6379;2,6734;-0,0324;-5,5938;-2,9908
Jan 1, 2050 2:00 PM;-3,5874;-4,6751;-3,7386;0,3193;7,2723;-1,0225;2,453;-0,0195;-5,6198;-3,4823
Jan 1, 2050 3:00 PM;-4,7354;-5,4514;-4,4919;-0,4784;6,1174;-2,3305;1,8157;-0,1974;-6,4747;-4,6127
Jan 1, 2050 4:00 PM;-5,8393;-6,0781;-5,0853;-1,2291;5,1953;-3,3489;1,37;-0,6346;-6,8905;-5,9262
Jan 1, 2050 5:00 PM;-6,1343;-6,2538;-5,3538;-1,7557;4,6454;-3,576;1,1114;-1,0979;-6,5178;-6,6399
Jan 1, 2050 6:00 PM;-6,0628;-6,3261;-5,5775;-2,235;4,1218;-3,7052;0,8466;-1,4329;-5,9901;-6,9494
Jan 1, 2050 7:00 PM;-5,8401;-6,2986;-5,7588;-2,6827;3,6189;-3,8566;0,61;-1,7458;-5,3909;-7,0408
Jan 1, 2050 8:00 PM;-5,5537;-6,168;-5,914;-3,0732;3,1576;-4,0894;0,3143;-1,9889;-4,7328;-7,0592
Jan 1, 2050 9:00 PM;-5,2358;-5,9779;-6,0503;-3,3911;2,7002;-4,3245;0,0519;-2,0696;-4,068;-7,2211
Jan 1, 2050 10:00 PM;-5,0385;-5,7657;-6,068;-3,5824;2,3131;-4,453;-0,0788;-2,0009;-3,3657;-7,3608
Jan 1, 2050 11:00 PM;-4,8308;-5,6026;-6,0429;-3,643;1,8702;-4,5487;-0,0886;-2,0421;-2,634;-7,4411
Jan 2, 2050 12:00 AM;-4,5786;-5,5155;-6,0333;-3,6852;1,2961;-4,5757;0,0293;-2,0861;-1,966;-7,4943
Jan 2, 2050 1:00 AM;-4,4062;-5,4407;-6,0158;-3,726;0,6077;-4,7502;0,298;-2,1953;-1,3885;-7,5789
Jan 2, 2050 2:00 AM;-4,3816;-5,3578;-6,015;-3,783;-0,1128;-5,0069;0,6741;-2,4052;-0,7643;-7,7246
Jan 2, 2050 3:00 AM;-4,4201;-5,241;-6,0237;-3,8356;-0,787;-5,2896;1,0785;-2,5798;-0,1695;-7,9406
Jan 2, 2050 4:00 AM;-4,6525;-5,0026;-6,0577;-3,9807;-1,3059;-5,4533;1,3728;-2,5257;0,4753;-8,2226
Jan 2, 2050 5:00 AM;-5,0653;-4,6616;-6,1094;-4,1726;-1,6325;-5,6583;1,6893;-2,347;1,2137;-8,5402
Jan 2, 2050 6:00 AM;-5,3864;-4,2486;-6,1528;-4,3513;-1,7875;-5,9002;2,0805;-2,0991;1,9045;-8,8023
Jan 2, 2050 7:00 AM;-5,711;-3,7982;-6,2053;-4,497;-1,7525;-6,0744;2,3711;-1,8678;2,4845;-8,9358
Jan 2, 2050 8:00 AM;-5,7728;-3,2671;-5,9109;-4,4393;-1,0303;-5,9183;2,726;-1,6126;3,1488;-8,6504
Jan 2, 2050 9:00 AM;-5,2664;-2,5041;-4,9281;-4,0912;0,2679;-5,1618;3,4601;-1,1796;3,9908;-7,5523
Jan 2, 2050 10:00 AM;-4,2926;-1,7612;-3,6497;-3,6703;1,2702;-4,2897;4,1662;-0,7428;4,747;-6,4607
Jan 2, 2050 11:00 AM;-3,3159;-1,113;-2,5491;-3,3512;2,1924;-3,3718;4,5946;-0,4339;5,3001;-5,453
Jan 2, 2050 12:00 PM;-2,6601;-0,7847;-2,0122;-3,2005;2,5868;-2,7118;4,5925;-0,2941;5,4846;-4,6856
