TimeZone;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris
DateTime;Test case 0;Test case 1;Test case 8;Test case 9;Test case 6;Test case 7;Test case 4;Test case 5;Test case 2;Test case 3
Jan 1, 2050 12:00 AM;-4,5711;-6,2594;-4,3506;-1,0317;8,7645;-1,1419;3,4387;1,564;-5,1921;-3,1036
Jan 1, 2050 1:00 AM;-4,5711;-6,2594;-4,3506;-1,0317;8,7645;-1,1419;3,4387;1,564;-5,1921;-3,1036
Jan 1, 2050 2:00 AM;-4,6936;-6,181;-4,3409;-1,2974;9,2689;-1,2199;3,3802;1,4025;-5,1279;-3,2299
Jan 1, 2050 3:00 AM;-4,705;-6,1343;-4,3433;-1,5777;9,495;-1,2855;3,2935;1,2006;-4,996;-3,3369
Jan 1, 2050 4:00 AM;-4,6188;-6,0954;-4,3056;-1,7934;9,4371;-1,3687;3,2239;1,0558;-4,7461;-3,4789
Jan 1, 2050 5:00 AM;-4,4295;-6,0966;-4,2358;-1,9207;9,2445;-1,4466;3,1632;0,9336;-4,4869;-3,6221
Jan 1, 2050 6:00 AM;-4,1855;-6,1308;-4,1934;-2,0421;8,9858;-1,4896;3,0908;0,8029;-4,2345;-3,6962
Jan 1, 2050 7:00 AM;-3,8508;-6,158;-4,1895;-2,1823;8,6354;-1,5621;2,9996;0,6681;-3,961;-3,7573
Jan 1, 2050 8:00 AM;-3,3282;-6,1291;-4,1604;-2,2194;8,2853;-1,5658;2,94;0,606;-3,561;-3,6987
Jan 1, 2050 9:00 AM;-2,3554;-5,4728;-3,6184;-1,7459;8,2407;-1,1653;3,0679;0,9654;-2,4962;-3,1638
Jan 1, 2050 10:00 AM;-1,3001;-4,379;-2,7987;-1,1503;8,2828;-0,6005;3,2878;1,4808;-1,3231;-2,4093
Jan 1, 2050 11:00 AM;-0,3419;-3,3005;-1,9364;-0,5924;8,2395;0,0109;3,5151;1,8811;-0,2581;-1,6893
Jan 1, 2050 12:00 PM;0,4137;-2,3333;-1,1907;-0,2567;8,0829;0,4856;3,7012;2,1894;0,5609;-1,2365
Jan 1, 2050 1:00 PM;0,9101;-1,7555;-0,7948;-0,2753;7,7762;0,6811;3,7549;2,3299;1,1028;-1,0608
Jan 1, 2050 2:00 PM;1,1217;-1,7004;-0,8919;-0,6251;7,2642;0,4044;3,6098;2,1575;1,464;-1,1495
Jan 1, 2050 3:00 PM;1,0751;-2,3024;-1,4878;-1,3031;6,5647;-0,3769;3,1676;1,4189;1,4863;-1,4916
Jan 1, 2050 4:00 PM;0,9259;-3,547;-2,2619;-1,9738;5,8582;-1,2675;2,6955;0,324;1,3729;-1,9598
Jan 1, 2050 5:00 PM;0,988;-4,2561;-2,6624;-2,3269;5,3247;-1,641;2,5007;-0,1732;1,6331;-2,2382
Jan 1, 2050 6:00 PM;1,0857;-4,5438;-2,971;-2,6006;4,8105;-1,9508;2,4287;-0,3193;2,1164;-2,4318
Jan 1, 2050 7:00 PM;1,2051;-4,667;-3,2734;-2,8184;4,2652;-2,2597;2,521;-0,4054;2,7282;-2,5629
