TimeZone;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris
DateTime;Test case 0;Test case 1;Test case 8;Test case 9;Test case 6;Test case 7;Test case 4;Test case 5;Test case 2;Test case 3
Jan 1, 2050 12:00 AM;2,2953;-2,2156;2,2606;3,6851;10,4938;1,5302;6,3552;4,1995;6,0223;0,1377
Jan 1, 2050 1:00 AM;2,2953;-2,2156;2,2606;3,6851;10,4938;1,5302;6,3552;4,1995;6,0223;0,1377
Jan 1, 2050 2:00 AM;2,6173;-2,295;2,0823;3,4427;10,3053;1,3985;6,3337;4,1074;6,0596;0,1812
Jan 1, 2050 3:00 AM;2,9213;-2,3884;1,8861;3,1987;10,0376;1,2497;6,3335;4,0476;6,1058;0,2379
Jan 1, 2050 4:00 AM;3,1981;-2,4516;1,7001;2,9733;9,7248;1,0859;6,275;4,0107;6,1421;0,253
Jan 1, 2050 5:00 AM;3,4196;-2,4928;1,5659;2,7807;9,4199;0,9517;6,1937;3,9907;6,1903;0,2482
Jan 1, 2050 6:00 AM;3,6021;-2,4933;1,4695;2,6192;9,1443;0,8426;6,1261;3,9357;6,2794;0,2767
Jan 1, 2050 7:00 AM;3,788;-2,4796;1,3267;2,4791;8,9204;0,7251;6,0728;3,8628;6,4446;0,3194
Jan 1, 2050 8:00 AM;4,0463;-2,413;1,2015;2,3889;8,7319;0,6929;6,0593;3,8787;6,7048;0,443
Jan 1, 2050 9:00 AM;4,7229;-1,7377;1,6656;2,577;8,8365;1,3172;6,4023;4,3415;7,3925;0,9653
Jan 1, 2050 10:00 AM;5,5286;-0,6832;2,3766;2,9376;9,1863;2,2855;6,9481;5,0331;8,2526;1,7355
Jan 1, 2050 11:00 AM;6,2193;0,4135;3,1756;3,281;9,638;3,2445;7,48;5,6601;9,1307;2,5139
Jan 1, 2050 12:00 PM;6,7275;1,3612;3,8804;3,5106;10,0232;4,0284;7,9753;6,0764;9,87;3,0755
Jan 1, 2050 1:00 PM;7,1304;1,9923;4,2552;3,6234;10,1729;4,4719;8,3783;6,3091;10,4128;3,364
Jan 1, 2050 2:00 PM;7,3674;2,1796;4,2134;3,5348;10,0418;4,4887;8,5914;6,3165;10,7209;3,379
Jan 1, 2050 3:00 PM;7,4017;1,7418;3,7246;3,181;9,5094;4,0445;8,5676;6,0296;10,7682;3,1193
Jan 1, 2050 4:00 PM;7,2583;0,5827;2,64;2,4887;8,5027;2,9936;8,2416;5,5169;10,6272;2,6306
Jan 1, 2050 5:00 PM;7,1296;-0,3847;1,6574;1,8245;7,8374;2,1288;7,9229;5,1321;10,6482;2,2939
Jan 1, 2050 6:00 PM;7,1521;-0,8021;1,1576;1,3992;7,6477;1,7683;7,8755;4,9816;10,7859;2,2268
Jan 1, 2050 7:00 PM;7,2191;-1,1378;0,7636;1,032;7,4787;1,4636;7,8779;4,8726;10,8905;2,2092
Jan 1, 2050 8:00 PM;7,263;-1,4112;0,4328;0,7101;7,3021;1,1971;7,9066;4,7674;10,9271;2,275
Jan 1, 2050 9:00 PM;7,3155;-1,5966;0,1498;0,4444;7,1725;0,9562;7,9512;4,6874;10,957;2,3416
Jan 1, 2050 10:00 PM;7,3641;-1,6861;-0,0606;0,2009;7,0781;0,7638;7,9662;4,5829;10,9864;2,4159
Jan 1, 2050 11:00 PM;7,4276;-1,8199;-0,2356;-0,045;6,9636;0,5991;7,946;4,4566;11,0077;2,4868
Jan 2, 2050 12:00 AM;7,5015;-1,9421;-0,3777;-0,2533;6,746;0,4274;7,8494;4,3426;11,0113;2,5358
Jan 2, 2050 1:00 AM;7,6444;-2,0088;-0,4887;-0,3997;6,4143;0,264;7,5831;4,2204;11,0291;2,5817
Jan 2, 2050 2:00 AM;7,7918;-2,0354;-0,5992;-0,5102;6,0591;0,1338;7,2404;4,0822;11,0536;2,629
Jan 2, 2050 3:00 AM;7,9006;-2,0354;-0,6825;-0,6136;5,7486;0,026;6,8949;3,8974;11,1008;2,6403
Jan 2, 2050 4:00 AM;7,9154;-2,0256;-0,7182;-0,6818;5,5527;-0,0334;6,5851;3,7119;11,1404;2,6083
Jan 2, 2050 5:00 AM;7,9008;-2,0573;-0,7751;-0,7551;5,4192;-0,0637;6,3188;3,5588;11,1777;2,5727
Jan 2, 2050 6:00 AM;7,8491;-2,107;-0,8176;-0,8358;5,3174;-0,1012;6,071;3,4089;11,2046;2,5009
Jan 2, 2050 7:00 AM;7,8031;-2,1624;-0,8591;-0,8965;5,2519;-0,1332;5,8473;3,2305;11,2865;2,3695
Jan 2, 2050 8:00 AM;7,806;-2,1219;-0,8434;-0,8724;5,2575;-0,0932;5,6892;3,0597;11,3983;2,2113
Jan 2, 2050 9:00 AM;8,2955;-1,2254;-0,1931;-0,1181;5,6862;0,529;6,0408;3,3153;11,7293;2,3214
Jan 2, 2050 10:00 AM;9,0246;0,3212;0,8416;0,9005;6,3567;1,5064;6,6272;3,8379;12,1966;2,7279
Jan 2, 2050 11:00 AM;9,7193;1,8822;1,8483;1,8557;6,9635;2,6127;7,2176;4,3922;12,6365;3,243
Jan 2, 2050 12:00 PM;10,2501;3,1241;2,7523;2,6276;7,4021;3,5439;7,6931;4,8747;12,9239;3,6119
Jan 2, 2050 1:00 PM;10,4918;3,9031;3,3308;2,9682;7,6522;4,0295;7,9203;5,1712;12,9864;3,7315
Jan 2, 2050 2:00 PM;10,4121;4,0392;3,4406;2,8861;7,7069;4,0751;7,7814;5,2157;12,8033;3,6042
Jan 2, 2050 3:00 PM;9,9915;3,4943;3,0277;2,3728;7,488;3,6204;7,3169;4,9169;12,3075;3,1891
Jan 2, 2050 4:00 PM;9,3111;2,2669;1,9237;1,2888;7,0452;2,6903;6,4891;4,2323;11,5462;2,4503
Jan 2, 2050 5:00 PM;8,8107;1,3255;0,9221;0,4125;6,6748;1,9998;5,7593;3,7231;10,8426;1,8324
Jan 2, 2050 6:00 PM;8,566;0,8527;0,4338;0,1213;6,5166;1,692;5,3533;3,5458;10,2717;1,4246
Jan 2, 2050 7:00 PM;8,3461;0,454;0,0175;-0,1145;6,4121;1,4814;4,9693;3,3898;9,6875;0,9916
Jan 2, 2050 8:00 PM;8,1203;0,0961;-0,3637;-0,3445;6,3414;1,3385;4,6016;3,2304;9,2143;0,5016
Jan 2, 2050 9:00 PM;7,8998;-0,2244;-0,7119;-0,5037;6,2997;1,2451;4,2608;3,1093;8,8922;0,0009
Jan 2, 2050 10:00 PM;7,7257;-0,4299;-0,9987;-0,5346;6,2504;1,1816;3,9769;2,998;8,7204;-0,418
Jan 2, 2050 11:00 PM;7,5496;-0,5666;-1,2627;-0,5115;6,1372;1,1501;3,7355;2,8633;8,6345;-0,7663
Jan 3, 2050 12:00 AM;7,3381;-0,677;-1,5432;-0,4885;5,9922;1,1098;3,5269;2,719;8,5704;-1,0439
Jan 3, 2050 1:00 AM;7,0845;-0,7673;-1,8107;-0,3588;5,8144;1,0649;3,3541;2,5654;8,5177;-1,2568
Jan 3, 2050 2:00 AM;6,7921;-0,8403;-2,0098;-0,1981;5,6394;1,0457;3,2105;2,3978;8,4615;-1,4251
Jan 3, 2050 3:00 AM;6,4797;-0,9078;-2,1735;-0,1002;5,4835;1,0527;3,0877;2,2389;8,3725;-1,5933
Jan 3, 2050 4:00 AM;6,2392;-1,03;-2,2788;-0,0758;5,3706;1,1519;2,9543;2,1229;8,2544;-1,779
Jan 3, 2050 5:00 AM;6,0462;-1,1561;-2,3708;-0,0806;5,2716;1,3105;2,8247;2,0458;8,1512;-1,9735
Jan 3, 2050 6:00 AM;5,8486;-1,243;-2,4754;-0,0394;5,1658;1,4792;2,7151;2,0015;8,0865;-2,1573
Jan 3, 2050 7:00 AM;5,6422;-1,2961;-2,572;0,0155;5,0842;1,6651;2,6353;1,9716;8,0659;-2,3422
Jan 3, 2050 8:00 AM;5,4908;-1,2363;-2,5872;0,079;5,05;1,8686;2,6186;1,9762;8,1386;-2,4184
Jan 3, 2050 9:00 AM;5,9273;-0,4289;-1,875;0,6063;5,4337;2,3316;3,2687;2,5347;8,5638;-1,7011
Jan 3, 2050 10:00 AM;6,7192;0,9057;-0,6925;1,4407;6,0581;3,0152;4,2156;3,3479;9,0859;-0,6406
Jan 3, 2050 11:00 AM;7,5537;2,2967;0,6029;2,2812;6,8114;3,8725;5,064;4,0797;9,5783;0,406
Jan 3, 2050 12:00 PM;8,2431;3,4261;1,6712;2,9163;7,5228;4,633;5,8684;4,6858;9,9189;1,178
Jan 3, 2050 1:00 PM;8,5219;4,1085;2,2312;3,1883;8,008;5,1856;6,4008;5,0189;10,0312;1,4745
Jan 3, 2050 2:00 PM;8,4326;4,3019;2,2588;3,0162;8,2075;5,4637;6,5871;5,0795;9,9982;1,4595
