TimeZone;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris
DateTime;Test case 0;Test case 1;Test case 8;Test case 9;Test case 6;Test case 7;Test case 4;Test case 5;Test case 2;Test case 3
Jan 1, 2050 12:00 AM;10,2421;6,7385;8,0575;5,3862;9,5071;11,6511;10,2794;9,7048;11,4027;10,3611
Jan 1, 2050 1:00 AM;10,2421;6,7385;8,0575;5,3862;9,5071;11,6511;10,2794;9,7048;11,4027;10,3611
Jan 1, 2050 2:00 AM;10,2482;6,7942;8,0173;5,2967;9,438;11,6337;10,2843;9,6022;11,4636;10,2908
Jan 1, 2050 3:00 AM;10,268;6,8477;7,9843;5,2186;9,3652;11,6088;10,3206;9,4874;11,5069;10,1798
Jan 1, 2050 4:00 AM;10,309;6,8925;7,9516;5,1579;9,3235;11,5538;10,3851;9,4159;11,522;10,0101
Jan 1, 2050 5:00 AM;10,3432;6,9452;7,9172;5,1313;9,2902;11,4709;10,4473;9,3653;11,5122;9,7951
Jan 1, 2050 6:00 AM;10,3813;7,0155;7,8845;5,1225;9,2402;11,38;10,4989;9,3341;11,4735;9,6032
Jan 1, 2050 7:00 AM;10,4254;7,1074;7,8527;5,1288;9,1747;11,2845;10,5634;9,3365;11,4253;9,4746
Jan 1, 2050 8:00 AM;10,463;7,2138;7,8201;5,1472;9,1326;11,1875;10,6532;9,3503;11,377;9,3926
Jan 1, 2050 9:00 AM;10,4884;7,3402;7,7845;5,169;9,1184;11,0967;10,7411;9,3934;11,3334;9,341
Jan 1, 2050 10:00 AM;10,5538;7,5437;7,8351;5,2511;9,0888;11,0415;10,7549;9,4765;11,296;9,3512
Jan 1, 2050 11:00 AM;10,6617;7,8125;7,9789;5,3322;9,0834;11,0333;10,7503;9,6284;11,2992;9,4072
Jan 1, 2050 12:00 PM;10,7329;8,0656;8,1152;5,3597;9,1088;11,0359;10,6459;9,7951;11,31;9,4436
Jan 1, 2050 1:00 PM;10,7344;8,2318;8,1969;5,4008;9,1334;11,0128;10,2982;9,9219;11,2935;9,4459
Jan 1, 2050 2:00 PM;10,6773;8,2955;8,2047;5,4669;9,1432;10,9506;9,7611;10,0018;11,2283;9,4068
Jan 1, 2050 3:00 PM;10,5845;8,2482;8,1401;5,4822;9,0806;10,8511;9,1775;10,0101;11,1221;9,3112
Jan 1, 2050 4:00 PM;10,4965;8,115;8,0293;5,4164;8,991;10,7339;8,7242;9,9218;10,9989;9,1943
