TimeZone;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris
DateTime;Test case 0;Test case 1;Test case 8;Test case 9;Test case 6;Test case 7;Test case 4;Test case 5;Test case 2;Test case 3
Jan 1, 2050 12:00 AM;-7,1915;-10,2594;-10,1288;-0,0479;-0,0665;-6,8658;-2,005;-5,1869;-11,8092;-0,6071
Jan 1, 2050 1:00 AM;-7,1915;-10,2594;-10,1288;-0,0479;-0,0665;-6,8658;-2,005;-5,1869;-11,8092;-0,6071
Jan 1, 2050 2:00 AM;-7,576;-10,7505;-10,2514;-0,0702;-0,4028;-6,7665;-1,9663;-4,6626;-12,0342;-0,8517
Jan 1, 2050 3:00 AM;-8,0289;-11,2966;-10,3414;-0,1055;-0,6447;-6,7886;-1,8957;-3,9935;-12,2739;-1,1581
Jan 1, 2050 4:00 AM;-8,5419;-11,9127;-10,4707;-0,048;-0,7665;-6,8825;-1,9036;-3,3367;-12,6497;-1,5666
Jan 1, 2050 5:00 AM;-9,1381;-12,6395;-10,6385;-0,0198;-0,7054;-6,9635;-1,9608;-2,7919;-13,0765;-1,9635
Jan 1, 2050 6:00 AM;-9,523;-13,4396;-10,7596;0,0538;-0,6431;-6,9787;-1,9851;-2,3184;-13,4905;-2,3281
Jan 1, 2050 7:00 AM;-9,6334;-14,068;-10,7831;0,2276;-0,3932;-6,9895;-1,9645;-1,9393;-13,8366;-2,639
Jan 1, 2050 8:00 AM;-8,3948;-13,2955;-10,1853;0,9704;-0,0113;-6,4943;-1,156;-1,4168;-12,9253;-2,4679
Jan 1, 2050 9:00 AM;-6,1283;-11,1994;-8,7743;1,9401;0,6122;-5,4791;0,0191;-0,8265;-10,7874;-1,8755
Jan 1, 2050 10:00 AM;-4,2263;-9,0659;-7,3982;2,6228;1,4194;-4,3304;1,1067;-0,4345;-8,7229;-1,1944
Jan 1, 2050 11:00 AM;-2,9077;-7,4982;-6,3577;3,1151;2,16;-3,2507;2,0512;-0,2135;-6,8767;-0,7012
Jan 1, 2050 12:00 PM;-2,085;-6,4794;-5,7196;3,4044;2,6299;-2,5186;2,5526;-0,1107;-5,6971;-0,4598
Jan 1, 2050 1:00 PM;-2,0164;-6,1666;-5,5747;3,2143;2,9529;-2,3245;2,5923;-0,0949;-5,3799;-0,5209
Jan 1, 2050 2:00 PM;-3,0103;-6,7047;-5,948;2,3593;3,0782;-2,6954;2,0951;-0,2383;-6,0125;-1,0096
Jan 1, 2050 3:00 PM;-5,871;-8,591;-6,8574;0,765;2,9331;-3,4813;1,2656;-0,6717;-7,9602;-1,9843
Jan 1, 2050 4:00 PM;-8,0008;-10,4519;-7,5166;-0,2845;2,9579;-3,9256;0,8284;-1,0214;-9,0927;-2,8484
Jan 1, 2050 5:00 PM;-8,5486;-11,0176;-7,8007;-0,5985;3,1471;-4,0747;0,6167;-1,0923;-9,296;-3,4476
Jan 1, 2050 6:00 PM;-8,6479;-10,7998;-7,9545;-0,8514;3,3022;-4,2569;0,4318;-1,0994;-9,3139;-3,9025
Jan 1, 2050 7:00 PM;-8,5851;-10,2732;-8,0549;-1,0711;3,3922;-4,4882;0,3408;-1,0538;-9,2562;-4,3039
Jan 1, 2050 8:00 PM;-8,2496;-9,6119;-8,1728;-1,2465;3,4148;-4,773;0,2963;-0,9717;-9,1862;-4,7106
