TimeZone;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris
DateTime;Test case 0;Test case 1;Test case 8;Test case 9;Test case 6;Test case 7;Test case 4;Test case 5;Test case 2;Test case 3
Jan 1, 2050 12:00 AM;5452,288487;5452,288487;5452,288487;5452,288487;5452,288487;5452,288487;5452,288487;5452,288487;5452,288487;5452,288487
Jan 1, 2050 1:00 AM;5167,075089;5167,075089;5167,075089;5167,075089;5167,075089;5167,075089;5167,075089;5167,075089;5167,075089;5167,075089
Jan 1, 2050 2:00 AM;4925,060411;4925,060411;4925,060411;4925,060411;4925,060411;4925,060411;4925,060411;4925,060411;4925,060411;4925,060411
Jan 1, 2050 3:00 AM;4749,503793;4749,503793;4749,503793;4749,503793;4749,503793;4749,503793;4749,503793;4749,503793;4749,503793;4749,503793
Jan 1, 2050 4:00 AM;4655,932684;4655,932684;4655,932684;4655,932684;4655,932684;4655,932684;4655,932684;4655,932684;4655,932684;4655,932684
Jan 1, 2050 5:00 AM;4516,112209;4516,112209;4516,112209;4516,112209;4516,112209;4516,112209;4516,112209;4516,112209;4516,112209;4516,112209
Jan 1, 2050 6:00 AM;4303,952733;4303,952733;4303,952733;4303,952733;4303,952733;4303,952733;4303,952733;4303,952733;4303,952733;4303,952733
Jan 1, 2050 7:00 AM;4461,949771;4461,949771;4461,949771;4461,949771;4461,949771;4461,949771;4461,949771;4461,949771;4461,949771;4461,949771
Jan 1, 2050 8:00 AM;4949,847524;4949,847524;4949,847524;4949,847524;4949,847524;4949,847524;4949,847524;4949,847524;4949,847524;4949,847524
Jan 1, 2050 9:00 AM;5663,48821;5663,48821;5663,48821;5663,48821;5663,48821;5663,48821;5663,48821;5663,48821;5663,48821;5663,48821
Jan 1, 2050 10:00 AM;6362,908869;6362,908869;6362,908869;6362,908869;6362,908869;6362,908869;6362,908869;6362,908869;6362,908869;6362,908869
Jan 1, 2050 11:00 AM;6599,51269;6599,51269;6599,51269;6599,51269;6599,51269;6599,51269;6599,51269;6599,51269;6599,51269;6599,51269
Jan 1, 2050 12:00 PM;6243,953248;6243,953248;6243,953248;6243,953248;6243,953248;6243,953248;6243,953248;6243,953248;6243,953248;6243,953248
Jan 1, 2050 1:00 PM;5483,886915;5483,886915;5483,886915;5483,886915;5483,886915;5483,886915;5483,886915;5483,886915;5483,886915;5483,886915
Jan 1, 2050 2:00 PM;5092,620711;5092,620711;5092,620711;5092,620711;5092,620711;5092,620711;5092,620711;5092,620711;5092,620711;5092,620711
Jan 1, 2050 3:00 PM;5073,787989;5073,787989;5073,787989;5073,787989;5073,787989;5073,787989;5073,787989;5073,787989;5073,787989;5073,787989
Jan 1, 2050 4:00 PM;5346,235681;5346,235681;5346,235681;5346,235681;5346,235681;5346,235681;5346,235681;5346,235681;5346,235681;5346,235681
Jan 1, 2050 5:00 PM;5560,265698;5560,265698;5560,265698;5560,265698;5560,265698;5560,265698;5560,265698;5560,265698;5560,265698;5560,265698
