TimeZone;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris
DateTime;Test case 0;Test case 1;Test case 8;Test case 9;Test case 6;Test case 7;Test case 4;Test case 5;Test case 2;Test case 3
Jan 1, 2050 12:00 AM;28918,283646;28918,283646;28918,283646;28918,283646;28918,283646;28918,283646;28918,283646;28918,283646;28918,283646;28918,283646
Jan 1, 2050 1:00 AM;27700,624241;27700,624241;27700,624241;27700,624241;27700,624241;27700,624241;27700,624241;27700,624241;27700,624241;27700,624241
Jan 1, 2050 2:00 AM;25876,555335;25876,555335;25876,555335;25876,555335;25876,555335;25876,555335;25876,555335;25876,555335;25876,555335;25876,555335
Jan 1, 2050 3:00 AM;24267,65223;24267,65223;24267,65223;24267,65223;24267,65223;24267,65223;24267,65223;24267,65223;24267,65223;24267,65223
Jan 1, 2050 4:00 AM;23264,827091;23264,827091;23264,827091;23264,827091;23264,827091;23264,827091;23264,827091;23264,827091;23264,827091;23264,827091
Jan 1, 2050 5:00 AM;22860,45463;22860,45463;22860,45463;22860,45463;22860,45463;22860,45463;22860,45463;22860,45463;22860,45463;22860,45463
Jan 1, 2050 6:00 AM;22351,184697;22351,184697;22351,184697;22351,184697;22351,184697;22351,184697;22351,184697;22351,184697;22351,184697;22351,184697
Jan 1, 2050 7:00 AM;21934,777538;21934,777538;21934,777538;21934,777538;21934,777538;21934,777538;21934,777538;21934,777538;21934,777538;21934,777538
Jan 1, 2050 8:00 AM;22718,458463;22718,458463;22718,458463;22718,458463;22718,458463;22718,458463;22718,458463;22718,458463;22718,458463;22718,458463
Jan 1, 2050 9:00 AM;24966,161977;24966,161977;24966,161977;24966,161977;24966,161977;24966,161977;24966,161977;24966,161977;24966,161977;24966,161977
Jan 1, 2050 10:00 AM;27566,452285;27566,452285;27566,452285;27566,452285;27566,452285;27566,452285;27566,452285;27566,452285;27566,452285;27566,452285
Jan 1, 2050 11:00 AM;29922,501229;29922,501229;29922,501229;29922,501229;29922,501229;29922,501229;29922,501229;29922,501229;29922,501229;29922,501229
Jan 1, 2050 12:00 PM;30433,859829;30433,859829;30433,859829;30433,859829;30433,859829;30433,859829;30433,859829;30433,859829;30433,859829;30433,859829
Jan 1, 2050 1:00 PM;28807,053868;28807,053868;28807,053868;28807,053868;28807,053868;28807,053868;28807,053868;28807,053868;28807,053868;28807,053868
Jan 1, 2050 2:00 PM;27300,992721;27300,992721;27300,992721;27300,992721;27300,992721;27300,992721;27300,992721;27300,992721;27300,992721;27300,992721
Jan 1, 2050 3:00 PM;26705,424393;26705,424393;26705,424393;26705,424393;26705,424393;26705,424393;26705,424393;26705,424393;26705,424393;26705,424393
Jan 1, 2050 4:00 PM;27101,93949;27101,93949;27101,93949;27101,93949;27101,93949;27101,93949;27101,93949;27101,93949;27101,93949;27101,93949
Jan 1, 2050 5:00 PM;29329,187334;29329,187334;29329,187334;29329,187334;29329,187334;29329,187334;29329,187334;29329,187334;29329,187334;29329,187334
Jan 1, 2050 6:00 PM;28541,097002;28541,097002;28541,097002;28541,097002;28541,097002;28541,097002;28541,097002;28541,097002;28541,097002;28541,097002
Jan 1, 2050 7:00 PM;30750,24307;30750,24307;30750,24307;30750,24307;30750,24307;30750,24307;30750,24307;30750,24307;30750,24307;30750,24307
Jan 1, 2050 8:00 PM;32595,86171;32595,86171;32595,86171;32595,86171;32595,86171;32595,86171;32595,86171;32595,86171;32595,86171;32595,86171
Jan 1, 2050 9:00 PM;32611,543285;32611,543285;32611,543285;32611,543285;32611,543285;32611,543285;32611,543285;32611,543285;32611,543285;32611,543285
Jan 1, 2050 10:00 PM;30569,689457;30569,689457;30569,689457;30569,689457;30569,689457;30569,689457;30569,689457;30569,689457;30569,689457;30569,689457
Jan 1, 2050 11:00 PM;27682,986613;27682,986613;27682,986613;27682,986613;27682,986613;27682,986613;27682,986613;27682,986613;27682,986613;27682,986613
Jan 2, 2050 12:00 AM;26210,708818;26210,708818;26210,708818;26210,708818;26210,708818;26210,708818;26210,708818;26210,708818;26210,708818;26210,708818
Jan 2, 2050 1:00 AM;24119,257449;24119,257449;24119,257449;24119,257449;24119,257449;24119,257449;24119,257449;24119,257449;24119,257449;24119,257449
Jan 2, 2050 2:00 AM;22948,079162;22948,079162;22948,079162;22948,079162;22948,079162;22948,079162;22948,079162;22948,079162;22948,079162;22948,079162
Jan 2, 2050 3:00 AM;22551,564065;22551,564065;22551,564065;22551,564065;22551,564065;22551,564065;22551,564065;22551,564065;22551,564065;22551,564065
Jan 2, 2050 4:00 AM;22761,292702;22761,292702;22761,292702;22761,292702;22761,292702;22761,292702;22761,292702;22761,292702;22761,292702;22761,292702
Jan 2, 2050 5:00 AM;23919,773224;23919,773224;23919,773224;23919,773224;23919,773224;23919,773224;23919,773224;23919,773224;23919,773224;23919,773224
Jan 2, 2050 6:00 AM;26370,143693;26370,143693;26370,143693;26370,143693;26370,143693;26370,143693;26370,143693;26370,143693;26370,143693;26370,143693
Jan 2, 2050 7:00 AM;29483,7155;29483,7155;29483,7155;29483,7155;29483,7155;29483,7155;29483,7155;29483,7155;29483,7155;29483,7155
Jan 2, 2050 8:00 AM;33443,760841;33443,760841;33443,760841;33443,760841;33443,760841;33443,760841;33443,760841;33443,760841;33443,760841;33443,760841
Jan 2, 2050 9:00 AM;36420,475263;36420,475263;36420,475263;36420,475263;36420,475263;36420,475263;36420,475263;36420,475263;36420,475263;36420,475263
Jan 2, 2050 10:00 AM;37279,513949;37279,513949;37279,513949;37279,513949;37279,513949;37279,513949;37279,513949;37279,513949;37279,513949;37279,513949
Jan 2, 2050 11:00 AM;37783,545639;37783,545639;37783,545639;37783,545639;37783,545639;37783,545639;37783,545639;37783,545639;37783,545639;37783,545639
Jan 2, 2050 12:00 PM;37041,40597;37041,40597;37041,40597;37041,40597;37041,40597;37041,40597;37041,40597;37041,40597;37041,40597;37041,40597
Jan 2, 2050 1:00 PM;35496,455843;35496,455843;35496,455843;35496,455843;35496,455843;35496,455843;35496,455843;35496,455843;35496,455843;35496,455843
Jan 2, 2050 2:00 PM;35627,809757;35627,809757;35627,809757;35627,809757;35627,809757;35627,809757;35627,809757;35627,809757;35627,809757;35627,809757
Jan 2, 2050 3:00 PM;36014,24621;36014,24621;36014,24621;36014,24621;36014,24621;36014,24621;36014,24621;36014,24621;36014,24621;36014,24621
Jan 2, 2050 4:00 PM;37343,334314;37343,334314;37343,334314;37343,334314;37343,334314;37343,334314;37343,334314;37343,334314;37343,334314;37343,334314
Jan 2, 2050 5:00 PM;39945,116526;39945,116526;39945,116526;39945,116526;39945,116526;39945,116526;39945,116526;39945,116526;39945,116526;39945,116526
Jan 2, 2050 6:00 PM;38389,093152;38389,093152;38389,093152;38389,093152;38389,093152;38389,093152;38389,093152;38389,093152;38389,093152;38389,093152
Jan 2, 2050 7:00 PM;39569,090253;39569,090253;39569,090253;39569,090253;39569,090253;39569,090253;39569,090253;39569,090253;39569,090253;39569,090253
Jan 2, 2050 8:00 PM;39586,595267;39586,595267;39586,595267;39586,595267;39586,595267;39586,595267;39586,595267;39586,595267;39586,595267;39586,595267
Jan 2, 2050 9:00 PM;37705,833985;37705,833985;37705,833985;37705,833985;37705,833985;37705,833985;37705,833985;37705,833985;37705,833985;37705,833985
Jan 2, 2050 10:00 PM;33954,091684;33954,091684;33954,091684;33954,091684;33954,091684;33954,091684;33954,091684;33954,091684;33954,091684;33954,091684
Jan 2, 2050 11:00 PM;30444,833616;30444,833616;30444,833616;30444,833616;30444,833616;30444,833616;30444,833616;30444,833616;30444,833616;30444,833616
Jan 3, 2050 12:00 AM;27261,540132;27261,540132;27261,540132;27261,540132;27261,540132;27261,540132;27261,540132;27261,540132;27261,540132;27261,540132
Jan 3, 2050 1:00 AM;24921,968447;24921,968447;24921,968447;24921,968447;24921,968447;24921,968447;24921,968447;24921,968447;24921,968447;24921,968447
Jan 3, 2050 2:00 AM;23636,742339;23636,742339;23636,742339;23636,742339;23636,742339;23636,742339;23636,742339;23636,742339;23636,742339;23636,742339
Jan 3, 2050 3:00 AM;23067,829374;23067,829374;23067,829374;23067,829374;23067,829374;23067,829374;23067,829374;23067,829374;23067,829374;23067,829374
Jan 3, 2050 4:00 AM;23037,991281;23037,991281;23037,991281;23037,991281;23037,991281;23037,991281;23037,991281;23037,991281;23037,991281;23037,991281
Jan 3, 2050 5:00 AM;23701,060005;23701,060005;23701,060005;23701,060005;23701,060005;23701,060005;23701,060005;23701,060005;23701,060005;23701,060005
Jan 3, 2050 6:00 AM;24859,938367;24859,938367;24859,938367;24859,938367;24859,938367;24859,938367;24859,938367;24859,938367;24859,938367;24859,938367
Jan 3, 2050 7:00 AM;27309,778382;27309,778382;27309,778382;27309,778382;27309,778382;27309,778382;27309,778382;27309,778382;27309,778382;27309,778382
Jan 3, 2050 8:00 AM;30369,608469;30369,608469;30369,608469;30369,608469;30369,608469;30369,608469;30369,608469;30369,608469;30369,608469;30369,608469
Jan 3, 2050 9:00 AM;33124,758478;33124,758478;33124,758478;33124,758478;33124,758478;33124,758478;33124,758478;33124,758478;33124,758478;33124,758478
Jan 3, 2050 10:00 AM;33694,831813;33694,831813;33694,831813;33694,831813;33694,831813;33694,831813;33694,831813;33694,831813;33694,831813;33694,831813
