TimeZone;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris
DateTime;Test case 0;Test case 1;Test case 8;Test case 9;Test case 6;Test case 7;Test case 4;Test case 5;Test case 2;Test case 3
Jan 1, 2050 12:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 1:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 2:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 3:00 AM;0,003;0,003;0,003;0,003;0,003;0,003;0,003;0,003;0,003;0,003
Jan 1, 2050 4:00 AM;0,0179;0,0179;0,0179;0,0179;0,0179;0,0179;0,0179;0,0179;0,0179;0,0179
Jan 1, 2050 5:00 AM;0,0308;0,0308;0,0308;0,0308;0,0308;0,0308;0,0308;0,0308;0,0308;0,0308
Jan 1, 2050 6:00 AM;0,0487;0,0487;0,0487;0,0487;0,0487;0,0487;0,0487;0,0487;0,0487;0,0487
Jan 1, 2050 7:00 AM;0,154;0,154;0,154;0,154;0,154;0,154;0,154;0,154;0,154;0,154
Jan 1, 2050 8:00 AM;0,2781;0,2781;0,2781;0,2781;0,2781;0,2781;0,2781;0,2781;0,2781;0,2781
Jan 1, 2050 9:00 AM;0,1093;0,1093;0,1093;0,1093;0,1093;0,1093;0,1093;0,1093;0,1093;0,1093
Jan 1, 2050 10:00 AM;0,0348;0,0348;0,0348;0,0348;0,0348;0,0348;0,0348;0,0348;0,0348;0,0348
Jan 1, 2050 11:00 AM;0,0149;0,0149;0,0149;0,0149;0,0149;0,0149;0,0149;0,0149;0,0149;0,0149
Jan 1, 2050 12:00 PM;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004
Jan 1, 2050 1:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 2:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 3:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 4:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 5:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 6:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 7:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 8:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 9:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 10:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 11:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 12:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 1:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 2:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 3:00 AM;0,003;0,003;0,003;0,003;0,003;0,003;0,003;0,003;0,003;0,003
Jan 2, 2050 4:00 AM;0,0179;0,0179;0,0179;0,0179;0,0179;0,0179;0,0179;0,0179;0,0179;0,0179
Jan 2, 2050 5:00 AM;0,0308;0,0308;0,0308;0,0308;0,0308;0,0308;0,0308;0,0308;0,0308;0,0308
Jan 2, 2050 6:00 AM;0,0487;0,0487;0,0487;0,0487;0,0487;0,0487;0,0487;0,0487;0,0487;0,0487
Jan 2, 2050 7:00 AM;0,154;0,154;0,154;0,154;0,154;0,154;0,154;0,154;0,154;0,154
Jan 2, 2050 8:00 AM;0,2781;0,2781;0,2781;0,2781;0,2781;0,2781;0,2781;0,2781;0,2781;0,2781
Jan 2, 2050 9:00 AM;0,1093;0,1093;0,1093;0,1093;0,1093;0,1093;0,1093;0,1093;0,1093;0,1093
Jan 2, 2050 10:00 AM;0,0348;0,0348;0,0348;0,0348;0,0348;0,0348;0,0348;0,0348;0,0348;0,0348
Jan 2, 2050 11:00 AM;0,0149;0,0149;0,0149;0,0149;0,0149;0,0149;0,0149;0,0149;0,0149;0,0149
Jan 2, 2050 12:00 PM;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004
Jan 2, 2050 1:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 2:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 3:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 4:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 5:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 6:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 7:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 8:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 9:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 10:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 11:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 12:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 1:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 2:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 3:00 AM;0,003;0,003;0,003;0,003;0,003;0,003;0,003;0,003;0,003;0,003
Jan 3, 2050 4:00 AM;0,0179;0,0179;0,0179;0,0179;0,0179;0,0179;0,0179;0,0179;0,0179;0,0179
Jan 3, 2050 5:00 AM;0,0308;0,0308;0,0308;0,0308;0,0308;0,0308;0,0308;0,0308;0,0308;0,0308
Jan 3, 2050 6:00 AM;0,0487;0,0487;0,0487;0,0487;0,0487;0,0487;0,0487;0,0487;0,0487;0,0487
Jan 3, 2050 7:00 AM;0,154;0,154;0,154;0,154;0,154;0,154;0,154;0,154;0,154;0,154
Jan 3, 2050 8:00 AM;0,2781;0,2781;0,2781;0,2781;0,2781;0,2781;0,2781;0,2781;0,2781;0,2781
Jan 3, 2050 9:00 AM;0,1093;0,1093;0,1093;0,1093;0,1093;0,1093;0,1093;0,1093;0,1093;0,1093
Jan 3, 2050 10:00 AM;0,0348;0,0348;0,0348;0,0348;0,0348;0,0348;0,0348;0,0348;0,0348;0,0348
Jan 3, 2050 11:00 AM;0,0149;0,0149;0,0149;0,0149;0,0149;0,0149;0,0149;0,0149;0,0149;0,0149
Jan 3, 2050 12:00 PM;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004
Jan 3, 2050 1:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 2:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 3:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 4:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 5:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 6:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 7:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 8:00 PM;0;0;0;0;0;0;0;0;0;0
