TimeZone;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris
DateTime;Test case 0;Test case 1;Test case 8;Test case 9;Test case 6;Test case 7;Test case 4;Test case 5;Test case 2;Test case 3
Jan 1, 2050 12:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 1:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 2:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 3:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 4:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 5:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 6:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 7:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 8:00 AM;0,0107;0,0193;0,0154;0,0091;0,0007;0,0144;0,0082;0,0041;0,0105;0,0132
Jan 1, 2050 9:00 AM;0,0446;0,084;0,0668;0,0384;0,0027;0,0631;0,0337;0,0185;0,0443;0,0575
Jan 1, 2050 10:00 AM;0,0759;0,1778;0,1432;0,0655;0,0154;0,1411;0,0825;0,0984;0,1308;0,1182
Jan 1, 2050 11:00 AM;0,0933;0,2178;0,1756;0,0805;0,0191;0,1736;0,1015;0,1218;0,1612;0,1453
Jan 1, 2050 12:00 PM;0,099;0,23;0,186;0,0853;0,0203;0,184;0,1075;0,1295;0,1709;0,1539
Jan 1, 2050 1:00 PM;0,0852;0,1943;0,1705;0,0581;0,0453;0,1543;0,1396;0,1445;0,1528;0,1051
Jan 1, 2050 2:00 PM;0,0688;0,157;0,1383;0,0466;0,0365;0,1247;0,1125;0,1163;0,123;0,0848
Jan 1, 2050 3:00 PM;0,0423;0,0971;0,0861;0,0284;0,0224;0,0771;0,0693;0,0715;0,0755;0,0522
Jan 1, 2050 4:00 PM;0,0028;0,0063;0,0048;0,0009;0,0024;0,0046;0,0046;0,0037;0,0041;0,0041
Jan 1, 2050 5:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 6:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 7:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 8:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 9:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 10:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 11:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 12:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 1:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 2:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 3:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 4:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 5:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 6:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 7:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 8:00 AM;0,0044;0,02;0,0154;0,0095;0,0066;0,0141;0,0073;0,0084;0,0023;0,0031
Jan 2, 2050 9:00 AM;0,0187;0,087;0,0668;0,0408;0,0272;0,0628;0,0302;0,0353;0,009;0,0139
Jan 2, 2050 10:00 AM;0,0516;0,1775;0,1432;0,1154;0,0642;0,1313;0,069;0,0822;0,022;0,0476
Jan 2, 2050 11:00 AM;0,0638;0,2167;0,1756;0,143;0,0791;0,1618;0,0851;0,1015;0,0271;0,059
Jan 2, 2050 12:00 PM;0,0678;0,2284;0,186;0,1523;0,0841;0,1719;0,0904;0,1079;0,0287;0,063
Jan 2, 2050 1:00 PM;0,0244;0,1934;0,1705;0,159;0,0941;0,1468;0,0678;0,1149;0,0384;0,0832
Jan 2, 2050 2:00 PM;0,0198;0,1566;0,1383;0,1287;0,076;0,1189;0,0547;0,093;0,0309;0,0672
Jan 2, 2050 3:00 PM;0,0122;0,0975;0,0861;0,0799;0,0469;0,0739;0,0339;0,0578;0,0191;0,0416
Jan 2, 2050 4:00 PM;0,0006;0,0066;0,0048;0,0058;0,0017;0,0048;0,0011;0,003;0,0023;0,0022
Jan 2, 2050 5:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 6:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 7:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 8:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 9:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 10:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 11:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 12:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 1:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 2:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 3:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 4:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 5:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 6:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 7:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 8:00 AM;0,011;0,02;0,0153;0,015;0,0078;0,0054;0,0098;0,0104;0,0109;0,0151
Jan 3, 2050 9:00 AM;0,0463;0,0872;0,0672;0,0645;0,0319;0,0236;0,0409;0,0452;0,0461;0,0656
Jan 3, 2050 10:00 AM;0,1177;0,1786;0,1494;0,14;0,0897;0,0557;0,1246;0,1222;0,1089;0,1549
Jan 3, 2050 11:00 AM;0,1448;0,2186;0,184;0,1719;0,1106;0,069;0,1537;0,1511;0,1341;0,1908
Jan 3, 2050 12:00 PM;0,1536;0,231;0,1953;0,182;0,1175;0,0735;0,1635;0,161;0,1423;0,2026
Jan 3, 2050 1:00 PM;0,1516;0,1958;0,179;0,1694;0,1234;0,0818;0,1456;0,1404;0,117;0,1699
Jan 3, 2050 2:00 PM;0,1226;0,159;0,1453;0,1372;0,1;0,0665;0,118;0,1139;0,0945;0,1378
Jan 3, 2050 3:00 PM;0,0764;0,0996;0,0909;0,0855;0,0624;0,0417;0,0736;0,0712;0,0586;0,086
Jan 3, 2050 4:00 PM;0,0056;0,0074;0,0068;0,0056;0,0045;0,0038;0,0053;0,005;0,0031;0,0059
Jan 3, 2050 5:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 6:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 7:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 8:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 9:00 PM;0;0;0;0;0;0;0;0;0;0
