TimeZone;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris
DateTime;Test case 0;Test case 1;Test case 8;Test case 9;Test case 6;Test case 7;Test case 4;Test case 5;Test case 2;Test case 3
Jan 1, 2050 12:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 1:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 2:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 3:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 4:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 5:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 6:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 7:00 AM;0,0091;0,009;0,0086;0,0024;0,0034;0,0059;0,0063;0,0014;0,0066;0,0043
Jan 1, 2050 8:00 AM;0,1051;0,1071;0,0959;0,0259;0,0339;0,0731;0,0726;0,0148;0,0849;0,0555
Jan 1, 2050 9:00 AM;0,2044;0,2092;0,1858;0,0506;0,0651;0,1441;0,1417;0,0285;0,1679;0,1101
Jan 1, 2050 10:00 AM;0,3351;0,3474;0,3076;0,0865;0,1037;0,2453;0,223;0,0637;0,304;0,1866
Jan 1, 2050 11:00 AM;0,3765;0,3904;0,3458;0,0976;0,1167;0,2768;0,2511;0,0719;0,3424;0,2112
Jan 1, 2050 12:00 PM;0,3748;0,3885;0,3442;0,0974;0,1161;0,2765;0,2501;0,0716;0,3411;0,2113
Jan 1, 2050 1:00 PM;0,28;0,2889;0,2229;0,0476;0,0859;0,2095;0,2332;0,0495;0,2554;0,2025
Jan 1, 2050 2:00 PM;0,2079;0,2143;0,1653;0,0349;0,0632;0,1565;0,1734;0,0366;0,1893;0,1505
Jan 1, 2050 3:00 PM;0,1044;0,1076;0,0834;0,0171;0,0313;0,0803;0,088;0,0183;0,095;0,0763
Jan 1, 2050 4:00 PM;0,0024;0,0025;0,0021;0,0002;0,0008;0,0019;0,0022;0,0008;0,0021;0,0017
Jan 1, 2050 5:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 6:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 7:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 8:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 9:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 10:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 11:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 12:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 1:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 2:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 3:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 4:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 5:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 6:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 7:00 AM;0,0088;0,0087;0,0086;0,0026;0,0025;0,0065;0,0085;0,0012;0,0082;0,0048
Jan 2, 2050 8:00 AM;0,0967;0,0952;0,0959;0,0283;0,03;0,0724;0,0918;0,0127;0,0877;0,0523
Jan 2, 2050 9:00 AM;0,1864;0,1837;0,1858;0,0549;0,0591;0,1405;0,1771;0,0245;0,1686;0,1016
Jan 2, 2050 10:00 AM;0,2995;0,3098;0,3076;0,0802;0,0969;0,2464;0,289;0,0668;0,2579;0,1707
Jan 2, 2050 11:00 AM;0,336;0,348;0,3458;0,0908;0,11;0,2775;0,3248;0,0752;0,2894;0,1927
Jan 2, 2050 12:00 PM;0,3342;0,3468;0,3442;0,0908;0,1104;0,2768;0,3236;0,075;0,2879;0,1925
Jan 2, 2050 1:00 PM;0,2541;0,2788;0,2229;0,0655;0,0815;0,2406;0,2409;0,1279;0,167;0,164
Jan 2, 2050 2:00 PM;0,1889;0,2081;0,1653;0,0482;0,0606;0,1791;0,1799;0,0957;0,1238;0,1221
Jan 2, 2050 3:00 PM;0,0954;0,106;0,0834;0,0238;0,0309;0,0911;0,0922;0,0496;0,0621;0,0623
Jan 2, 2050 4:00 PM;0,0023;0,0027;0,0021;0,0005;0,0012;0,0021;0,0024;0,0011;0,0014;0,0019
Jan 2, 2050 5:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 6:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 7:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 8:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 9:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 10:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 11:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 12:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 1:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 2:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 3:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 4:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 5:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 6:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 7:00 AM;0,0036;0,0078;0,0053;0,0081;0,0073;0,007;0,0066;0,0046;0,0051;0,0073
Jan 3, 2050 8:00 AM;0,0397;0,094;0,0656;0,0981;0,0898;0,0697;0,0826;0,0499;0,0687;0,085
Jan 3, 2050 9:00 AM;0,0772;0,1845;0,1294;0,1926;0,1764;0,1328;0,1629;0,0963;0,1369;0,1661
Jan 3, 2050 10:00 AM;0,1408;0,3035;0,2409;0,3244;0,2934;0,2262;0,3069;0,1798;0,2636;0,2759
Jan 3, 2050 11:00 AM;0,1587;0,3432;0,2722;0,3659;0,3307;0,2535;0,3462;0,2023;0,2974;0,3113
Jan 3, 2050 12:00 PM;0,1583;0,3433;0,2719;0,3653;0,33;0,2518;0,3457;0,2015;0,2972;0,3108
Jan 3, 2050 1:00 PM;0,1427;0,2898;0,2142;0,2779;0,2656;0,2089;0,2687;0,159;0,2439;0,2431
Jan 3, 2050 2:00 PM;0,1066;0,216;0,1596;0,2072;0,1981;0,1549;0,2003;0,1179;0,1822;0,1815
Jan 3, 2050 3:00 PM;0,0549;0,1105;0,0813;0,1062;0,1014;0,0779;0,1024;0,0594;0,0932;0,0932
Jan 3, 2050 4:00 PM;0,0012;0,003;0,0026;0,003;0,0025;0,0018;0,0028;0,0014;0,0026;0,0023
Jan 3, 2050 5:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 6:00 PM;0;0;0;0;0;0;0;0;0;0
