TimeZone;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris
DateTime;Test case 0;Test case 1;Test case 8;Test case 9;Test case 6;Test case 7;Test case 4;Test case 5;Test case 2;Test case 3
Jan 1, 2050 12:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 1:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 2:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 3:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 4:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 5:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 6:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 7:00 AM;0,0224;0,0404;0,0308;0,0306;0,0552;0,0284;0,0235;0,02;0,0081;0,0142
Jan 1, 2050 8:00 AM;0,0732;0,1291;0,0976;0,0945;0,1724;0,0905;0,0751;0,062;0,025;0,0456
Jan 1, 2050 9:00 AM;0,1128;0,1976;0,1492;0,1432;0,2601;0,1384;0,1151;0,0942;0,0382;0,0699
Jan 1, 2050 10:00 AM;0,1923;0,335;0,2272;0,1955;0,3526;0,1294;0,219;0,1303;0,1058;0,1323
Jan 1, 2050 11:00 AM;0,2057;0,3581;0,2426;0,2085;0,3745;0,1384;0,2338;0,139;0,1134;0,1414
Jan 1, 2050 12:00 PM;0,1969;0,343;0,2323;0,1992;0,3585;0,1324;0,2236;0,1326;0,1087;0,1354
Jan 1, 2050 1:00 PM;0,1248;0,2704;0,2341;0,1148;0,2299;0,0232;0,104;0,0726;0,0504;0,0955
Jan 1, 2050 2:00 PM;0,0873;0,189;0,1642;0,0795;0,1617;0,0161;0,0726;0,0502;0,0351;0,0665
Jan 1, 2050 3:00 PM;0,0369;0,0791;0,0695;0,0325;0,0678;0,0067;0,0306;0,0205;0,0146;0,0275
Jan 1, 2050 4:00 PM;0,0001;0,0001;0,0001;0,0001;0;0;0;0;0;0
Jan 1, 2050 5:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 6:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 7:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 8:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 9:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 10:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 1, 2050 11:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 12:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 1:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 2:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 3:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 4:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 5:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 6:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 7:00 AM;0,0415;0,0571;0,0308;0,0166;0,0255;0,0417;0,0357;0,0065;0,0428;0,0246
Jan 2, 2050 8:00 AM;0,1324;0,1797;0,0976;0,051;0,0792;0,1325;0,114;0,0199;0,1365;0,0785
Jan 2, 2050 9:00 AM;0,2017;0,2724;0,1492;0,0775;0,1202;0,2019;0,174;0,0303;0,2078;0,1202
Jan 2, 2050 10:00 AM;0,3105;0,3886;0,2272;0,1393;0,1727;0,3015;0,2927;0,0657;0,3112;0,2078
Jan 2, 2050 11:00 AM;0,3301;0,4127;0,2426;0,1487;0,184;0,3212;0,312;0,0701;0,331;0,2219
Jan 2, 2050 12:00 PM;0,3152;0,3939;0,2323;0,1422;0,1756;0,3072;0,2984;0,067;0,3162;0,2122
Jan 2, 2050 1:00 PM;0,2415;0,2738;0,2341;0,0943;0,1289;0,1529;0,215;0,0238;0,2351;0,148
Jan 2, 2050 2:00 PM;0,1695;0,1921;0,1642;0,0657;0,0896;0,1072;0,1508;0,0165;0,1649;0,1035
Jan 2, 2050 3:00 PM;0,0719;0,0815;0,0695;0,0275;0,0371;0,0456;0,0641;0,0068;0,07;0,044
Jan 2, 2050 4:00 PM;0,0001;0,0001;0,0001;0,0001;0;0,0001;0,0001;0;0,0001;0,0001
Jan 2, 2050 5:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 6:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 7:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 8:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 9:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 10:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 2, 2050 11:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 12:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 1:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 2:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 3:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 4:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 5:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 6:00 AM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 7:00 AM;0,032;0,0465;0,0062;0,0191;0,026;0,0482;0,0253;0,0267;0,0132;0,0084
Jan 3, 2050 8:00 AM;0,1021;0,1476;0,0198;0,0597;0,0824;0,1524;0,0792;0,0856;0,0409;0,0271
Jan 3, 2050 9:00 AM;0,1558;0,2252;0,0305;0,0913;0,1263;0,2319;0,121;0,131;0,0623;0,0418
Jan 3, 2050 10:00 AM;0,2618;0,3322;0,0495;0,1643;0,2102;0,3763;0,1378;0,1956;0,1303;0,0874
Jan 3, 2050 11:00 AM;0,2787;0,3556;0,0531;0,1762;0,225;0,4005;0,1477;0,2091;0,1388;0,0937
Jan 3, 2050 12:00 PM;0,2664;0,3415;0,0508;0,169;0,2157;0,3831;0,1417;0,2004;0,1324;0,0899
Jan 3, 2050 1:00 PM;0,2082;0,2464;0,0269;0,1627;0,1662;0,2649;0,0891;0,2055;0,0926;0,0568
Jan 3, 2050 2:00 PM;0,1463;0,1733;0,0187;0,1141;0,1167;0,1864;0,0624;0,1445;0,0646;0,0397
Jan 3, 2050 3:00 PM;0,0625;0,0744;0,0078;0,0488;0,0502;0,0801;0,0268;0,0621;0,0273;0,0169
Jan 3, 2050 4:00 PM;0,0001;0,0001;0;0,0001;0,0001;0,0001;0,0001;0,0001;0,0001;0,0001
Jan 3, 2050 5:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 6:00 PM;0;0;0;0;0;0;0;0;0;0
Jan 3, 2050 7:00 PM;0;0;0;0;0;0;0;0;0;0
