TimeZone;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris
DateTime;Test case 0;Test case 1;Test case 8;Test case 9;Test case 6;Test case 7;Test case 4;Test case 5;Test case 2;Test case 3
Jan 1, 2050 12:00 AM;1025,693874;543,190734;1315,314203;870,584333;2285,36141;1337,44825;898,576071;1797,980134;1200,557337;2148,840988
Jan 1, 2050 1:00 AM;679,946923;127,858785;1011,008947;502,467568;2028,689544;1036,101311;534,495416;1534,993076;880,026247;1892,556453
Jan 1, 2050 2:00 AM;449,274002;0;799,427553;261,538774;1866,254379;825,948554;295,416272;1350,726994;660,91153;1724,353413
Jan 1, 2050 3:00 AM;325,78533;0;685,046792;133,143899;1768,217335;712,230186;167,908331;1247,216783;542,954967;1625,117886
Jan 1, 2050 4:00 AM;313,480529;0;659,769182;127,819491;1715,484077;685,998281;161,326497;1205,185671;522,782839;1575,006134
Jan 1, 2050 5:00 AM;666,499774;70,530874;1023,939654;474,913682;2141,787619;1051,07814;509,487255;1595,484197;882,482155;1990,638405
Jan 1, 2050 6:00 AM;2287,918361;2061,750277;2424,517372;2215,212254;3120,145619;2435,505806;2228,331014;2724,632147;2369,881136;3003,732769
Jan 1, 2050 7:00 AM;3191,858135;3001,181431;3307,426153;3130,561476;4009,70921;3316,985951;3141,622886;3595,954655;3260,957565;3886,366489
Jan 1, 2050 8:00 AM;3196,764338;3038,777876;3293,285736;3145,976159;4092,951863;3301,759321;3155,140204;3599,120672;3254,019274;3943,368817
Jan 1, 2050 9:00 AM;4163,137506;4419,775691;4012,086529;4245,639178;4348,161412;4002,476209;4230,749358;4016,596979;4070,130162;4235,391726
Jan 1, 2050 10:00 AM;4758,691007;5319,600767;4426,124565;4939,005183;4469,283992;4403,367419;4906,466505;4224,010346;4555,414793;4373,242548
Jan 1, 2050 11:00 AM;4819,423509;5374,885363;4490,233589;4997,989078;4575,283791;4467,804833;4965,764757;4303,054099;4618,123249;4470,97085
Jan 1, 2050 12:00 PM;4518,455482;4904,729126;4290,005508;4642,629001;4484,319763;4274,753617;4620,219893;4201,281267;4378,465914;4382,370106
Jan 1, 2050 1:00 PM;3791,764909;3921,756826;3716,367127;3833,551834;4203,619292;3712,305757;3826,012898;3815,852456;3744,656382;4077,523147
Jan 1, 2050 2:00 PM;3253,898584;3198,675736;3289,300148;3236,145877;4042,741875;3293,465368;3239,348381;3541,509278;3273,910726;3887,343238
Jan 1, 2050 3:00 PM;3106,095018;2896,775867;3233,473849;3038,805943;4148,764129;3244,333173;3050,947953;3594,469884;3181,953107;3981,956045
Jan 1, 2050 4:00 PM;3602,963115;3321,917414;3773,172983;3512,613765;4770,243599;3787,164642;3528,918188;4186,778779;3704,814536;4596,721764
Jan 1, 2050 5:00 PM;6309,025791;6288,859277;6322,902373;6302,542193;6868,801623;6325,111287;6303,712609;6498,018443;6316,331766;6753,140982
Jan 1, 2050 6:00 PM;8496,397871;8759,224944;8341,420247;8580,889529;8604,533609;8331,372074;8565,640445;8321,183564;8401,147932;8506,684617
Jan 1, 2050 7:00 PM;6933,407443;6872,413913;6971,531556;6913,799472;7524,922027;6975,424521;6917,338787;7164,61926;6955,513422;7413,940243
Jan 1, 2050 8:00 PM;4473,741114;4280,524299;4591,141941;4411,62769;5384,922309;4601,035742;4422,837858;4908,697873;4543,763965;5242,064241
Jan 1, 2050 9:00 PM;3054,832498;2773,309649;3224,713975;2964,331583;4046,665714;3238,279008;2980,664074;3584,81185;3156,860743;3911,318515
Jan 1, 2050 10:00 PM;2381,882808;2076,485725;2565,913123;2283,708233;3384,440624;2580,443678;2301,424452;2934,128124;2492,561463;3253,528093
Jan 1, 2050 11:00 PM;1650,010971;1279,171656;1873,203898;1530,796982;2789,98737;1890,650669;1552,310737;2296,667007;1784,403875;2647,805729
Jan 2, 2050 12:00 AM;1635,213773;927,755066;1474,428979;1606,680332;2115,898138;1469,8652;994,783113;1660,589619;1351,757072;1348,826823
Jan 2, 2050 1:00 AM;1333,816313;524,949652;1151,745111;1301,875474;1845,885779;1146,518938;601,804138;1362,063466;1011,11841;1007,758728
Jan 2, 2050 2:00 AM;1153,600374;297,19856;961,023499;1119,8576;1691,618264;955,488584;378,597177;1183,422115;812,091619;808,532657
