TimeZone;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris
DateTime;Test case 0;Test case 1;Test case 8;Test case 9;Test case 6;Test case 7;Test case 4;Test case 5;Test case 2;Test case 3
Jan 1, 2050 12:00 AM;0,8379;0,1679;0,0482154;0,5037;0,8386;0,0164;0,1835;0,6116;0,1564;0,4318
Jan 1, 2050 1:00 AM;0,8365;0,1487;0,0474538;0,5364;0,8387;0,009;0,1835;0,6244;0,2146;0,5027
Jan 1, 2050 2:00 AM;0,8351;0,1367;0,0466923;0,5678;0,8389;0,0052;0,2009;0,6412;0,2865;0,5678
Jan 1, 2050 3:00 AM;0,8357;0,1325;0,0459308;0,5961;0,839;0,007;0,2292;0,6548;0,3779;0,6143
Jan 1, 2050 4:00 AM;0,8367;0,1325;0,0451692;0,6153;0,8388;0,0126;0,2641;0,6597;0,4805;0,6469
Jan 1, 2050 5:00 AM;0,8372;0,1353;0,0444077;0,6171;0,8379;0,0217;0,2994;0,6462;0,5851;0,6697
Jan 1, 2050 6:00 AM;0,8368;0,1374;0,0436462;0,5979;0,8362;0,0333;0,3282;0,5988;0,6768;0,6917
Jan 1, 2050 7:00 AM;0,8352;0,1402;0,0428846;0,566;0,8308;0,0403;0,3588;0,5069;0,744;0,7141
Jan 1, 2050 8:00 AM;0,8316;0,1423;0,0421231;0,529;0,8244;0,0414;0,4015;0,3633;0,7858;0,7366
Jan 1, 2050 9:00 AM;0,8284;0,1444;0,0413615;0,4963;0,819;0,0368;0,4626;0,1972;0,8087;0,7617
Jan 1, 2050 10:00 AM;0,8234;0,1409;0,0406;0,471;0,8152;0,0319;0,5322;0,0826;0,8208;0,7757
Jan 1, 2050 11:00 AM;0,8163;0,1247;0,0398385;0,4464;0,809;0,0336;0,5952;0,0371;0,8278;0,7753
Jan 1, 2050 12:00 PM;0,8036;0,0959;0,0390769;0,4172;0,7975;0,0471;0,6498;0,031;0,8296;0,7539
Jan 1, 2050 1:00 PM;0,7868;0,0768;0,0383154;0,3779;0,7793;0,0812;0,696;0,0435;0,8302;0,7052
Jan 1, 2050 2:00 PM;0,7681;0,0773;0,0375538;0,3229;0,757;0,129;0,7408;0,0792;0,8303;0,6372
Jan 1, 2050 3:00 PM;0,7577;0,1121;0,0367923;0,2523;0,7282;0,178;0,7829;0,129;0,831;0,5705
Jan 1, 2050 4:00 PM;0,7539;0,178;0,0360308;0,1798;0,6981;0,2173;0,8146;0,1816;0,8321;0,5143
Jan 1, 2050 5:00 PM;0,7577;0,248;0,0352692;0,1191;0,659;0,2329;0,833;0,2228;0,8335;0,4637
Jan 1, 2050 6:00 PM;0,7635;0,2833;0,0345077;0,0758;0,6125;0,2237;0,8384;0,2366;0,835;0,4105
Jan 1, 2050 7:00 PM;0,7692;0,2812;0,0337462;0,0524;0,5797;0,2064;0,831;0,2265;0,8361;0,3565
Jan 1, 2050 8:00 PM;0,7717;0,2587;0,0329846;0,048;0,5943;0,2;0,8251;0,199;0,8365;0,309
Jan 1, 2050 9:00 PM;0,7692;0,2329;0,0322231;0,0661;0,6647;0,2192;0,8324;0,1624;0,8366;0,2726
Jan 1, 2050 10:00 PM;0,7653;0,2118;0,0314615;0,1022;0,7392;0,2555;0,8387;0,136;0,8363;0,2459
Jan 1, 2050 11:00 PM;0,7645;0,1963;0,0307;0,1564;0,7836;0,2962;0,8347;0,1276;0,8339;0,2338
Jan 2, 2050 12:00 AM;0,771;0,1899;0,0223;0,2173;0,8;0,3229;0,8282;0,1409;0,8287;0,2329
Jan 2, 2050 1:00 AM;0,7811;0,1926;0,0163;0,2705;0,8036;0,3421;0,8228;0,1633;0,8161;0,2448
Jan 2, 2050 2:00 AM;0,7908;0,2027;0,0134;0,3143;0,8003;0,3667;0,8178;0,1752;0,7901;0,2748
Jan 2, 2050 3:00 AM;0,7946;0,2192;0,0114;0,3464;0,7939;0,4015;0,809;0,1536;0,7319;0,3197
Jan 2, 2050 4:00 AM;0,7963;0,2393;0,0112;0,3633;0,784;0,4397;0,7956;0,1142;0,6289;0,3723
Jan 2, 2050 5:00 AM;0,797;0,2587;0,0137;0,3633;0,7743;0,47;0,7778;0,0719;0,4805;0,4206
Jan 2, 2050 6:00 AM;0,7982;0,2737;0,0232;0,3454;0,7692;0,4869;0,7624;0,0394;0,34;0,4563
Jan 2, 2050 7:00 AM;0,8038;0,2823;0,0397;0,324;0,7714;0,4984;0,7539;0,0229;0,3069;0,4763
Jan 2, 2050 8:00 AM;0,816;0,2844;0,0597;0,3101;0,7825;0,5195;0,7584;0,0168;0,4679;0,4879
Jan 2, 2050 9:00 AM;0,8296;0,2812;0,0724;0,3154;0,7989;0,556;0,7735;0,0232;0,7508;0,489
Jan 2, 2050 10:00 AM;0,8369;0,2833;0,0802;0,3304;0,8136;0,5879;0,7918;0,0379;0,8363;0,4805
Jan 2, 2050 11:00 AM;0,8389;0,3015;0,0931;0,3421;0,8196;0,6034;0,7998;0,0583;0,8312;0,4595
Jan 2, 2050 12:00 PM;0,8383;0,3421;0,1283;0,3454;0,8196;0,5897;0,7986;0,0734;0,837;0,4262
Jan 2, 2050 1:00 PM;0,8364;0,3992;0,1835;0,3476;0,8149;0,5687;0,7916;0,0787;0,8323;0,3914
Jan 2, 2050 2:00 PM;0,8318;0,4584;0,2609;0,3633;0,8057;0,5696;0,7796;0,0763;0,8113;0,3745
Jan 2, 2050 3:00 PM;0,8294;0,5058;0,3509;0,4026;0,796;0,6107;0,7725;0,069;0,822;0,3835
Jan 2, 2050 4:00 PM;0,8296;0,5417;0,4307;0,4573;0,784;0,664;0,7703;0,0592;0,8378;0,3992
Jan 2, 2050 5:00 PM;0,8313;0,5642;0,4721;0,51;0,7678;0,701;0,7714;0,0495;0,8355;0,397
Jan 2, 2050 6:00 PM;0,8332;0,5751;0,4679;0,5522;0,744;0,7094;0,7743;0,0426;0,8368;0,3588
Jan 2, 2050 7:00 PM;0,8339;0,5824;0,4296;0,5715;0,712;0,6995;0,7782;0,0379;0,8377;0,2994
Jan 2, 2050 8:00 PM;0,8325;0,5924;0,3779;0,566;0,6683;0,6839;0,7825;0,0316;0,8249;0,2366
Jan 2, 2050 9:00 PM;0,8279;0,6089;0,3336;0,5269;0,6198;0,6739;0,7861;0,0232;0,8019;0,1917
Jan 2, 2050 10:00 PM;0,817;0,6299;0,3004;0,4531;0,5642;0,6683;0,7868;0,0153;0,7807;0,1624
Jan 2, 2050 11:00 PM;0,8019;0,6455;0,2801;0,3464;0,5027;0,6597;0,7811;0,0109;0,7707;0,1522
Jan 3, 2050 12:00 AM;0,7876;0,6533;0,2716;0,2311;0,443;0,6448;0,7678;0,0073;0,775;0,1588
Jan 3, 2050 1:00 AM;0,7732;0,6569;0,2673;0,1473;0,3891;0,6262;0,7476;0,0042;0,7868;0,1734
Jan 3, 2050 2:00 AM;0,7631;0,6597;0,2577;0,1163;0,3521;0,6125;0,7241;0,0032;0,796;0,1789
Jan 3, 2050 3:00 AM;0,755;0,6647;0,2375;0,1381;0,3379;0,6116;0,7094;0,0021;0,7996;0,1652
Jan 3, 2050 4:00 AM;0,7413;0,6704;0,2091;0,2045;0,3476;0,6171;0,6995;0,0016;0,7984;0,1444
Jan 3, 2050 5:00 AM;0,7178;0,6768;0,1771;0,294;0,3824;0,6207;0,696;0,0024;0,7923;0,1297
Jan 3, 2050 6:00 AM;0,6704;0,6832;0,1459;0,37;0,4419;0,6171;0,6946;0,007;0,7771;0,1254
Jan 3, 2050 7:00 AM;0,6153;0,6896;0,1149;0,4127;0,5195;0,6052;0,6931;0,0214;0,7591;0,1254
Jan 3, 2050 8:00 AM;0,5842;0,6967;0,0797;0,4138;0,6052;0,5851;0,6889;0,0451;0,7377;0,1205
Jan 3, 2050 9:00 AM;0,6052;0,7038;0,0437;0,3734;0,6846;0,5596;0,6789;0,069;0,7225;0,1022
Jan 3, 2050 10:00 AM;0,6469;0,7073;0,0217;0,3079;0,7403;0,5311;0,664;0,0826;0,6988;0,0802
Jan 3, 2050 11:00 AM;0,6683;0,7031;0,0113;0,242;0,7703;0,5079;0,6469;0,0966;0,6362;0,0597
Jan 3, 2050 12:00 PM;0,6548;0,6889;0,0075;0,1972;0,7811;0,4974;0,6262;0,1219;0,4879;0,0435
Jan 3, 2050 1:00 PM;0,6235;0,6732;0,0074;0,1679;0,784;0,5006;0,6089;0,1522;0,2994;0,0406
Jan 3, 2050 2:00 PM;0,6107;0,6668;0,0098;0,1543;0,7883;0,5132;0,6034;0,1871;0,1707;0,0549
Jan 3, 2050 3:00 PM;0,6491;0,6775;0,0137;0,1536;0,7975;0,5332;0,6153;0,2137;0,1346;0,1029
Jan 3, 2050 4:00 PM;0,711;0,6953;0,0206;0,1543;0,8097;0,555;0,6405;0,2338;0,148;0,1935
Jan 3, 2050 5:00 PM;0,7645;0,7066;0,033;0,1466;0,8195;0,5696;0,6668;0,2555;0,1917;0,294
Jan 3, 2050 6:00 PM;0,7986;0,701;0,0485;0,1219;0,8274;0,5751;0,6939;0,2812;0,2402;0,3599
Jan 3, 2050 7:00 PM;0,8175;0,6832;0,0734;0,089;0,8318;0,5715;0,7167;0,3069;0,2844;0,3959
Jan 3, 2050 8:00 PM;0,8271;0,6633;0,1015;0,0656;0,836;0,5605;0,733;0,3304;0,3069;0,4262
Jan 3, 2050 9:00 PM;0,8299;0,6476;0,136;0,0471;0,8375;0,5427;0,744;0,3443;0,3026;0,4689
Jan 3, 2050 10:00 PM;0,8295;0,6353;0,1707;0,0374;0,8386;0,5227;0,7523;0,3421;0,2908;0,5132
Jan 3, 2050 11:00 PM;0,8252;0,6235;0,2036;0,0295;0,8389;0,5079;0,7595;0,3143;0,2972;0,5438
Jan 4, 2050 12:00 AM;0,8155;0,6125;0,2283;0,0214;0,8389;0,5048;0,7671;0,2587;0,3389;0,549
Jan 4, 2050 1:00 AM;0,7998;0,6034;0,2491;0,0157;0,838;0,5079;0,7757;0,2036;0,4082;0,5364
Jan 4, 2050 2:00 AM;0,7822;0,5979;0,2748;0,0136;0,8371;0,5132;0,7861;0,167;0,4826;0,5195
Jan 4, 2050 3:00 AM;0,7699;0,5952;0,3058;0,0132;0,8363;0,5185;0,7953;0,1643;0,5427;0,5069
Jan 4, 2050 4:00 AM;0,7656;0,5952;0,3379;0,0144;0,8344;0,5269;0,8033;0,1835;0,587;0,5016
Jan 4, 2050 5:00 AM;0,766;0,5952;0,361;0,0165;0,8307;0,548;0,8118;0,2091;0,6226;0,5006
Jan 4, 2050 6:00 AM;0,7674;0,5934;0,3689;0,0217;0,8234;0,5788;0,8173;0,2265;0,6484;0,5016
Jan 4, 2050 7:00 AM;0,7678;0,5897;0,3655;0,0287;0,8134;0,6098;0,8208;0,2338;0,6661;0,5048
Jan 4, 2050 8:00 AM;0,7653;0,5833;0,3633;0,0362;0,8017;0,6253;0,8214;0,232;0,6789;0,5048
Jan 4, 2050 9:00 AM;0,7595;0,5733;0,3667;0,0446;0,7977;0,6189;0,8185;0,2228;0,6875;0,5006
Jan 4, 2050 10:00 AM;0,7595;0,5578;0,3734;0,0617;0,7989;0,6107;0,8139;0,2173;0,6889;0,489
Jan 4, 2050 11:00 AM;0,7757;0,5343;0,3801;0,0841;0,8007;0,6289;0,8078;0,2274;0,6825;0,4647
Jan 4, 2050 12:00 PM;0,8059;0,5027;0,3813;0,1212;0,8007;0,6818;0,8055;0,263;0,6661;0,4251
Jan 4, 2050 1:00 PM;0,8265;0,4732;0,3779;0,1652;0,7989;0,7382;0,8052;0,3186;0,6405;0,3801
Jan 4, 2050 2:00 PM;0,8331;0,4573;0,3756;0,2091;0,7972;0,7725;0,804;0,379;0,5979;0,3421
Jan 4, 2050 3:00 PM;0,831;0,4637;0,3745;0,2347;0,7967;0,7858;0,7998;0,4318;0,5459;0,3208
Jan 4, 2050 4:00 PM;0,8214;0,4826;0,3711;0,2491;0,796;0,7883;0,7932;0,4679;0,4816;0,309
Jan 4, 2050 5:00 PM;0,8073;0,5006;0,3599;0,2609;0,7937;0,7894;0,7829;0,4847;0,4138;0,2951
Jan 4, 2050 6:00 PM;0,7989;0,5079;0,3389;0,2758;0,7861;0,7939;0,7714;0,4816;0,3443;0,2737
Jan 4, 2050 7:00 PM;0,7953;0,5069;0,3154;0,2908;0,7717;0,8019;0,755;0,4626;0,2812;0,2512
Jan 4, 2050 8:00 PM;0,7861;0,5037;0,2994;0,2972;0,7487;0,8134;0,7199;0,4341;0,221;0,2375
