TimeZone;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris
DateTime;Test case 0;Test case 1;Test case 8;Test case 9;Test case 6;Test case 7;Test case 4;Test case 5;Test case 2;Test case 3
Jan 1, 2050 12:00 AM;0,6336;0,7732;0,336181;0,8369;0,2602;0,7336;0,3185;0,6884;0,0766;0,0485
Jan 1, 2050 1:00 AM;0,6565;0,7848;0,339808;0,8297;0,2842;0,7725;0,2433;0,7066;0,1686;0,0367
Jan 1, 2050 2:00 AM;0,6895;0,801;0,343435;0,789;0,3133;0,7963;0,1877;0,7285;0,303;0,0372
Jan 1, 2050 3:00 AM;0,7055;0,8154;0,347062;0,7679;0,353;0,8087;0,1598;0,7581;0,4088;0,0579
Jan 1, 2050 4:00 AM;0,7126;0,8249;0,350688;0,7725;0,4016;0,8159;0,1559;0,7823;0,4723;0,1007
Jan 1, 2050 5:00 AM;0,7294;0,8266;0,354315;0,7687;0,4448;0,8222;0,1627;0,8004;0,5128;0,1598
Jan 1, 2050 6:00 AM;0,7633;0,8183;0,357942;0,7285;0,4723;0,8293;0,173;0,8135;0,5516;0,2199
Jan 1, 2050 7:00 AM;0,7921;0,8041;0,361569;0,6473;0,4875;0,8346;0,1862;0,8217;0,5927;0,2671
Jan 1, 2050 8:00 AM;0,8053;0,789;0,365196;0,5595;0,4959;0,8373;0,2067;0,8301;0,6451;0,315
Jan 1, 2050 9:00 AM;0,8057;0,7879;0,368823;0,5085;0,5043;0,8385;0,2345;0,8366;0,7032;0,362
Jan 1, 2050 10:00 AM;0,7974;0,7968;0,37245;0,5035;0,5313;0,8389;0,2671;0,8389;0,747;0,3944
Jan 1, 2050 11:00 AM;0,7841;0,8068;0,376077;0,5374;0,5883;0,838;0,2962;0,8385;0,7708;0,389
Jan 1, 2050 12:00 PM;0,7714;0,8114;0,379704;0,6023;0,6736;0,8356;0,3099;0,8383;0,7777;0,3373
Jan 1, 2050 1:00 PM;0,7593;0,8163;0,383331;0,6662;0,7436;0,8277;0,3116;0,8353;0,7748;0,2774
Jan 1, 2050 2:00 PM;0,7336;0,8266;0,386958;0,7037;0,7783;0,8145;0,3048;0,8293;0,7697;0,2517
Jan 1, 2050 3:00 PM;0,6861;0,8359;0,390585;0,7056;0,7881;0,7996;0,2928;0,8268;0,7679;0,2911
Jan 1, 2050 4:00 PM;0,6131;0,8387;0,394212;0,6846;0,7875;0,7881;0,2859;0,827;0,7651;0,3638
Jan 1, 2050 5:00 PM;0,5263;0,8338;0,397838;0,6573;0,7921;0,7771;0,2928;0,8261;0,7537;0,4214
Jan 1, 2050 6:00 PM;0,4466;0,8244;0,401465;0,6429;0,8057;0,7702;0,3202;0,8205;0,7235;0,4214
Jan 1, 2050 7:00 PM;0,3728;0,8117;0,405092;0,6484;0,8205;0,7679;0,353;0,8137;0,6782;0,3872
Jan 1, 2050 8:00 PM;0,303;0,7914;0,408719;0,6798;0,8293;0,7714;0,3728;0,8087;0,6321;0,353
Jan 1, 2050 9:00 PM;0,2301;0,7562;0,412346;0,7305;0,8312;0,7812;0,3674;0,8137;0,597;0,3476
Jan 1, 2050 10:00 PM;0,1745;0,7055;0,415973;0,7832;0,8309;0,7887;0,3512;0,8205;0,5751;0,353
Jan 1, 2050 11:00 PM;0,1492;0,6554;0,4196;0,8203;0,8309;0,7852;0,3476;0,8258;0,5465;0,3476
Jan 2, 2050 12:00 AM;0,1548;0,6321;0,4304;0,8372;0,8329;0,7645;0,371;0,8261;0,4942;0,315
Jan 2, 2050 1:00 AM;0,1789;0,6204;0,4142;0,8366;0,8352;0,726;0,4016;0,822;0,4322;0,2568
Jan 2, 2050 2:00 AM;0,1862;0,5941;0,3908;0,821;0,8356;0,6873;0,4106;0,8157;0,3746;0,195
Jan 2, 2050 3:00 AM;0,1598;0,5313;0,371;0,7887;0,8326;0,6713;0,38;0,8053;0,3407;0,1368
Jan 2, 2050 4:00 AM;0,1323;0,425;0,3459;0,7369;0,8284;0,6725;0,3219;0,7932;0,3322;0,0852
Jan 2, 2050 5:00 AM;0,1221;0,2962;0,2979;0,6941;0,8239;0,6713;0,2602;0,7754;0,3476;0,0441
Jan 2, 2050 6:00 AM;0,1481;0,1803;0,2199;0,6873;0,8249;0,6554;0,2155;0,7562;0,3836;0,0177
Jan 2, 2050 7:00 AM;0,2023;0,1109;0,139;0,7143;0,8307;0,6306;0,1818;0,7353;0,4286;0,0062
Jan 2, 2050 8:00 AM;0,2465;0,0891;0,0774;0,7487;0,8373;0,6146;0,1583;0,7285;0,4638;0,0026
Jan 2, 2050 9:00 AM;0,2517;0,1199;0,0404;0,7771;0,8371;0,6219;0,1447;0,7378;0,4807;0,0021
Jan 2, 2050 10:00 AM;0,2316;0,1906;0,021;0,7989;0,8249;0,638;0,1323;0,7445;0,4908;0,0029
Jan 2, 2050 11:00 AM;0,2155;0,2756;0,0107;0,8159;0,8177;0,6365;0,1199;0,726;0,5178;0,0055
Jan 2, 2050 12:00 PM;0,2214;0,3339;0,0041;0,8281;0,8316;0,6029;0,103;0,6542;0,5693;0,0131
Jan 2, 2050 1:00 PM;0,2483;0,3638;0,0032;0,8347;0,8388;0,5415;0,0868;0,5313;0,6321;0,0275
Jan 2, 2050 2:00 PM;0,2945;0,3818;0,0051;0,8372;0,8318;0,452;0,0758;0,4268;0,6816;0,0509
Jan 2, 2050 3:00 PM;0,3476;0,4034;0,0219;0,8381;0,8275;0,3476;0,0688;0,4124;0,716;0,0875
Jan 2, 2050 4:00 PM;0,4052;0,4268;0,0719;0,8388;0,8307;0,2465;0,068;0,4571;0,7369;0,1379
Jan 2, 2050 5:00 PM;0,4588;0,443;0,1424;0,8381;0,8375;0,1559;0,0751;0,5026;0,752;0,1891
Jan 2, 2050 6:00 PM;0,506;0,4484;0,1862;0,8332;0,8356;0,0868;0,0907;0,5077;0,7622;0,2345
Jan 2, 2050 7:00 PM;0,5482;0,452;0,1935;0,8167;0,8097;0,0418;0,1165;0,4807;0,7708;0,2842
Jan 2, 2050 8:00 PM;0,5839;0,4706;0,192;0,7926;0,7618;0,0167;0,139;0,4412;0,7841;0,3476
