TimeZone;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris
DateTime;Test case 0;Test case 1;Test case 8;Test case 9;Test case 6;Test case 7;Test case 4;Test case 5;Test case 2;Test case 3
Jan 1, 2050 12:00 AM;0,5615;0,4669;0,0497077;0,3964;0,8258;0,1979;0,1884;0,3746;0,2499;0,279
Jan 1, 2050 1:00 AM;0,5762;0,4188;0,0499769;0,3815;0,8302;0,2073;0,2491;0,3589;0,2416;0,349
Jan 1, 2050 2:00 AM;0,5849;0,3936;0,0502462;0,3657;0,8316;0,2113;0,3015;0,3424;0,2343;0,4153
Jan 1, 2050 3:00 AM;0,5874;0,4031;0,0505154;0,3488;0,8266;0,2076;0,3312;0,3329;0,2264;0,4619
Jan 1, 2050 4:00 AM;0,5895;0,4449;0,0507846;0,3317;0,8162;0,2006;0,3455;0,3289;0,223;0,4908
Jan 1, 2050 5:00 AM;0,6011;0,5093;0,0510538;0,3158;0,8083;0,1957;0,3594;0,327;0,2293;0,5104
Jan 1, 2050 6:00 AM;0,6307;0,5941;0,0513231;0,3019;0,8117;0,1972;0,3837;0,3236;0,2451;0,5253
Jan 1, 2050 7:00 AM;0,6751;0,6838;0,0515923;0,2901;0,821;0,2032;0,4178;0,3189;0,2639;0,5362
Jan 1, 2050 8:00 AM;0,7172;0,7519;0,0518615;0,2791;0,8292;0,2093;0,4582;0,314;0,2768;0,5392
Jan 1, 2050 9:00 AM;0,7443;0,7853;0,0521308;0,2681;0,8322;0,2127;0,5004;0,3082;0,2766;0,5331
Jan 1, 2050 10:00 AM;0,7616;0,8012;0,0524;0,259;0,8332;0,2102;0,5403;0,2965;0,2734;0,5261
Jan 1, 2050 11:00 AM;0,7747;0,8095;0,0526692;0,2527;0,8344;0,1996;0,574;0,2728;0,281;0,5247
Jan 1, 2050 12:00 PM;0,7857;0,8154;0,0529385;0,2485;0,8356;0,1819;0,5981;0,2348;0,3071;0,537
Jan 1, 2050 1:00 PM;0,7927;0,8193;0,0532077;0,2455;0,8372;0,1658;0,6191;0,1913;0,3459;0,5614
Jan 1, 2050 2:00 PM;0,7911;0,8213;0,0534769;0,2431;0,8375;0,1624;0,6403;0,1506;0,3857;0,5915
Jan 1, 2050 3:00 PM;0,782;0,8221;0,0537462;0,2392;0,8372;0,1776;0,6649;0,1208;0,4171;0,6176
Jan 1, 2050 4:00 PM;0,7648;0,8212;0,0540154;0,2323;0,8359;0,2067;0,6916;0,0997;0,43;0,6353
Jan 1, 2050 5:00 PM;0,7419;0,8195;0,0542846;0,221;0,8342;0,2355;0,7183;0,086;0,413;0,6429
Jan 1, 2050 6:00 PM;0,7182;0,8178;0,0545538;0,2041;0,8331;0,2487;0,7437;0,0752;0,3576;0,6404
Jan 1, 2050 7:00 PM;0,6947;0,8172;0,0548231;0,1889;0,8313;0,2492;0,7671;0,0702;0,2881;0,6292
Jan 1, 2050 8:00 PM;0,67;0,8182;0,0550923;0,1795;0,8284;0,2421;0,7841;0,0689;0,2422;0,6119
Jan 1, 2050 9:00 PM;0,6466;0,8216;0,0553615;0,179;0,8207;0,2339;0,7963;0,068;0,2252;0,5922
Jan 1, 2050 10:00 PM;0,6211;0,8232;0,0556308;0,1828;0,8063;0,2278;0,8051;0,0688;0,2227;0,577
Jan 1, 2050 11:00 PM;0,5949;0,8222;0,0559;0,1829;0,7861;0,2278;0,8128;0,0777;0,22;0,579
Jan 2, 2050 12:00 AM;0,5689;0,8185;0,08;0,1751;0,7644;0,2361;0,823;0,0993;0,2175;0,6036
Jan 2, 2050 1:00 AM;0,5466;0,8127;0,1166;0,162;0,7481;0,2501;0,8306;0,1307;0,2257;0,6365
Jan 2, 2050 2:00 AM;0,5311;0,8035;0,1647;0,1492;0,7412;0,2661;0,8346;0,1566;0,2348;0,6582
Jan 2, 2050 3:00 AM;0,5246;0,7899;0,2053;0,142;0,7418;0,2808;0,8357;0,1602;0,2188;0,66
Jan 2, 2050 4:00 AM;0,5231;0,769;0,236;0,1414;0,7434;0,2973;0,8359;0,1457;0,1924;0,6472
Jan 2, 2050 5:00 AM;0,5231;0,7357;0,2569;0,1468;0,7382;0,3164;0,836;0,1275;0,1749;0,6317
Jan 2, 2050 6:00 AM;0,5218;0,6786;0,2699;0,1578;0,7249;0,3391;0,8366;0,1135;0,1675;0,6204
Jan 2, 2050 7:00 AM;0,5193;0,5994;0,2728;0,1683;0,7045;0,3627;0,8374;0,1016;0,1638;0,6093
Jan 2, 2050 8:00 AM;0,5171;0,5075;0,265;0,1718;0,6813;0,3815;0,8377;0,0896;0,1615;0,5903
Jan 2, 2050 9:00 AM;0,5163;0,4185;0,2461;0,1652;0,6576;0,3938;0,8376;0,0774;0,1686;0,5533
Jan 2, 2050 10:00 AM;0,5172;0,3473;0,223;0,16;0,6359;0,4036;0,8368;0,0663;0,1949;0,5137
Jan 2, 2050 11:00 AM;0,5192;0,2969;0,2022;0,1691;0,6165;0,4188;0,8355;0,0616;0,2422;0,4857
Jan 2, 2050 12:00 PM;0,5242;0,2592;0,1919;0,2027;0,6;0,4438;0,8348;0,0667;0,3005;0,4818
Jan 2, 2050 1:00 PM;0,5335;0,2325;0,1914;0,256;0,5926;0,4776;0,8347;0,0743;0,3678;0,4924
Jan 2, 2050 2:00 PM;0,548;0,2204;0,1915;0,3033;0,6018;0,5176;0,8346;0,0742;0,438;0,5005
Jan 2, 2050 3:00 PM;0,5664;0,2332;0,1834;0,3138;0,6342;0,5587;0,8348;0,0618;0,5027;0,4928
Jan 2, 2050 4:00 PM;0,5888;0,262;0,1714;0,2971;0,6751;0,5975;0,8354;0,0457;0,5574;0,4698
Jan 2, 2050 5:00 PM;0,6109;0,2945;0,1631;0,274;0,7098;0,6268;0,8363;0,0326;0,6015;0,4366
Jan 2, 2050 6:00 PM;0,6301;0,3144;0,1671;0,2599;0,7326;0,6463;0,8375;0,024;0,6368;0,3974
Jan 2, 2050 7:00 PM;0,646;0,3195;0,1839;0,2571;0,7475;0,6567;0,8382;0,0203;0,661;0,3529
Jan 2, 2050 8:00 PM;0,6572;0,3132;0,2134;0,2598;0,7543;0,6572;0,8387;0,0202;0,6681;0,3018
Jan 2, 2050 9:00 PM;0,6645;0,3009;0,25;0,2662;0,7528;0,6501;0,8387;0,0235;0,6606;0,2469
Jan 2, 2050 10:00 PM;0,6697;0,2889;0,294;0,2765;0,7455;0,6457;0,8382;0,029;0,633;0,1996
Jan 2, 2050 11:00 PM;0,6739;0,2858;0,3397;0,2901;0,7351;0,6557;0,8379;0,033;0,5876;0,1733
Jan 3, 2050 12:00 AM;0,6764;0,2988;0,3836;0,3064;0,7214;0,6854;0,8378;0,0309;0,5232;0,1717
Jan 3, 2050 1:00 AM;0,6772;0,3206;0,4236;0,3184;0,7071;0,7176;0,8375;0,0274;0,4551;0,1825
Jan 3, 2050 2:00 AM;0,676;0,3429;0,4642;0,3173;0,6938;0,742;0,8375;0,0249;0,4007;0,1878
Jan 3, 2050 3:00 AM;0,6692;0,3573;0,512;0,2994;0,6805;0,7519;0,8365;0,0254;0,3669;0,1749
Jan 3, 2050 4:00 AM;0,6615;0,3649;0,5595;0,2708;0,667;0,754;0,8343;0,0281;0,3475;0,1531
Jan 3, 2050 5:00 AM;0,6529;0,3703;0,5992;0,2386;0,655;0,7531;0,83;0,0319;0,3331;0,1362
Jan 3, 2050 6:00 AM;0,6495;0,3766;0,6243;0,2073;0,6457;0,7532;0,824;0,0363;0,3157;0,1325
Jan 3, 2050 7:00 AM;0,6505;0,3789;0,6394;0,1775;0,6462;0,7551;0,8166;0,0421;0,2943;0,1392
Jan 3, 2050 8:00 AM;0,6537;0,3725;0,6525;0,1472;0,6632;0,7588;0,8079;0,0496;0,2737;0,1478
Jan 3, 2050 9:00 AM;0,6567;0,3553;0,6685;0,1168;0,6948;0,7641;0,7961;0,061;0,2559;0,1567
Jan 3, 2050 10:00 AM;0,6556;0,3342;0,6878;0,0921;0,7268;0,7705;0,7852;0,0764;0,2453;0,1687
Jan 3, 2050 11:00 AM;0,6457;0,3264;0,7148;0,0742;0,75;0,7762;0,7786;0,0912;0,2445;0,185
Jan 3, 2050 12:00 PM;0,6233;0,3405;0,7445;0,0691;0,7639;0,7822;0,7828;0,1011;0,2583;0,2079
Jan 3, 2050 1:00 PM;0,5933;0,3666;0,7717;0,0723;0,7708;0,7888;0,7919;0,1086;0,2814;0,2347
Jan 3, 2050 2:00 PM;0,5601;0,3878;0,7912;0,0793;0,7746;0,7963;0,7999;0,1137;0,3137;0,2603
Jan 3, 2050 3:00 PM;0,5322;0,3966;0,8001;0,085;0,7769;0,8045;0,7984;0,1189;0,3466;0,2849
Jan 3, 2050 4:00 PM;0,5104;0,3942;0,7999;0,0882;0,7795;0,8099;0,792;0,1238;0,3755;0,3089
Jan 3, 2050 5:00 PM;0,4992;0,3859;0,7865;0,0912;0,784;0,8115;0,7906;0,1281;0,3941;0,3353
Jan 3, 2050 6:00 PM;0,5004;0,3754;0,7554;0,0968;0,7924;0,8111;0,8025;0,131;0,3992;0,3671
Jan 3, 2050 7:00 PM;0,5103;0,3644;0,706;0,1057;0,8021;0,8088;0,8164;0,1309;0,3983;0,4019
Jan 3, 2050 8:00 PM;0,5237;0,3551;0,6402;0,1199;0,8096;0,8053;0,8247;0,1264;0,4;0,4362
Jan 3, 2050 9:00 PM;0,5355;0,3492;0,577;0,1416;0,8134;0,8009;0,8274;0,1165;0,4112;0,4703
Jan 3, 2050 10:00 PM;0,5458;0,3477;0,5234;0,17;0,8153;0,7966;0,828;0,1046;0,4291;0,4943
Jan 3, 2050 11:00 PM;0,5515;0,3473;0,4889;0,2067;0,8164;0,7939;0,8281;0,0969;0,4494;0,5086
Jan 4, 2050 12:00 AM;0,5553;0,3462;0,473;0,2463;0,8173;0,7932;0,8284;0,0966;0,4675;0,5102
Jan 4, 2050 1:00 AM;0,5563;0,3447;0,4659;0,2887;0,8184;0,7938;0,8288;0,1032;0,4798;0,497
Jan 4, 2050 2:00 AM;0,5618;0,343;0,453;0,3259;0,8203;0,7945;0,829;0,1115;0,4823;0,4706
Jan 4, 2050 3:00 AM;0,5718;0,3415;0,4235;0,3561;0,8216;0,7941;0,829;0,1191;0,473;0,4347
Jan 4, 2050 4:00 AM;0,5867;0,3384;0,3809;0,3786;0,8217;0,7931;0,8289;0,1239;0,4558;0,4015
Jan 4, 2050 5:00 AM;0,6045;0,3332;0,3352;0,3968;0,8202;0,7923;0,8288;0,1327;0,436;0,3867
Jan 4, 2050 6:00 AM;0,621;0,3251;0,2971;0,4113;0,8166;0,7921;0,8288;0,1505;0,4187;0,3972
Jan 4, 2050 7:00 AM;0,6328;0,3125;0,264;0,4188;0,8124;0,7912;0,8289;0,1775;0,4003;0,4196
Jan 4, 2050 8:00 AM;0,6384;0,2946;0,2293;0,4169;0,8113;0,7887;0,8288;0,2036;0,3761;0,433
Jan 4, 2050 9:00 AM;0,6368;0,2719;0,1911;0,4061;0,815;0,7835;0,8284;0,2199;0,3419;0,4212
Jan 4, 2050 10:00 AM;0,6314;0,2514;0,1623;0,3895;0,8194;0,7752;0,8285;0,2329;0,3065;0,4113
Jan 4, 2050 11:00 AM;0,6237;0,2417;0,1541;0,371;0,8222;0,7664;0,8297;0,2552;0,2788;0,4116
Jan 4, 2050 12:00 PM;0,6143;0,2468;0,1773;0,3515;0,823;0,7589;0,8321;0,2941;0,264;0,4153
Jan 4, 2050 1:00 PM;0,6098;0,2607;0,2252;0,3345;0,8231;0,7545;0,8331;0,3424;0,2545;0,4216
Jan 4, 2050 2:00 PM;0,6141;0,2737;0,2806;0,3199;0,8229;0,7536;0,8334;0,3925;0,2396;0,4369
Jan 4, 2050 3:00 PM;0,6311;0,2788;0,3186;0,3029;0,8226;0,7565;0,8324;0,4321;0,2123;0,461
Jan 4, 2050 4:00 PM;0,6516;0,2771;0,3435;0,2852;0,8216;0,7619;0,8271;0,4624;0,1821;0,4804
Jan 4, 2050 5:00 PM;0,6694;0,2716;0,3654;0,2702;0,8212;0,7678;0,8152;0,4841;0,1542;0,4834
Jan 4, 2050 6:00 PM;0,6816;0,2658;0,391;0,2655;0,8221;0,7723;0,7974;0,4987;0,137;0,4621
Jan 4, 2050 7:00 PM;0,6886;0,2588;0,4199;0,2719;0,8229;0,7762;0,7749;0,5044;0,1217;0,4173
Jan 4, 2050 8:00 PM;0,6908;0,2493;0,4473;0,2874;0,8226;0,7794;0,7511;0,4985;0,1059;0,362
Jan 4, 2050 9:00 PM;0,6906;0,2371;0,4716;0,3064;0,8204;0,782;0,7289;0,4825;0,0903;0,3069
Jan 4, 2050 10:00 PM;0,6879;0,2291;0,4899;0,3271;0,817;0,7844;0,712;0,4703;0,0834;0,2502
