TimeZone;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris
DateTime;Test case 0;Test case 1;Test case 8;Test case 9;Test case 6;Test case 7;Test case 4;Test case 5;Test case 2;Test case 3
Jan 1, 2050 12:00 AM;0,1584;0,1753;0,167046;0,1472;0,7191;0,4591;0,1808;0,0539;0,5331;0,1272
Jan 1, 2050 1:00 AM;0,1649;0,1493;0,167162;0,148;0,7483;0,4347;0,1996;0,041;0,5206;0,1618
Jan 1, 2050 2:00 AM;0,1846;0,17;0,167277;0,1511;0,7758;0,4115;0,2096;0,0356;0,5087;0,1944
Jan 1, 2050 3:00 AM;0,2186;0,2407;0,167392;0,1579;0,7963;0,3994;0,2105;0,0377;0,5017;0,2116
Jan 1, 2050 4:00 AM;0,2634;0,3484;0,167508;0,1696;0,8092;0,395;0,2089;0,0439;0,496;0,2178
Jan 1, 2050 5:00 AM;0,3118;0,4861;0,167623;0,1899;0,8166;0,393;0,2173;0,0533;0,4872;0,2261
Jan 1, 2050 6:00 AM;0,3584;0,6285;0,167738;0,2194;0,8194;0,3876;0,2415;0,0609;0,4711;0,2465
Jan 1, 2050 7:00 AM;0,4019;0,7358;0,167854;0,2528;0,8167;0,3821;0,2787;0,0673;0,4463;0,2735
Jan 1, 2050 8:00 AM;0,4399;0,7914;0,167969;0,2756;0,8126;0,3788;0,3249;0,0747;0,412;0,2928
Jan 1, 2050 9:00 AM;0,4715;0,8116;0,168085;0,278;0,8115;0,3804;0,3736;0,0809;0,3658;0,2948
Jan 1, 2050 10:00 AM;0,4958;0,8175;0,1682;0,2694;0,8108;0,3794;0,4186;0,0844;0,319;0,2921
Jan 1, 2050 11:00 AM;0,5182;0,8174;0,168315;0,2624;0,8081;0,3658;0,453;0,0831;0,2767;0,3023
Jan 1, 2050 12:00 PM;0,5363;0,8167;0,168431;0,265;0,8;0,3349;0,4743;0,0765;0,2444;0,3377
Jan 1, 2050 1:00 PM;0,5538;0,8151;0,168546;0,2746;0,7925;0,2981;0,488;0,0695;0,2188;0,3959
Jan 1, 2050 2:00 PM;0,57;0,8114;0,168662;0,283;0,7908;0,2735;0,499;0,0658;0,2003;0,4635
Jan 1, 2050 3:00 PM;0,5898;0,8045;0,168777;0,2862;0,7978;0,2747;0,5128;0,0713;0,1854;0,5239
Jan 1, 2050 4:00 PM;0,615;0,7928;0,168892;0,2884;0,8108;0,2934;0,5342;0,0813;0,1735;0,5704
Jan 1, 2050 5:00 PM;0,6404;0,7841;0,169008;0,2957;0,821;0,3159;0,5649;0,0865;0,1627;0,5995
Jan 1, 2050 6:00 PM;0,656;0,7808;0,169123;0,3141;0,8269;0,332;0,6029;0,0849;0,1581;0,6087
Jan 1, 2050 7:00 PM;0,6604;0,7867;0,169238;0,3424;0,8294;0,3412;0,6431;0,0792;0,1638;0,6062
Jan 1, 2050 8:00 PM;0,6554;0,7977;0,169354;0,3773;0,829;0,3484;0,6816;0,0769;0,1832;0,5996
Jan 1, 2050 9:00 PM;0,6419;0,8112;0,169469;0,4145;0,827;0,3551;0,7173;0,0793;0,2148;0,5968
Jan 1, 2050 10:00 PM;0,6183;0,8206;0,169585;0,4472;0,8231;0,3623;0,7506;0,0833;0,2513;0,6006
Jan 1, 2050 11:00 PM;0,5866;0,8242;0,1697;0,4641;0,8162;0,3689;0,7787;0,0804;0,2812;0,6133
Jan 2, 2050 12:00 AM;0,5468;0,8231;0,1832;0,4615;0,805;0,3737;0,8015;0,0666;0,3016;0,6371
Jan 2, 2050 1:00 AM;0,5047;0,8174;0,2053;0,4473;0,7889;0,3782;0,8164;0,0521;0,3206;0,6608
Jan 2, 2050 2:00 AM;0,468;0,8082;0,2313;0,436;0,7691;0,3833;0,8233;0,0421;0,3455;0,6749
