TimeZone;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris
DateTime;Test case 0;Test case 1;Test case 8;Test case 9;Test case 6;Test case 7;Test case 4;Test case 5;Test case 2;Test case 3
Jan 1, 2050 12:00 AM;0,2652;0,2011;0,0539231;0,1662;0,8627;0,2603;0,1822;0,1301;0,209;0,0931
Jan 1, 2050 1:00 AM;0,313;0,2215;0,0537308;0,1702;0,8667;0,2706;0,2036;0,1125;0,2079;0,1287
Jan 1, 2050 2:00 AM;0,3693;0,2758;0,0535385;0,1718;0,8793;0,2749;0,224;0,1004;0,2065;0,1701
Jan 1, 2050 3:00 AM;0,4348;0,3689;0,0533462;0,171;0,9031;0,271;0,2385;0,0963;0,2021;0,1974
Jan 1, 2050 4:00 AM;0,5029;0,4888;0,0531538;0,1699;0,926;0,2631;0,2515;0,0971;0,1964;0,2148
Jan 1, 2050 5:00 AM;0,5679;0,6077;0,0529615;0,1725;0,9402;0,2575;0,2687;0,0998;0,1918;0,2306
Jan 1, 2050 6:00 AM;0,6228;0,7005;0,0527692;0,182;0,9478;0,2591;0,2948;0,1011;0,1893;0,2527
Jan 1, 2050 7:00 AM;0,666;0,7674;0,0525769;0,1949;0,9503;0,2658;0,328;0,1002;0,1838;0,2774
Jan 1, 2050 8:00 AM;0,6938;0,8143;0,0523846;0,2059;0,9506;0,2741;0,3642;0,0971;0,169;0,2967
Jan 1, 2050 9:00 AM;0,7073;0,8501;0,0521923;0,2117;0,9514;0,2806;0,3982;0,0916;0,143;0,3049
Jan 1, 2050 10:00 AM;0,7148;0,8758;0,052;0,2131;0,9528;0,2796;0,4287;0,085;0,1181;0,3081
Jan 1, 2050 11:00 AM;0,7259;0,8957;0,0518077;0,2119;0,9529;0,2656;0,4547;0,079;0,0992;0,3163
Jan 1, 2050 12:00 PM;0,7456;0,9106;0,0516154;0,2098;0,951;0,2386;0,476;0,0756;0,0921;0,337
Jan 1, 2050 1:00 PM;0,7635;0,9226;0,0514231;0,2066;0,9467;0,2099;0,495;0,0743;0,0945;0,3682
Jan 1, 2050 2:00 PM;0,7667;0,9321;0,0512308;0,2016;0,9398;0,1932;0,5147;0,0757;0,1035;0,403
Jan 1, 2050 3:00 PM;0,7458;0,9396;0,0510385;0,1946;0,9311;0,1966;0,5373;0,078;0,1164;0,4349
Jan 1, 2050 4:00 PM;0,7045;0,944;0,0508462;0,1873;0,9194;0,2111;0,5667;0,0806;0,1332;0,4599
Jan 1, 2050 5:00 PM;0,654;0,9436;0,0506538;0,1829;0,9025;0,223;0,6061;0,0824;0,1521;0,4747
Jan 1, 2050 6:00 PM;0,6066;0,9392;0,0504615;0,1816;0,8798;0,2225;0,6538;0,0833;0,1721;0,4775
Jan 1, 2050 7:00 PM;0,5643;0,9304;0,0502692;0,1853;0,8512;0,2146;0,7094;0,0833;0,1937;0,4714
Jan 1, 2050 8:00 PM;0,5255;0,9171;0,0500769;0,1948;0,815;0,2066;0,765;0,0825;0,2168;0,4603
Jan 1, 2050 9:00 PM;0,4882;0,8974;0,0498846;0,2112;0,766;0,2042;0,815;0,0812;0,2432;0,4487
Jan 1, 2050 10:00 PM;0,4501;0,8684;0,0496923;0,2283;0,71;0,2083;0,8543;0,0797;0,2709;0,4403
Jan 1, 2050 11:00 PM;0,4086;0,8256;0,0495;0,2399;0,6532;0,2185;0,8796;0,0805;0,2965;0,4391
Jan 2, 2050 12:00 AM;0,3625;0,763;0,0576;0,2403;0,6018;0,2361;0,891;0,0849;0,3175;0,4471
Jan 2, 2050 1:00 AM;0,3191;0,6844;0,0724;0,2347;0,5621;0,2576;0,8937;0,0906;0,3321;0,4568
Jan 2, 2050 2:00 AM;0,2884;0,602;0,0897;0,231;0,536;0,2789;0,8903;0,0947;0,3403;0,4585
Jan 2, 2050 3:00 AM;0,2751;0,5314;0,1038;0,2327;0,5251;0,2973;0,8834;0,0941;0,3423;0,4456
Jan 2, 2050 4:00 AM;0,2738;0,4764;0,1138;0,2402;0,5241;0,3112;0,8758;0,0881;0,3382;0,4235
Jan 2, 2050 5:00 AM;0,2781;0,4362;0,1197;0,2527;0,5247;0,3196;0,8688;0,0791;0,3292;0,4004
Jan 2, 2050 6:00 AM;0,2819;0,4069;0,1222;0,2688;0,5211;0,3218;0,8638;0,0685;0,3157;0,3823
Jan 2, 2050 7:00 AM;0,2817;0,3794;0,1212;0,2863;0,5149;0,3195;0,8606;0,0561;0,302;0,3629
Jan 2, 2050 8:00 AM;0,2744;0,3434;0,1165;0,3011;0,5091;0,3161;0,8581;0,0455;0,2914;0,3346
Jan 2, 2050 9:00 AM;0,2591;0,2946;0,1086;0,3098;0,5061;0,3137;0,8554;0,039;0,2873;0,2949
Jan 2, 2050 10:00 AM;0,2431;0,2396;0,1012;0,3158;0,5066;0,3151;0,8535;0,0345;0,2912;0,2587
Jan 2, 2050 11:00 AM;0,2363;0,1908;0,0989;0,3237;0,5106;0,3223;0,8542;0,0318;0,3035;0,2411
Jan 2, 2050 12:00 PM;0,2434;0,151;0,1045;0,3383;0,5188;0,3375;0,8581;0,0308;0,3242;0,2518
Jan 2, 2050 1:00 PM;0,261;0,1252;0,116;0,3524;0,5337;0,3605;0,8622;0,0302;0,3508;0,2769
Jan 2, 2050 2:00 PM;0,2848;0,1123;0,1269;0,3567;0,5576;0,3913;0,8622;0,0285;0,38;0,2961
Jan 2, 2050 3:00 PM;0,3099;0,1112;0,134;0,343;0,5913;0,4295;0,8561;0,0258;0,4075;0,2915
