TimeZone;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris
DateTime;Test case 0;Test case 1;Test case 8;Test case 9;Test case 6;Test case 7;Test case 4;Test case 5;Test case 2;Test case 3
Jan 1, 2050 12:00 AM;0,1402;0,6382;0,161946;0,0953;0,3243;0,0446;0,1106;0,402;0,5537;0,1289
Jan 1, 2050 1:00 AM;0,1083;0,6376;0,161062;0,0843;0,3718;0,0501;0,1159;0,4025;0,4744;0,144
Jan 1, 2050 2:00 AM;0,0844;0,6308;0,160177;0,0803;0,4184;0,0571;0,1188;0,4035;0,4039;0,1615
Jan 1, 2050 3:00 AM;0,0743;0,6143;0,159292;0,0872;0,4561;0,0615;0,1168;0,4066;0,3608;0,1801
Jan 1, 2050 4:00 AM;0,0695;0,5771;0,158408;0,106;0,4886;0,0626;0,1119;0,4084;0,3321;0,1959
Jan 1, 2050 5:00 AM;0,0622;0,5071;0,157523;0,1328;0,5231;0,0623;0,1076;0,4039;0,2995;0,2041
Jan 1, 2050 6:00 AM;0,0489;0,404;0,156638;0,1587;0,562;0,0616;0,1049;0,3886;0,2508;0,199
Jan 1, 2050 7:00 AM;0,0349;0,3046;0,155754;0,1769;0,5969;0,0615;0,1048;0,3687;0,1926;0,1863
Jan 1, 2050 8:00 AM;0,0237;0,246;0,154869;0,1854;0,6155;0,0627;0,108;0,3526;0,1358;0,1747
Jan 1, 2050 9:00 AM;0,0168;0,2457;0,153985;0,1817;0,6111;0,0657;0,1144;0,3464;0,0915;0,1691
Jan 1, 2050 10:00 AM;0,0152;0,2854;0,1531;0,1712;0,5887;0,0706;0,1233;0,3451;0,0597;0,1668
Jan 1, 2050 11:00 AM;0,0188;0,3326;0,152215;0,1595;0,557;0,0775;0,1334;0,3426;0,0395;0,1627
Jan 1, 2050 12:00 PM;0,0305;0,3572;0,151331;0,1491;0,5247;0,0862;0,1439;0,3353;0,0297;0,1516
Jan 1, 2050 1:00 PM;0,055;0,3578;0,150446;0,1433;0,4977;0,0979;0,1532;0,3259;0,0308;0,138
Jan 1, 2050 2:00 PM;0,0885;0,3432;0,149562;0,1422;0,4789;0,1093;0,1612;0,32;0,0427;0,1276
Jan 1, 2050 3:00 PM;0,1163;0,3189;0,148677;0,1475;0,4718;0,116;0,167;0,3207;0,0684;0,1229
Jan 1, 2050 4:00 PM;0,1356;0,2947;0,147792;0,1575;0,4728;0,1186;0,1704;0,324;0,1096;0,1216
Jan 1, 2050 5:00 PM;0,1503;0,282;0,146908;0,1715;0,4769;0,1203;0,1723;0,3244;0,1587;0,1197
Jan 1, 2050 6:00 PM;0,1652;0,2912;0,146023;0,1868;0,4816;0,1239;0,173;0,3158;0,1978;0,1142
Jan 1, 2050 7:00 PM;0,1815;0,3222;0,145138;0,2032;0,4873;0,1304;0,1721;0,3024;0,2248;0,1081
Jan 1, 2050 8:00 PM;0,1963;0,3722;0,144254;0,2222;0,4966;0,1395;0,1689;0,2881;0,2477;0,1045
Jan 1, 2050 9:00 PM;0,2077;0,4364;0,143369;0,2438;0,5108;0,1512;0,1641;0,2758;0,2776;0,1056
Jan 1, 2050 10:00 PM;0,2161;0,5038;0,142485;0,2626;0,525;0,1642;0,1584;0,2648;0,3108;0,1094
Jan 1, 2050 11:00 PM;0,2234;0,564;0,1416;0,2693;0,5334;0,1747;0,1526;0,2561;0,3415;0,1127
Jan 2, 2050 12:00 AM;0,2303;0,6089;0,1151;0,2584;0,5312;0,1805;0,1486;0,2525;0,3645;0,1133
Jan 2, 2050 1:00 AM;0,2376;0,6436;0,0872;0,2408;0,5153;0,1828;0,1506;0,2613;0,3781;0,1145
Jan 2, 2050 2:00 AM;0,2474;0,6742;0,0678;0,2309;0,4839;0,1817;0,1577;0,2814;0,3814;0,1192
Jan 2, 2050 3:00 AM;0,2589;0,7051;0,0573;0,2376;0,4351;0,1774;0,1707;0,3069;0,3751;0,1306
Jan 2, 2050 4:00 AM;0,2695;0,7363;0,0506;0,2585;0,3658;0,1715;0,1874;0,3326;0,363;0,1469
Jan 2, 2050 5:00 AM;0,2752;0,7618;0,0433;0,2868;0,2787;0,1643;0,2077;0,3555;0,3495;0,1652
Jan 2, 2050 6:00 AM;0,2731;0,7822;0,0338;0,3163;0,1906;0,1572;0,2288;0,3718;0,3385;0,1809
Jan 2, 2050 7:00 AM;0,2677;0,7995;0,0255;0,3432;0,1239;0,1507;0,2526;0,3804;0,3305;0,1914
Jan 2, 2050 8:00 AM;0,2638;0,8179;0,0204;0,3653;0,08;0,1439;0,2814;0,3833;0,3252;0,1964
Jan 2, 2050 9:00 AM;0,2651;0,8384;0,0193;0,3809;0,0516;0,1364;0,3162;0,3801;0,3235;0,1966
