TimeZone;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris
DateTime;Test case 0;Test case 1;Test case 8;Test case 9;Test case 6;Test case 7;Test case 4;Test case 5;Test case 2;Test case 3
Jan 1, 2050 12:00 AM;0,3462;0,385;0,127854;0,0309;0,6138;0,1194;0,0293;0,4732;0,5412;0,2302
Jan 1, 2050 1:00 AM;0,3625;0,3685;0,127938;0,0281;0,5507;0,1249;0,0276;0,4668;0,5864;0,2408
Jan 1, 2050 2:00 AM;0,3672;0,3521;0,128023;0,027;0,4886;0,13;0,0273;0,4615;0,6215;0,2504
Jan 1, 2050 3:00 AM;0,3576;0,3404;0,128108;0,0284;0,4354;0,1356;0,0311;0,4572;0,6414;0,2586
Jan 1, 2050 4:00 AM;0,3375;0,3289;0,128192;0,0318;0,4006;0,143;0,0382;0,4542;0,6517;0,2654
Jan 1, 2050 5:00 AM;0,3122;0,3109;0,128277;0,0386;0,3915;0,1546;0,045;0,4539;0,6561;0,2717
Jan 1, 2050 6:00 AM;0,2888;0,2844;0,128362;0,0489;0,411;0,1715;0,0439;0,4571;0,6571;0,278
Jan 1, 2050 7:00 AM;0,2686;0,2506;0,128446;0,0586;0,4488;0,1898;0,0373;0,4594;0,6548;0,2877
Jan 1, 2050 8:00 AM;0,254;0,2136;0,128531;0,065;0,4879;0,2038;0,0314;0,4557;0,6483;0,3039
Jan 1, 2050 9:00 AM;0,2461;0,1835;0,128615;0,0668;0,5161;0,21;0,0275;0,4426;0,6374;0,3301
Jan 1, 2050 10:00 AM;0,2407;0,161;0,1287;0,0678;0,5331;0,2118;0,0252;0,4227;0,6211;0,3579
Jan 1, 2050 11:00 AM;0,2323;0,1512;0,128785;0,0728;0,5434;0,2139;0,0246;0,4002;0,5987;0,3774
Jan 1, 2050 12:00 PM;0,2168;0,1595;0,128869;0,0917;0,551;0,2207;0,0262;0,379;0,572;0,3823
Jan 1, 2050 1:00 PM;0,1984;0,1883;0,128954;0,1165;0,5605;0,2302;0,029;0,3605;0,5404;0,3817
Jan 1, 2050 2:00 PM;0,1791;0,2446;0,129038;0,1426;0,5758;0,2387;0,0323;0,3454;0,5028;0,3874
Jan 1, 2050 3:00 PM;0,1607;0,3324;0,129123;0,1635;0,6007;0,2437;0,0356;0,3347;0,4602;0,4093
Jan 1, 2050 4:00 PM;0,1443;0,4356;0,129208;0,1752;0,6325;0,2453;0,0407;0,329;0,417;0,4416
Jan 1, 2050 5:00 PM;0,1312;0,5261;0,129292;0,1814;0,6655;0,245;0,0466;0,328;0,3788;0,4753
Jan 1, 2050 6:00 PM;0,1243;0,5804;0,129377;0,1851;0,7002;0,2435;0,0539;0,3312;0,3483;0,5031
Jan 1, 2050 7:00 PM;0,1194;0,6008;0,129462;0,1882;0,7311;0,2411;0,0617;0,3362;0,3232;0,5242
Jan 1, 2050 8:00 PM;0,1153;0,5883;0,129546;0,1919;0,756;0,2374;0,0686;0,339;0,3011;0,5399
Jan 1, 2050 9:00 PM;0,1108;0,5464;0,129631;0,1965;0,7759;0,2326;0,0746;0,3371;0,2808;0,5528
Jan 1, 2050 10:00 PM;0,1052;0,4872;0,129715;0,2001;0,7909;0,2271;0,0817;0,3308;0,263;0,5634
Jan 1, 2050 11:00 PM;0,0978;0,4289;0,1298;0,2001;0,7997;0,2222;0,089;0,3205;0,2519;0,572
Jan 2, 2050 12:00 AM;0,0884;0,3872;0,1383;0,1949;0,8048;0,218;0,0981;0,3075;0,2497;0,5799
Jan 2, 2050 1:00 AM;0,0808;0,3624;0,1509;0,1871;0,8067;0,2143;0,1106;0,2952;0,2532;0,5877
Jan 2, 2050 2:00 AM;0,0798;0,3522;0,1654;0,1808;0,8052;0,2107;0,1272;0,2844;0,2579;0,5971
Jan 2, 2050 3:00 AM;0,0886;0,3559;0,1803;0,1783;0,8001;0,2079;0,1549;0,277;0,26;0,6085
Jan 2, 2050 4:00 AM;0,1044;0,3814;0,1925;0,1781;0,7906;0,2071;0,1909;0,2714;0,2615;0,6192
Jan 2, 2050 5:00 AM;0,1236;0,4387;0,1981;0,1775;0,7738;0,2115;0,2366;0,2667;0,2637;0,6268
Jan 2, 2050 6:00 AM;0,1469;0,533;0,1952;0,1741;0,7508;0,2238;0,2912;0,261;0,2683;0,6282
Jan 2, 2050 7:00 AM;0,1709;0,6389;0,1865;0,1673;0,7241;0,2377;0,3471;0,2541;0,2721;0,6245
Jan 2, 2050 8:00 AM;0,192;0,7287;0,177;0,1567;0,6919;0,2457;0,3942;0,2462;0,271;0,616
Jan 2, 2050 9:00 AM;0,2094;0,7884;0,1693;0,1427;0,6598;0,2434;0,4242;0,2374;0,2616;0,6048
Jan 2, 2050 10:00 AM;0,226;0,8162;0,1633;0,1302;0,6309;0,237;0,4423;0,2278;0,248;0,5939
Jan 2, 2050 11:00 AM;0,2394;0,8168;0,1569;0,1253;0,6042;0,2356;0,4559;0,2174;0,2344;0,5873
Jan 2, 2050 12:00 PM;0,2498;0,7876;0,1493;0,1277;0,5834;0,2455;0,472;0,2075;0,2242;0,5874
Jan 2, 2050 1:00 PM;0,2562;0,7319;0,1418;0,1357;0,5676;0,2616;0,4911;0,1979;0,2122;0,5921
Jan 2, 2050 2:00 PM;0,258;0,6692;0,1368;0,1469;0,554;0,2753;0,5145;0,187;0,195;0,5979
Jan 2, 2050 3:00 PM;0,2546;0,6235;0,136;0,155;0,5408;0,2815;0,5397;0,1752;0,1672;0,6023
Jan 2, 2050 4:00 PM;0,2475;0,5903;0,138;0,1582;0,5253;0,2835;0,5642;0,1638;0,1316;0,6029
Jan 2, 2050 5:00 PM;0,2381;0,5623;0,1409;0,1551;0,5033;0,2874;0,5838;0,1547;0,103;0,5986
Jan 2, 2050 6:00 PM;0,2274;0,5299;0,1429;0,1449;0,4747;0,2979;0,5956;0,1489;0,076;0,589
Jan 2, 2050 7:00 PM;0,2159;0,4927;0,1457;0,1312;0,4422;0,3147;0,5989;0,1462;0,06;0,575
Jan 2, 2050 8:00 PM;0,2043;0,4564;0,151;0,1213;0,4103;0,3358;0,5942;0,1458;0,0494;0,5579
Jan 2, 2050 9:00 PM;0,1927;0,4246;0,161;0,1142;0,3839;0,3575;0,5837;0,1466;0,0446;0,5391
Jan 2, 2050 10:00 PM;0,1813;0,3959;0,1765;0,1109;0,367;0,3791;0,5735;0,1487;0,0457;0,5208
Jan 2, 2050 11:00 PM;0,1714;0,3669;0,1994;0,111;0,3639;0,3993;0,5726;0,1529;0,0523;0,5036
Jan 3, 2050 12:00 AM;0,1642;0,3352;0,2341;0,114;0,3765;0,4177;0,5853;0,1591;0,0639;0,49
Jan 3, 2050 1:00 AM;0,1583;0,3022;0,2781;0,1146;0,3939;0,4339;0,6017;0,1672;0,0824;0,48
Jan 3, 2050 2:00 AM;0,1521;0,2718;0,3284;0,1066;0,403;0,4469;0,6085;0,1767;0,1088;0,473
Jan 3, 2050 3:00 AM;0,1436;0,2418;0,3812;0,0863;0,394;0,4565;0,5962;0,1871;0,1372;0,4684
Jan 3, 2050 4:00 AM;0,1348;0,2099;0,4241;0,0641;0,3731;0,4636;0,5689;0,1973;0,1713;0,4655
