TimeZone;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris;Europe/Paris
DateTime;Test case 0;Test case 1;Test case 8;Test case 9;Test case 6;Test case 7;Test case 4;Test case 5;Test case 2;Test case 3
Jan 1, 2050 12:00 AM;0,0722;0,42;0,1177962;0,0521;0,2145;0,0454;0,0892;0,2342;0,2894;0,1587
Jan 1, 2050 1:00 AM;0,0543;0,4118;0,1169615;0,0518;0,2315;0,0432;0,0852;0,2514;0,2515;0,1815
Jan 1, 2050 2:00 AM;0,0398;0,3831;0,1161269;0,0505;0,2478;0,0435;0,0807;0,2606;0,2184;0,2034
Jan 1, 2050 3:00 AM;0,03;0,3266;0,1152923;0,0472;0,2582;0,0464;0,0768;0,2582;0,1886;0,2141
Jan 1, 2050 4:00 AM;0,0243;0,2601;0,1144577;0,0442;0,2641;0,0507;0,0733;0,2468;0,1603;0,2151
Jan 1, 2050 5:00 AM;0,0199;0,2023;0,1136231;0,0431;0,2688;0,0549;0,071;0,2306;0,133;0,2096
Jan 1, 2050 6:00 AM;0,0169;0,1655;0,1127885;0,0449;0,2748;0,0571;0,0707;0,2138;0,1003;0,201
Jan 1, 2050 7:00 AM;0,0156;0,1553;0,1119538;0,0483;0,2842;0,0582;0,0719;0,1973;0,0722;0,1913
Jan 1, 2050 8:00 AM;0,0186;0,1793;0,1111192;0,0526;0,2984;0,0595;0,0736;0,1837;0,0449;0,1817
Jan 1, 2050 9:00 AM;0,0238;0,248;0,1102846;0,0555;0,3182;0,0622;0,0755;0,1737;0,0248;0,1729
Jan 1, 2050 10:00 AM;0,0309;0,3326;0,10945;0,0575;0,3362;0,066;0,0789;0,1638;0,0148;0,1635
Jan 1, 2050 11:00 AM;0,0431;0,3781;0,1086154;0,0604;0,3441;0,0704;0,0858;0,1529;0,0124;0,1536
Jan 1, 2050 12:00 PM;0,059;0,3495;0,1077808;0,0659;0,3365;0,076;0,0974;0,141;0,0198;0,1416
Jan 1, 2050 1:00 PM;0,0806;0,2809;0,1069462;0,0734;0,3205;0,0821;0,113;0,129;0,0364;0,1293
Jan 1, 2050 2:00 PM;0,1035;0,2223;0,1061115;0,0816;0,3057;0,0879;0,1252;0,1185;0,065;0,1199
Jan 1, 2050 3:00 PM;0,1256;0,2042;0,1052769;0,0916;0,3011;0,0924;0,1287;0,1122;0,0898;0,1156
Jan 1, 2050 4:00 PM;0,1463;0,219;0,1044423;0,1021;0,3113;0,095;0,1255;0,1084;0,1095;0,1145
Jan 1, 2050 5:00 PM;0,1654;0,2539;0,1036077;0,1123;0,3412;0,096;0,1195;0,1073;0,124;0,1146
Jan 1, 2050 6:00 PM;0,1844;0,2961;0,1027731;0,1215;0,3914;0,096;0,1136;0,1083;0,1398;0,1143
Jan 1, 2050 7:00 PM;0,2001;0,3443;0,1019385;0,1318;0,4488;0,096;0,1083;0,1112;0,1596;0,1133
Jan 1, 2050 8:00 PM;0,2114;0,3954;0,1011038;0,1442;0,4958;0,0967;0,1038;0,1151;0,1815;0,1117
