TimeZone;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1
DateTime;Test case 00;Test case 01;Test case 02;Test case 03;Test case 04;Test case 05;Test case 06;Test case 07;Test case 08;Test case 09;Test case 10;Test case 11;Test case 12;Test case 13;Test case 14;Test case 15;Test case 16;Test case 17;Test case 18;Test case 19;Test case 20;Test case 21;Test case 22;Test case 23;Test case 24;Test case 25;Test case 26;Test case 27;Test case 28;Test case 29;Test case 30;Test case 31;Test case 32;Test case 33;Test case 34;Test case 35;Test case 36;Test case 37;Test case 38;Test case 39;Test case 40;Test case 41;Test case 42;Test case 43;Test case 44;Test case 45;Test case 46;Test case 47;Test case 48;Test case 49;Test case 50
01/01/2014 00:00;0,12470;0,3787;0,1919;0,8094;0,6264;0,0923885;0,3671;0,3245;0,3725;0,4958;0,12470;0,3787;0,1919;0,8094;0,6264;0,0923885;0,3671;0,3245;0,3725;0,4958;0,12470;0,3787;0,1919;0,8094;0,6264;0,0923885;0,3671;0,3245;0,3725;0,4958;0,12470;0,3787;0,1919;0,8094;0,6264;0,0923885;0,3671;0,3245;0,3725;0,4958;0,12470;0,3787;0,1919;0,8094;0,6264;0,0923885;0,3671;0,3245;0,3725;0,4958;0,12470
01/01/2014 01:00;0,19330;0,4172;0,1557;0,8126;0,6343;0,0919846;0,3784;0,4042;0,3875;0,4788;0,19330;0,4172;0,1557;0,8126;0,6343;0,0919846;0,3784;0,4042;0,3875;0,4788;0,19330;0,4172;0,1557;0,8126;0,6343;0,0919846;0,3784;0,4042;0,3875;0,4788;0,19330;0,4172;0,1557;0,8126;0,6343;0,0919846;0,3784;0,4042;0,3875;0,4788;0,19330;0,4172;0,1557;0,8126;0,6343;0,0919846;0,3784;0,4042;0,3875;0,4788;0,19330
01/01/2014 02:00;0,26390;0,4446;0,1348;0,8120;0,6344;0,0915808;0,3809;0,4892;0,4263;0,4694;0,26390;0,4446;0,1348;0,8120;0,6344;0,0915808;0,3809;0,4892;0,4263;0,4694;0,26390;0,4446;0,1348;0,8120;0,6344;0,0915808;0,3809;0,4892;0,4263;0,4694;0,26390;0,4446;0,1348;0,8120;0,6344;0,0915808;0,3809;0,4892;0,4263;0,4694;0,26390;0,4446;0,1348;0,8120;0,6344;0,0915808;0,3809;0,4892;0,4263;0,4694;0,26390
01/01/2014 03:00;0,30030;0,4553;0,1353;0,7977;0,6277;0,0911769;0,3736;0,5766;0,5284;0,4697;0,30030;0,4553;0,1353;0,7977;0,6277;0,0911769;0,3736;0,5766;0,5284;0,4697;0,30030;0,4553;0,1353;0,7977;0,6277;0,0911769;0,3736;0,5766;0,5284;0,4697;0,30030;0,4553;0,1353;0,7977;0,6277;0,0911769;0,3736;0,5766;0,5284;0,4697;0,30030;0,4553;0,1353;0,7977;0,6277;0,0911769;0,3736;0,5766;0,5284;0,4697;0,30030
01/01/2014 04:00;0,31580;0,4609;0,1488;0,7625;0,6181;0,0907731;0,3659;0,6501;0,6609;0,4774;0,31580;0,4609;0,1488;0,7625;0,6181;0,0907731;0,3659;0,6501;0,6609;0,4774;0,31580;0,4609;0,1488;0,7625;0,6181;0,0907731;0,3659;0,6501;0,6609;0,4774;0,31580;0,4609;0,1488;0,7625;0,6181;0,0907731;0,3659;0,6501;0,6609;0,4774;0,31580;0,4609;0,1488;0,7625;0,6181;0,0907731;0,3659;0,6501;0,6609;0,4774;0,31580
01/01/2014 05:00;0,33690;0,4778;0,1655;0,7107;0,6110;0,0903692;0,3671;0,7073;0,7592;0,4871;0,33690;0,4778;0,1655;0,7107;0,6110;0,0903692;0,3671;0,7073;0,7592;0,4871;0,33690;0,4778;0,1655;0,7107;0,6110;0,0903692;0,3671;0,7073;0,7592;0,4871;0,33690;0,4778;0,1655;0,7107;0,6110;0,0903692;0,3671;0,7073;0,7592;0,4871;0,33690;0,4778;0,1655;0,7107;0,6110;0,0903692;0,3671;0,7073;0,7592;0,4871;0,33690
01/01/2014 06:00;0,38430;0,5143;0,1753;0,6569;0,6128;0,0899654;0,3856;0,7516;0,8049;0,4944;0,38430;0,5143;0,1753;0,6569;0,6128;0,0899654;0,3856;0,7516;0,8049;0,4944;0,38430;0,5143;0,1753;0,6569;0,6128;0,0899654;0,3856;0,7516;0,8049;0,4944;0,38430;0,5143;0,1753;0,6569;0,6128;0,0899654;0,3856;0,7516;0,8049;0,4944;0,38430;0,5143;0,1753;0,6569;0,6128;0,0899654;0,3856;0,7516;0,8049;0,4944;0,38430
01/01/2014 07:00;0,44400;0,5640;0,1783;0,6062;0,6229;0,0895615;0,4127;0,7844;0,8190;0,4886;0,44400;0,5640;0,1783;0,6062;0,6229;0,0895615;0,4127;0,7844;0,8190;0,4886;0,44400;0,5640;0,1783;0,6062;0,6229;0,0895615;0,4127;0,7844;0,8190;0,4886;0,44400;0,5640;0,1783;0,6062;0,6229;0,0895615;0,4127;0,7844;0,8190;0,4886;0,44400;0,5640;0,1783;0,6062;0,6229;0,0895615;0,4127;0,7844;0,8190;0,4886;0,44400
01/01/2014 08:00;0,49040;0,6171;0,1771;0,5691;0,6376;0,0891577;0,4404;0,8061;0,8168;0,4588;0,49040;0,6171;0,1771;0,5691;0,6376;0,0891577;0,4404;0,8061;0,8168;0,4588;0,49040;0,6171;0,1771;0,5691;0,6376;0,0891577;0,4404;0,8061;0,8168;0,4588;0,49040;0,6171;0,1771;0,5691;0,6376;0,0891577;0,4404;0,8061;0,8168;0,4588;0,49040;0,6171;0,1771;0,5691;0,6376;0,0891577;0,4404;0,8061;0,8168;0,4588;0,49040
