TimeZone;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1
DateTime;Test case 00;Test case 01;Test case 02;Test case 03;Test case 04;Test case 05;Test case 06;Test case 07;Test case 08;Test case 09;Test case 10;Test case 11;Test case 12;Test case 13;Test case 14;Test case 15;Test case 16;Test case 17;Test case 18;Test case 19;Test case 20;Test case 21;Test case 22;Test case 23;Test case 24;Test case 25;Test case 26;Test case 27;Test case 28;Test case 29;Test case 30;Test case 31;Test case 32;Test case 33;Test case 34;Test case 35;Test case 36;Test case 37;Test case 38;Test case 39;Test case 40;Test case 41;Test case 42;Test case 43;Test case 44;Test case 45;Test case 46;Test case 47;Test case 48;Test case 49;Test case 50
01/01/2014 00:00;0,231100;0,1543;0,7172;0,3836;0,1557;0,120012;0,8364;0,6436;0,3359;0,5269;0,231100;0,1543;0,7172;0,3836;0,1557;0,120012;0,8364;0,6436;0,3359;0,5269;0,231100;0,1543;0,7172;0,3836;0,1557;0,120012;0,8364;0,6436;0,3359;0,5269;0,231100;0,1543;0,7172;0,3836;0,1557;0,120012;0,8364;0,6436;0,3359;0,5269;0,231100;0,1543;0,7172;0,3836;0,1557;0,120012;0,8364;0,6436;0,3359;0,5269;0,231100
01/01/2014 01:00;0,258100;0,1503;0,7211;0,3826;0,1882;0,120015;0,8207;0,6561;0,3298;0,5399;0,258100;0,1503;0,7211;0,3826;0,1882;0,120015;0,8207;0,6561;0,3298;0,5399;0,258100;0,1503;0,7211;0,3826;0,1882;0,120015;0,8207;0,6561;0,3298;0,5399;0,258100;0,1503;0,7211;0,3826;0,1882;0,120015;0,8207;0,6561;0,3298;0,5399;0,258100;0,1503;0,7211;0,3826;0,1882;0,120015;0,8207;0,6561;0,3298;0,5399;0,258100
01/01/2014 02:00;0,286900;0,1448;0,7185;0,3772;0,2154;0,120019;0,8024;0,6682;0,3269;0,5489;0,286900;0,1448;0,7185;0,3772;0,2154;0,120019;0,8024;0,6682;0,3269;0,5489;0,286900;0,1448;0,7185;0,3772;0,2154;0,120019;0,8024;0,6682;0,3269;0,5489;0,286900;0,1448;0,7185;0,3772;0,2154;0,120019;0,8024;0,6682;0,3269;0,5489;0,286900;0,1448;0,7185;0,3772;0,2154;0,120019;0,8024;0,6682;0,3269;0,5489;0,286900
01/01/2014 03:00;0,307200;0,1379;0,7103;0,3646;0,2293;0,120023;0,7857;0,6792;0,3330;0,5515;0,307200;0,1379;0,7103;0,3646;0,2293;0,120023;0,7857;0,6792;0,3330;0,5515;0,307200;0,1379;0,7103;0,3646;0,2293;0,120023;0,7857;0,6792;0,3330;0,5515;0,307200;0,1379;0,7103;0,3646;0,2293;0,120023;0,7857;0,6792;0,3330;0,5515;0,307200;0,1379;0,7103;0,3646;0,2293;0,120023;0,7857;0,6792;0,3330;0,5515;0,307200
01/01/2014 04:00;0,318100;0,1315;0,6955;0,3478;0,2361;0,120027;0,7677;0,6881;0,3459;0,5486;0,318100;0,1315;0,6955;0,3478;0,2361;0,120027;0,7677;0,6881;0,3459;0,5486;0,318100;0,1315;0,6955;0,3478;0,2361;0,120027;0,7677;0,6881;0,3459;0,5486;0,318100;0,1315;0,6955;0,3478;0,2361;0,120027;0,7677;0,6881;0,3459;0,5486;0,318100;0,1315;0,6955;0,3478;0,2361;0,120027;0,7677;0,6881;0,3459;0,5486;0,318100
01/01/2014 05:00;0,322600;0,1258;0,6720;0,3303;0,2435;0,120031;0,7473;0,6949;0,3621;0,5428;0,322600;0,1258;0,6720;0,3303;0,2435;0,120031;0,7473;0,6949;0,3621;0,5428;0,322600;0,1258;0,6720;0,3303;0,2435;0,120031;0,7473;0,6949;0,3621;0,5428;0,322600;0,1258;0,6720;0,3303;0,2435;0,120031;0,7473;0,6949;0,3621;0,5428;0,322600;0,1258;0,6720;0,3303;0,2435;0,120031;0,7473;0,6949;0,3621;0,5428;0,322600
01/01/2014 06:00;0,323400;0,1207;0,6401;0,3151;0,2575;0,120035;0,7236;0,6990;0,3775;0,5368;0,323400;0,1207;0,6401;0,3151;0,2575;0,120035;0,7236;0,6990;0,3775;0,5368;0,323400;0,1207;0,6401;0,3151;0,2575;0,120035;0,7236;0,6990;0,3775;0,5368;0,323400;0,1207;0,6401;0,3151;0,2575;0,120035;0,7236;0,6990;0,3775;0,5368;0,323400;0,1207;0,6401;0,3151;0,2575;0,120035;0,7236;0,6990;0,3775;0,5368;0,323400
01/01/2014 07:00;0,323000;0,1138;0,6112;0,3021;0,2738;0,120038;0,7030;0,7048;0,3918;0,5317;0,323000;0,1138;0,6112;0,3021;0,2738;0,120038;0,7030;0,7048;0,3918;0,5317;0,323000;0,1138;0,6112;0,3021;0,2738;0,120038;0,7030;0,7048;0,3918;0,5317;0,323000;0,1138;0,6112;0,3021;0,2738;0,120038;0,7030;0,7048;0,3918;0,5317;0,323000;0,1138;0,6112;0,3021;0,2738;0,120038;0,7030;0,7048;0,3918;0,5317;0,323000
01/01/2014 08:00;0,321300;0,1028;0,6008;0,2893;0,2866;0,120042;0,6949;0,7182;0,4042;0,5285;0,321300;0,1028;0,6008;0,2893;0,2866;0,120042;0,6949;0,7182;0,4042;0,5285;0,321300;0,1028;0,6008;0,2893;0,2866;0,120042;0,6949;0,7182;0,4042;0,5285;0,321300;0,1028;0,6008;0,2893;0,2866;0,120042;0,6949;0,7182;0,4042;0,5285;0,321300;0,1028;0,6008;0,2893;0,2866;0,120042;0,6949;0,7182;0,4042;0,5285;0,321300
