TimeZone;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1
DateTime;Test case 00;Test case 01;Test case 02;Test case 03;Test case 04;Test case 05;Test case 06;Test case 07;Test case 08;Test case 09;Test case 10;Test case 11;Test case 12;Test case 13;Test case 14;Test case 15;Test case 16;Test case 17;Test case 18;Test case 19;Test case 20;Test case 21;Test case 22;Test case 23;Test case 24;Test case 25;Test case 26;Test case 27;Test case 28;Test case 29;Test case 30;Test case 31;Test case 32;Test case 33;Test case 34;Test case 35;Test case 36;Test case 37;Test case 38;Test case 39;Test case 40;Test case 41;Test case 42;Test case 43;Test case 44;Test case 45;Test case 46;Test case 47;Test case 48;Test case 49;Test case 50
01/01/2014 00:00;0,325900;0,1227;0,3475;0,2063;0,3153;0,197485;0,1810;0,3370;0,6086;0,5348;0,325900;0,1227;0,3475;0,2063;0,3153;0,197485;0,1810;0,3370;0,6086;0,5348;0,325900;0,1227;0,3475;0,2063;0,3153;0,197485;0,1810;0,3370;0,6086;0,5348;0,325900;0,1227;0,3475;0,2063;0,3153;0,197485;0,1810;0,3370;0,6086;0,5348;0,325900;0,1227;0,3475;0,2063;0,3153;0,197485;0,1810;0,3370;0,6086;0,5348;0,325900
01/01/2014 01:00;0,345900;0,1274;0,3280;0,2488;0,3396;0,198546;0,1862;0,3227;0,6314;0,5063;0,345900;0,1274;0,3280;0,2488;0,3396;0,198546;0,1862;0,3227;0,6314;0,5063;0,345900;0,1274;0,3280;0,2488;0,3396;0,198546;0,1862;0,3227;0,6314;0,5063;0,345900;0,1274;0,3280;0,2488;0,3396;0,198546;0,1862;0,3227;0,6314;0,5063;0,345900;0,1274;0,3280;0,2488;0,3396;0,198546;0,1862;0,3227;0,6314;0,5063;0,345900
01/01/2014 02:00;0,363300;0,1293;0,3146;0,2916;0,3565;0,199608;0,1898;0,3033;0,6407;0,4827;0,363300;0,1293;0,3146;0,2916;0,3565;0,199608;0,1898;0,3033;0,6407;0,4827;0,363300;0,1293;0,3146;0,2916;0,3565;0,199608;0,1898;0,3033;0,6407;0,4827;0,363300;0,1293;0,3146;0,2916;0,3565;0,199608;0,1898;0,3033;0,6407;0,4827;0,363300;0,1293;0,3146;0,2916;0,3565;0,199608;0,1898;0,3033;0,6407;0,4827;0,363300
01/01/2014 03:00;0,376900;0,1268;0,3107;0,3332;0,3567;0,200669;0,1828;0,2793;0,6206;0,4667;0,376900;0,1268;0,3107;0,3332;0,3567;0,200669;0,1828;0,2793;0,6206;0,4667;0,376900;0,1268;0,3107;0,3332;0,3567;0,200669;0,1828;0,2793;0,6206;0,4667;0,376900;0,1268;0,3107;0,3332;0,3567;0,200669;0,1828;0,2793;0,6206;0,4667;0,376900;0,1268;0,3107;0,3332;0,3567;0,200669;0,1828;0,2793;0,6206;0,4667;0,376900
01/01/2014 04:00;0,385200;0,1212;0,3112;0,3710;0,3438;0,201731;0,1682;0,2542;0,5737;0,4543;0,385200;0,1212;0,3112;0,3710;0,3438;0,201731;0,1682;0,2542;0,5737;0,4543;0,385200;0,1212;0,3112;0,3710;0,3438;0,201731;0,1682;0,2542;0,5737;0,4543;0,385200;0,1212;0,3112;0,3710;0,3438;0,201731;0,1682;0,2542;0,5737;0,4543;0,385200;0,1212;0,3112;0,3710;0,3438;0,201731;0,1682;0,2542;0,5737;0,4543;0,385200
01/01/2014 05:00;0,387200;0,1146;0,3092;0,4098;0,3247;0,202792;0,1534;0,2303;0,5019;0,4376;0,387200;0,1146;0,3092;0,4098;0,3247;0,202792;0,1534;0,2303;0,5019;0,4376;0,387200;0,1146;0,3092;0,4098;0,3247;0,202792;0,1534;0,2303;0,5019;0,4376;0,387200;0,1146;0,3092;0,4098;0,3247;0,202792;0,1534;0,2303;0,5019;0,4376;0,387200;0,1146;0,3092;0,4098;0,3247;0,202792;0,1534;0,2303;0,5019;0,4376;0,387200
01/01/2014 06:00;0,382400;0,1083;0,3012;0,4451;0,3060;0,203854;0,1378;0,2097;0,4192;0,4160;0,382400;0,1083;0,3012;0,4451;0,3060;0,203854;0,1378;0,2097;0,4192;0,4160;0,382400;0,1083;0,3012;0,4451;0,3060;0,203854;0,1378;0,2097;0,4192;0,4160;0,382400;0,1083;0,3012;0,4451;0,3060;0,203854;0,1378;0,2097;0,4192;0,4160;0,382400;0,1083;0,3012;0,4451;0,3060;0,203854;0,1378;0,2097;0,4192;0,4160;0,382400
01/01/2014 07:00;0,370300;0,1000;0,2915;0,4761;0,2925;0,204915;0,1227;0,1901;0,3412;0,3867;0,370300;0,1000;0,2915;0,4761;0,2925;0,204915;0,1227;0,1901;0,3412;0,3867;0,370300;0,1000;0,2915;0,4761;0,2925;0,204915;0,1227;0,1901;0,3412;0,3867;0,370300;0,1000;0,2915;0,4761;0,2925;0,204915;0,1227;0,1901;0,3412;0,3867;0,370300;0,1000;0,2915;0,4761;0,2925;0,204915;0,1227;0,1901;0,3412;0,3867;0,370300
01/01/2014 08:00;0,352100;0,0892;0,2885;0,4999;0,2893;0,205977;0,1112;0,1648;0,2818;0,3508;0,352100;0,0892;0,2885;0,4999;0,2893;0,205977;0,1112;0,1648;0,2818;0,3508;0,352100;0,0892;0,2885;0,4999;0,2893;0,205977;0,1112;0,1648;0,2818;0,3508;0,352100;0,0892;0,2885;0,4999;0,2893;0,205977;0,1112;0,1648;0,2818;0,3508;0,352100;0,0892;0,2885;0,4999;0,2893;0,205977;0,1112;0,1648;0,2818;0,3508;0,352100
