TimeZone;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1
DateTime;Test case 00;Test case 01;Test case 02;Test case 03;Test case 04;Test case 05;Test case 06;Test case 07;Test case 08;Test case 09;Test case 10;Test case 11;Test case 12;Test case 13;Test case 14;Test case 15;Test case 16;Test case 17;Test case 18;Test case 19;Test case 20;Test case 21;Test case 22;Test case 23;Test case 24;Test case 25;Test case 26;Test case 27;Test case 28;Test case 29;Test case 30;Test case 31;Test case 32;Test case 33;Test case 34;Test case 35;Test case 36;Test case 37;Test case 38;Test case 39;Test case 40;Test case 41;Test case 42;Test case 43;Test case 44;Test case 45;Test case 46;Test case 47;Test case 48;Test case 49;Test case 50
01/01/2014 00:00;0,799000;0,4451;0,8131;0,7285;0,3999;0,243565;0,1758;0,5933;0,2575;0,4501;0,799000;0,4451;0,8131;0,7285;0,3999;0,243565;0,1758;0,5933;0,2575;0,4501;0,799000;0,4451;0,8131;0,7285;0,3999;0,243565;0,1758;0,5933;0,2575;0,4501;0,799000;0,4451;0,8131;0,7285;0,3999;0,243565;0,1758;0,5933;0,2575;0,4501;0,799000;0,4451;0,8131;0,7285;0,3999;0,243565;0,1758;0,5933;0,2575;0,4501;0,799000
01/01/2014 01:00;0,804200;0,4621;0,8064;0,6990;0,4021;0,243654;0,1614;0,5930;0,2807;0,4114;0,804200;0,4621;0,8064;0,6990;0,4021;0,243654;0,1614;0,5930;0,2807;0,4114;0,804200;0,4621;0,8064;0,6990;0,4021;0,243654;0,1614;0,5930;0,2807;0,4114;0,804200;0,4621;0,8064;0,6990;0,4021;0,243654;0,1614;0,5930;0,2807;0,4114;0,804200;0,4621;0,8064;0,6990;0,4021;0,243654;0,1614;0,5930;0,2807;0,4114;0,804200
01/01/2014 02:00;0,805800;0,5076;0,7991;0,6720;0,3981;0,243742;0,1494;0,5921;0,3074;0,3800;0,805800;0,5076;0,7991;0,6720;0,3981;0,243742;0,1494;0,5921;0,3074;0,3800;0,805800;0,5076;0,7991;0,6720;0,3981;0,243742;0,1494;0,5921;0,3074;0,3800;0,805800;0,5076;0,7991;0,6720;0,3981;0,243742;0,1494;0,5921;0,3074;0,3800;0,805800;0,5076;0,7991;0,6720;0,3981;0,243742;0,1494;0,5921;0,3074;0,3800;0,805800
01/01/2014 03:00;0,805900;0,5832;0,7919;0,6588;0,3900;0,243831;0,1382;0,5965;0,3415;0,3577;0,805900;0,5832;0,7919;0,6588;0,3900;0,243831;0,1382;0,5965;0,3415;0,3577;0,805900;0,5832;0,7919;0,6588;0,3900;0,243831;0,1382;0,5965;0,3415;0,3577;0,805900;0,5832;0,7919;0,6588;0,3900;0,243831;0,1382;0,5965;0,3415;0,3577;0,805900;0,5832;0,7919;0,6588;0,3900;0,243831;0,1382;0,5965;0,3415;0,3577;0,805900
01/01/2014 04:00;0,803700;0,6650;0,7844;0,6605;0,3818;0,243919;0,1272;0,6069;0,3806;0,3392;0,803700;0,6650;0,7844;0,6605;0,3818;0,243919;0,1272;0,6069;0,3806;0,3392;0,803700;0,6650;0,7844;0,6605;0,3818;0,243919;0,1272;0,6069;0,3806;0,3392;0,803700;0,6650;0,7844;0,6605;0,3818;0,243919;0,1272;0,6069;0,3806;0,3392;0,803700;0,6650;0,7844;0,6605;0,3818;0,243919;0,1272;0,6069;0,3806;0,3392;0,803700
01/01/2014 05:00;0,796500;0,7314;0,7743;0,6757;0,3773;0,244008;0,1168;0,6229;0,4196;0,3212;0,796500;0,7314;0,7743;0,6757;0,3773;0,244008;0,1168;0,6229;0,4196;0,3212;0,796500;0,7314;0,7743;0,6757;0,3773;0,244008;0,1168;0,6229;0,4196;0,3212;0,796500;0,7314;0,7743;0,6757;0,3773;0,244008;0,1168;0,6229;0,4196;0,3212;0,796500;0,7314;0,7743;0,6757;0,3773;0,244008;0,1168;0,6229;0,4196;0,3212;0,796500
01/01/2014 06:00;0,784900;0,7779;0,7611;0,7010;0,3795;0,244096;0,1075;0,6430;0,4545;0,2998;0,784900;0,7779;0,7611;0,7010;0,3795;0,244096;0,1075;0,6430;0,4545;0,2998;0,784900;0,7779;0,7611;0,7010;0,3795;0,244096;0,1075;0,6430;0,4545;0,2998;0,784900;0,7779;0,7611;0,7010;0,3795;0,244096;0,1075;0,6430;0,4545;0,2998;0,784900;0,7779;0,7611;0,7010;0,3795;0,244096;0,1075;0,6430;0,4545;0,2998;0,784900
01/01/2014 07:00;0,769900;0,8155;0,7454;0,7243;0,3867;0,244185;0,0994;0,6634;0,4846;0,2821;0,769900;0,8155;0,7454;0,7243;0,3867;0,244185;0,0994;0,6634;0,4846;0,2821;0,769900;0,8155;0,7454;0,7243;0,3867;0,244185;0,0994;0,6634;0,4846;0,2821;0,769900;0,8155;0,7454;0,7243;0,3867;0,244185;0,0994;0,6634;0,4846;0,2821;0,769900;0,8155;0,7454;0,7243;0,3867;0,244185;0,0994;0,6634;0,4846;0,2821;0,769900
01/01/2014 08:00;0,750900;0,8514;0,7268;0,7335;0,3959;0,244273;0,0931;0,6774;0,5108;0,2775;0,750900;0,8514;0,7268;0,7335;0,3959;0,244273;0,0931;0,6774;0,5108;0,2775;0,750900;0,8514;0,7268;0,7335;0,3959;0,244273;0,0931;0,6774;0,5108;0,2775;0,750900;0,8514;0,7268;0,7335;0,3959;0,244273;0,0931;0,6774;0,5108;0,2775;0,750900;0,8514;0,7268;0,7335;0,3959;0,244273;0,0931;0,6774;0,5108;0,2775;0,750900
