TimeZone;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1
DateTime;Test case 00;Test case 01;Test case 02;Test case 03;Test case 04;Test case 05;Test case 06;Test case 07;Test case 08;Test case 09;Test case 10;Test case 11;Test case 12;Test case 13;Test case 14;Test case 15;Test case 16;Test case 17;Test case 18;Test case 19;Test case 20;Test case 21;Test case 22;Test case 23;Test case 24;Test case 25;Test case 26;Test case 27;Test case 28;Test case 29;Test case 30;Test case 31;Test case 32;Test case 33;Test case 34;Test case 35;Test case 36;Test case 37;Test case 38;Test case 39;Test case 40;Test case 41;Test case 42;Test case 43;Test case 44;Test case 45;Test case 46;Test case 47;Test case 48;Test case 49;Test case 50
01/01/2014 00:00;0,066600;0,0610;0,0981;0,0525;0,0428;0,0331192;0,2452;0,2993;0,4848;0,0849;0,066600;0,0610;0,0981;0,0525;0,0428;0,0331192;0,2452;0,2993;0,4848;0,0849;0,066600;0,0610;0,0981;0,0525;0,0428;0,0331192;0,2452;0,2993;0,4848;0,0849;0,066600;0,0610;0,0981;0,0525;0,0428;0,0331192;0,2452;0,2993;0,4848;0,0849;0,066600;0,0610;0,0981;0,0525;0,0428;0,0331192;0,2452;0,2993;0,4848;0,0849;0,066600
01/01/2014 01:00;0,063800;0,0619;0,1084;0,0487;0,0429;0,0329923;0,2487;0,2931;0,4596;0,0769;0,063800;0,0619;0,1084;0,0487;0,0429;0,0329923;0,2487;0,2931;0,4596;0,0769;0,063800;0,0619;0,1084;0,0487;0,0429;0,0329923;0,2487;0,2931;0,4596;0,0769;0,063800;0,0619;0,1084;0,0487;0,0429;0,0329923;0,2487;0,2931;0,4596;0,0769;0,063800;0,0619;0,1084;0,0487;0,0429;0,0329923;0,2487;0,2931;0,4596;0,0769;0,063800
01/01/2014 02:00;0,061400;0,0657;0,1195;0,0485;0,0437;0,0328654;0,2527;0,2942;0,4464;0,0739;0,061400;0,0657;0,1195;0,0485;0,0437;0,0328654;0,2527;0,2942;0,4464;0,0739;0,061400;0,0657;0,1195;0,0485;0,0437;0,0328654;0,2527;0,2942;0,4464;0,0739;0,061400;0,0657;0,1195;0,0485;0,0437;0,0328654;0,2527;0,2942;0,4464;0,0739;0,061400;0,0657;0,1195;0,0485;0,0437;0,0328654;0,2527;0,2942;0,4464;0,0739;0,061400
01/01/2014 03:00;0,059500;0,0718;0,1297;0,0545;0,0455;0,0327385;0,2597;0,3083;0,4474;0,0785;0,059500;0,0718;0,1297;0,0545;0,0455;0,0327385;0,2597;0,3083;0,4474;0,0785;0,059500;0,0718;0,1297;0,0545;0,0455;0,0327385;0,2597;0,3083;0,4474;0,0785;0,059500;0,0718;0,1297;0,0545;0,0455;0,0327385;0,2597;0,3083;0,4474;0,0785;0,059500;0,0718;0,1297;0,0545;0,0455;0,0327385;0,2597;0,3083;0,4474;0,0785;0,059500
01/01/2014 04:00;0,058500;0,0807;0,1401;0,0642;0,0468;0,0326115;0,2701;0,3306;0,4527;0,0900;0,058500;0,0807;0,1401;0,0642;0,0468;0,0326115;0,2701;0,3306;0,4527;0,0900;0,058500;0,0807;0,1401;0,0642;0,0468;0,0326115;0,2701;0,3306;0,4527;0,0900;0,058500;0,0807;0,1401;0,0642;0,0468;0,0326115;0,2701;0,3306;0,4527;0,0900;0,058500;0,0807;0,1401;0,0642;0,0468;0,0326115;0,2701;0,3306;0,4527;0,0900;0,058500
01/01/2014 05:00;0,058800;0,0857;0,1480;0,0741;0,0462;0,0324846;0,2839;0,3486;0,4495;0,1080;0,058800;0,0857;0,1480;0,0741;0,0462;0,0324846;0,2839;0,3486;0,4495;0,1080;0,058800;0,0857;0,1480;0,0741;0,0462;0,0324846;0,2839;0,3486;0,4495;0,1080;0,058800;0,0857;0,1480;0,0741;0,0462;0,0324846;0,2839;0,3486;0,4495;0,1080;0,058800;0,0857;0,1480;0,0741;0,0462;0,0324846;0,2839;0,3486;0,4495;0,1080;0,058800
01/01/2014 06:00;0,060500;0,0834;0,1514;0,0846;0,0431;0,0323577;0,3019;0,3556;0,4316;0,1302;0,060500;0,0834;0,1514;0,0846;0,0431;0,0323577;0,3019;0,3556;0,4316;0,1302;0,060500;0,0834;0,1514;0,0846;0,0431;0,0323577;0,3019;0,3556;0,4316;0,1302;0,060500;0,0834;0,1514;0,0846;0,0431;0,0323577;0,3019;0,3556;0,4316;0,1302;0,060500;0,0834;0,1514;0,0846;0,0431;0,0323577;0,3019;0,3556;0,4316;0,1302;0,060500
01/01/2014 07:00;0,062400;0,0763;0,1527;0,0912;0,0399;0,0322308;0,3295;0,3579;0,4240;0,1622;0,062400;0,0763;0,1527;0,0912;0,0399;0,0322308;0,3295;0,3579;0,4240;0,1622;0,062400;0,0763;0,1527;0,0912;0,0399;0,0322308;0,3295;0,3579;0,4240;0,1622;0,062400;0,0763;0,1527;0,0912;0,0399;0,0322308;0,3295;0,3579;0,4240;0,1622;0,062400;0,0763;0,1527;0,0912;0,0399;0,0322308;0,3295;0,3579;0,4240;0,1622;0,062400
01/01/2014 08:00;0,063100;0,0701;0,1538;0,0964;0,0391;0,0321038;0,3708;0,3653;0,4587;0,1905;0,063100;0,0701;0,1538;0,0964;0,0391;0,0321038;0,3708;0,3653;0,4587;0,1905;0,063100;0,0701;0,1538;0,0964;0,0391;0,0321038;0,3708;0,3653;0,4587;0,1905;0,063100;0,0701;0,1538;0,0964;0,0391;0,0321038;0,3708;0,3653;0,4587;0,1905;0,063100;0,0701;0,1538;0,0964;0,0391;0,0321038;0,3708;0,3653;0,4587;0,1905;0,063100
