TimeZone;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1
DateTime;Test case 00;Test case 01;Test case 02;Test case 03;Test case 04;Test case 05;Test case 06;Test case 07;Test case 08;Test case 09;Test case 10;Test case 11;Test case 12;Test case 13;Test case 14;Test case 15;Test case 16;Test case 17;Test case 18;Test case 19;Test case 20;Test case 21;Test case 22;Test case 23;Test case 24;Test case 25;Test case 26;Test case 27;Test case 28;Test case 29;Test case 30;Test case 31;Test case 32;Test case 33;Test case 34;Test case 35;Test case 36;Test case 37;Test case 38;Test case 39;Test case 40;Test case 41;Test case 42;Test case 43;Test case 44;Test case 45;Test case 46;Test case 47;Test case 48;Test case 49;Test case 50
01/01/2014 00:00;0,431700;0,2454;0,5874;0,8282;0,0268;0,0720654;0,7116;0,8337;0,4231;0,1837;0,431700;0,2454;0,5874;0,8282;0,0268;0,0720654;0,7116;0,8337;0,4231;0,1837;0,431700;0,2454;0,5874;0,8282;0,0268;0,0720654;0,7116;0,8337;0,4231;0,1837;0,431700;0,2454;0,5874;0,8282;0,0268;0,0720654;0,7116;0,8337;0,4231;0,1837;0,431700;0,2454;0,5874;0,8282;0,0268;0,0720654;0,7116;0,8337;0,4231;0,1837;0,431700
01/01/2014 01:00;0,513100;0,2892;0,5566;0,8314;0,0427;0,0726538;0,6915;0,8361;0,3748;0,1739;0,513100;0,2892;0,5566;0,8314;0,0427;0,0726538;0,6915;0,8361;0,3748;0,1739;0,513100;0,2892;0,5566;0,8314;0,0427;0,0726538;0,6915;0,8361;0,3748;0,1739;0,513100;0,2892;0,5566;0,8314;0,0427;0,0726538;0,6915;0,8361;0,3748;0,1739;0,513100;0,2892;0,5566;0,8314;0,0427;0,0726538;0,6915;0,8361;0,3748;0,1739;0,513100
01/01/2014 02:00;0,586000;0,3393;0,5293;0,8321;0,0609;0,0732423;0,6718;0,8371;0,3478;0,1772;0,586000;0,3393;0,5293;0,8321;0,0609;0,0732423;0,6718;0,8371;0,3478;0,1772;0,586000;0,3393;0,5293;0,8321;0,0609;0,0732423;0,6718;0,8371;0,3478;0,1772;0,586000;0,3393;0,5293;0,8321;0,0609;0,0732423;0,6718;0,8371;0,3478;0,1772;0,586000;0,3393;0,5293;0,8321;0,0609;0,0732423;0,6718;0,8371;0,3478;0,1772;0,586000
01/01/2014 03:00;0,636600;0,3755;0,5142;0,8281;0,0759;0,0738308;0,6592;0,8366;0,3526;0,1955;0,636600;0,3755;0,5142;0,8281;0,0759;0,0738308;0,6592;0,8366;0,3526;0,1955;0,636600;0,3755;0,5142;0,8281;0,0759;0,0738308;0,6592;0,8366;0,3526;0,1955;0,636600;0,3755;0,5142;0,8281;0,0759;0,0738308;0,6592;0,8366;0,3526;0,1955;0,636600;0,3755;0,5142;0,8281;0,0759;0,0738308;0,6592;0,8366;0,3526;0,1955;0,636600
01/01/2014 04:00;0,670200;0,4016;0,5078;0,8233;0,0860;0,0744192;0,6482;0,8355;0,3829;0,2308;0,670200;0,4016;0,5078;0,8233;0,0860;0,0744192;0,6482;0,8355;0,3829;0,2308;0,670200;0,4016;0,5078;0,8233;0,0860;0,0744192;0,6482;0,8355;0,3829;0,2308;0,670200;0,4016;0,5078;0,8233;0,0860;0,0744192;0,6482;0,8355;0,3829;0,2308;0,670200;0,4016;0,5078;0,8233;0,0860;0,0744192;0,6482;0,8355;0,3829;0,2308;0,670200
01/01/2014 05:00;0,693100;0,4317;0,5037;0,8234;0,0986;0,0750077;0,6324;0,8341;0,4235;0,2816;0,693100;0,4317;0,5037;0,8234;0,0986;0,0750077;0,6324;0,8341;0,4235;0,2816;0,693100;0,4317;0,5037;0,8234;0,0986;0,0750077;0,6324;0,8341;0,4235;0,2816;0,693100;0,4317;0,5037;0,8234;0,0986;0,0750077;0,6324;0,8341;0,4235;0,2816;0,693100;0,4317;0,5037;0,8234;0,0986;0,0750077;0,6324;0,8341;0,4235;0,2816;0,693100
01/01/2014 06:00;0,710800;0,4730;0,4952;0,8313;0,1155;0,0755962;0,6048;0,8345;0,4617;0,3433;0,710800;0,4730;0,4952;0,8313;0,1155;0,0755962;0,6048;0,8345;0,4617;0,3433;0,710800;0,4730;0,4952;0,8313;0,1155;0,0755962;0,6048;0,8345;0,4617;0,3433;0,710800;0,4730;0,4952;0,8313;0,1155;0,0755962;0,6048;0,8345;0,4617;0,3433;0,710800;0,4730;0,4952;0,8313;0,1155;0,0755962;0,6048;0,8345;0,4617;0,3433;0,710800
01/01/2014 07:00;0,724000;0,5201;0,4777;0,8359;0,1351;0,0761846;0,5629;0,8353;0,4922;0,4113;0,724000;0,5201;0,4777;0,8359;0,1351;0,0761846;0,5629;0,8353;0,4922;0,4113;0,724000;0,5201;0,4777;0,8359;0,1351;0,0761846;0,5629;0,8353;0,4922;0,4113;0,724000;0,5201;0,4777;0,8359;0,1351;0,0761846;0,5629;0,8353;0,4922;0,4113;0,724000;0,5201;0,4777;0,8359;0,1351;0,0761846;0,5629;0,8353;0,4922;0,4113;0,724000
01/01/2014 08:00;0,734700;0,5675;0,4471;0,8350;0,1477;0,0767731;0,5087;0,8355;0,5155;0,4816;0,734700;0,5675;0,4471;0,8350;0,1477;0,0767731;0,5087;0,8355;0,5155;0,4816;0,734700;0,5675;0,4471;0,8350;0,1477;0,0767731;0,5087;0,8355;0,5155;0,4816;0,734700;0,5675;0,4471;0,8350;0,1477;0,0767731;0,5087;0,8355;0,5155;0,4816;0,734700;0,5675;0,4471;0,8350;0,1477;0,0767731;0,5087;0,8355;0,5155;0,4816;0,734700
01/01/2014 09:00;0,744200;0,6074;0,3975;0,8357;0,1498;0,0773615;0,4434;0,8355;0,5334;0,5482;0,744200;0,6074;0,3975;0,8357;0,1498;0,0773615;0,4434;0,8355;0,5334;0,5482;0,744200;0,6074;0,3975;0,8357;0,1498;0,0773615;0,4434;0,8355;0,5334;0,5482;0,744200;0,6074;0,3975;0,8357;0,1498;0,0773615;0,4434;0,8355;0,5334;0,5482;0,744200;0,6074;0,3975;0,8357;0,1498;0,0773615;0,4434;0,8355;0,5334;0,5482;0,744200
01/01/2014 10:00;0,746700;0,6427;0,3279;0,8372;0,1477;0,0779500;0,3788;0,8345;0,5460;0,6053;0,746700;0,6427;0,3279;0,8372;0,1477;0,0779500;0,3788;0,8345;0,5460;0,6053;0,746700;0,6427;0,3279;0,8372;0,1477;0,0779500;0,3788;0,8345;0,5460;0,6053;0,746700;0,6427;0,3279;0,8372;0,1477;0,0779500;0,3788;0,8345;0,5460;0,6053;0,746700;0,6427;0,3279;0,8372;0,1477;0,0779500;0,3788;0,8345;0,5460;0,6053;0,746700
01/01/2014 11:00;0,740200;0,6720;0,2403;0,8374;0,1501;0,0785385;0,3280;0,8316;0,5515;0,6536;0,740200;0,6720;0,2403;0,8374;0,1501;0,0785385;0,3280;0,8316;0,5515;0,6536;0,740200;0,6720;0,2403;0,8374;0,1501;0,0785385;0,3280;0,8316;0,5515;0,6536;0,740200;0,6720;0,2403;0,8374;0,1501;0,0785385;0,3280;0,8316;0,5515;0,6536;0,740200;0,6720;0,2403;0,8374;0,1501;0,0785385;0,3280;0,8316;0,5515;0,6536;0,740200
01/01/2014 12:00;0,722000;0,6975;0,1500;0,8367;0,1652;0,0791269;0,2978;0,8256;0,5521;0,6944;0,722000;0,6975;0,1500;0,8367;0,1652;0,0791269;0,2978;0,8256;0,5521;0,6944;0,722000;0,6975;0,1500;0,8367;0,1652;0,0791269;0,2978;0,8256;0,5521;0,6944;0,722000;0,6975;0,1500;0,8367;0,1652;0,0791269;0,2978;0,8256;0,5521;0,6944;0,722000;0,6975;0,1500;0,8367;0,1652;0,0791269;0,2978;0,8256;0,5521;0,6944;0,722000
