Class;Data Name;Technology;Zone;GMT;Location;Source;Source date;Time step;Creator;Creation date;Validator;Validation date;Validation Status;Public data?;Comments
RandomValueData;_availability;FullAvailability;ALL;GMT-1;availability_ALL_FullAvailability_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_minProfile;imports-exports;ALL;GMT-1;minProfile_ALL_imports-exports_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_minStorageLevel;Gas storage;ALL;GMT-1;MinStorageLevelWithReserve_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_demand;Gas Demand - Total;AT;GMT-1;REF16_2030_AT_GasDemandTotal_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_demand;Gas Demand - Total;BA;GMT-1;REF16_2030_BA_GasDemandTotal_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_demand;Gas Demand - Total;BE;GMT-1;REF16_2030_BE_GasDemandTotal_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_demand;Gas Demand - Total;BG;GMT-1;REF16_2030_BG_GasDemandTotal_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_demand;Gas Demand - Total;CH;GMT-1;REF16_2030_CH_GasDemandTotal_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_demand;Gas Demand - Total;CY;GMT-1;REF16_2030_CY_GasDemandTotal_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_demand;Gas Demand - Total;CZ;GMT-1;REF16_2030_CZ_GasDemandTotal_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_demand;Gas Demand - Total;DE;GMT-1;REF16_2030_DE_GasDemandTotal_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_demand;Gas Demand - Total;DK;GMT-1;REF16_2030_DK_GasDemandTotal_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_demand;Gas Demand - Total;EE;GMT-1;REF16_2030_EE_GasDemandTotal_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_demand;Gas Demand - Total;ES;GMT-1;REF16_2030_ES_GasDemandTotal_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_demand;Gas Demand - Total;FI;GMT-1;REF16_2030_FI_GasDemandTotal_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_demand;Gas Demand - Total;FR;GMT-1;REF16_2030_FR_GasDemandTotal_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_demand;Gas Demand - Total;GB;GMT-1;REF16_2030_GB_GasDemandTotal_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_demand;Gas Demand - Total;GR;GMT-1;REF16_2030_GR_GasDemandTotal_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_demand;Gas Demand - Total;HR;GMT-1;REF16_2030_HR_GasDemandTotal_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_demand;Gas Demand - Total;HU;GMT-1;REF16_2030_HU_GasDemandTotal_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_demand;Gas Demand - Total;IE;GMT-1;REF16_2030_IE_GasDemandTotal_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_demand;Gas Demand - Total;IT;GMT-1;REF16_2030_IT_GasDemandTotal_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_demand;Gas Demand - Total;LT;GMT-1;REF16_2030_LT_GasDemandTotal_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_demand;Gas Demand - Total;LU;GMT-1;REF16_2030_LU_GasDemandTotal_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_demand;Gas Demand - Total;LV;GMT-1;REF16_2030_LV_GasDemandTotal_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_demand;Gas Demand - Total;MK;GMT-1;REF16_2030_MK_GasDemandTotal_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_demand;Gas Demand - Total;MT;GMT-1;REF16_2030_MT_GasDemandTotal_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_demand;Gas Demand - Total;NL;GMT-1;REF16_2030_NL_GasDemandTotal_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_demand;Gas Demand - Total;NO;GMT-1;REF16_2030_NO_GasDemandTotal_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_demand;Gas Demand - Total;PL;GMT-1;REF16_2030_PL_GasDemandTotal_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_demand;Gas Demand - Total;PT;GMT-1;REF16_2030_PT_GasDemandTotal_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_demand;Gas Demand - Total;RO;GMT-1;REF16_2030_RO_GasDemandTotal_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_demand;Gas Demand - Total;RS;GMT-1;REF16_2030_RS_GasDemandTotal_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_demand;Gas Demand - Total;SE;GMT-1;REF16_2030_SE_GasDemandTotal_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_demand;Gas Demand - Total;SI;GMT-1;REF16_2030_SI_GasDemandTotal_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_demand;Gas Demand - Total;SK;GMT-1;REF16_2030_SK_GasDemandTotal_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
RandomValueData;_demand;Gas Demand - Total;AL;GMT-1;REF16_2030_AL_GasDemandTotal_daily.csv;REF16_2030_daily;;1440;Artelys;;;;;;
