TimeZone;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1
DateTime;Test case 00;Test case 01;Test case 02;Test case 03;Test case 04;Test case 05;Test case 06;Test case 07;Test case 08;Test case 09;Test case 10;Test case 11;Test case 12;Test case 13;Test case 14;Test case 15;Test case 16;Test case 17;Test case 18;Test case 19;Test case 20;Test case 21;Test case 22;Test case 23;Test case 24;Test case 25;Test case 26;Test case 27;Test case 28;Test case 29;Test case 30;Test case 31;Test case 32;Test case 33;Test case 34;Test case 35;Test case 36;Test case 37;Test case 38;Test case 39;Test case 40;Test case 41;Test case 42;Test case 43;Test case 44;Test case 45;Test case 46;Test case 47;Test case 48;Test case 49
01/01/2014 00:00;140005,722779;128834,608792;115461,496364;130660,656271;156064,19915;161220,097926;193122,221544;207354,650434;143389,281345;170941,115378;153969,615276;122658,271729;129264,267024;137481,480674;135548,01864;216323,765993;155097,468133;139790,89367;131627,387288;151821,32412;125343,635671;156601,271935;182595,594896;120671,10241;116589,34922;129317,974293;162992,438121;132271,874628;142207,72122;181736,278434;139092,699046;147148,790874;166590,825796;219653,617276;122765,686283;149135,960193;136675,871497;149297,082015;163153,559959;145107,91427;160844,146964;122926,808122;137266,651567;110144,475764;153217,713368;164711,071047;153164,006099;147793,278213;103484,773185;123571,295462
02/01/2014 00:00;150063,35695;146464,969276;125304,301428;146572,383831;164403,200396;143779,605333;172405,584954;205757,80509;153124,671856;172190,755831;158280,570617;127613,714409;128634,152711;143564,776226;135401,269844;210967,411136;164349,493126;138086,633787;134112,29515;146357,554723;129493,469174;174714,997935;153393,208248;148076,187648;102478,707925;135830,928075;162577,152917;118752,013404;139321,901197;201514,930075;140073,803089;157958,32694;170042,464674;214243,555148;119503,915312;142168,386978;138516,292018;131910,296724;168860,904548;116012,942192;169935,050119;130675,029299;148774,382272;135025,318883;164564,322234;170096,171958;171170,317529;156937,888653;113166,456411;135401,269844
03/01/2014 00:00;156759,928646;151120,664368;137747,55194;151335,493476;161539,87646;153268,955509;157350,708701;200316,531765;147414,862123;160358,31632;152785,590008;135814,089891;129691,460112;144407,254503;137103,064584;198329,362447;174429,623372;122387,270194;114707,129328;122655,806587;127596,876239;182432,007915;142097,841523;170562,699289;116264,640415;149294,616887;158371,147001;111216,156192;140110,672205;203270,4321;126469,023384;167769,920793;163849,289441;185009,957303;114331,178366;126952,3889;132484,238608;131410,093038;185547,030089;128295,070865;176040,841728;129852,581951;149939,104228;126469,023384;163956,703994;175396,35439;173409,185071;164386,362227;121796,490123;123139,172102
04/01/2014 00:00;167664,246643;160574,885832;164495,517199;157513,570944;157943,229175;162508,347881;166214,15011;198331,102851;147309,187973;156546,839927;151229,819326;136084,366703;152465,086735;153431,817752;153754,061429;211757,922549;167180,881127;145107,189532;111808,676666;112023,50579;143173,727498;205098,219985;164173,273522;162454,640596;118199,842853;147148,066135;164495,517199;124966,959985;129263,542284;197632,908227;125557,74004;191134,327486;177814,922343;180822,529947;121637,108688;109069,605454;128887,591339;131143,297049;200210,857615;157459,863673;172766,438135;124000,228968;155848,645302;119596,232101;165086,297254;163851,029844;183400,479337;172497,901743;126363,349233;113258,773199
05/01/2014 00:00;166149,534093;147566,815619;172540,70028;159382,41696;147405,693796;161262,171725;160295,440708;196440,439355;146063,011817;149392,863098;138758,821898;121465,078118;131508,339264;151594,86154;169425,678107;213358,232188;140370,040269;150896,666916;115772,106571;102989,774198;144988,866245;205355,84763;151380,032418;135912,336117;101647,092234;132689,899389;147781,644744;124311,563899;117222,203089;163088,219204;119585,323354;192412,393433;176998,404418;175548,307884;117490,739482;95900,4134024;130595,315516;113999,766361;187417,61651;169371,970822;159167,587853;123398,540152;147513,108351;111636,646096;138597,70006;169747,921783;180167,133877;175172,356938;123237,418313;112120,011596
06/01/2014 00:00;136031,956434;124108,940539;156279,600549;152090,432805;131950,203244;156870,380619;150855,165396;189846,649808;134796,689024;127814,742768;118899,334492;95805,2045964;110950,657219;130822,350387;132433,56876;193874,695729;120564,260134;143604,682745;149029,117915;81948,7266676;118953,041762;199352,838169;127546,206375;129748,204816;89843,6966413;110682,120826;131896,495959;106600,367636;97040,472006;106922,611313;97684,9593607;172069,540526;153540,529322;158750,135368;106009,587565;88554,7219622;112830,411984;98651,6903776;148653,166954;154668,382178;130500,106711;99564,7141097;132702,105152;88501,0146776;115193,532248;176580,951949;164013,4487;121799,527544;114119,386677;97631,252076
07/01/2014 00:00;129585,003171;117769,40183;142743,286491;159124,006523;154182,936885;154344,058709;148543,672607;164441,027139;132592,610791;129423,881349;113043,1613;109122,529947;101496,096352;125288,420872;127973,784814;165085,514478;123623,495231;157297,959044;174269,459162;105255,605865;113795,063209;205151,144477;139467,142478;160950,054004;104074,04574;106598,287844;136674,363982;99616,3416023;114708,086941;105094,484041;102838,778331;161218,590411;123730,909785;166428,196442;86780,30196;95534,5884115;106007,507774;107618,726145;130390,612365;171422,97338;112882,039461;87639,6184227;132001,83072;93493,7118086;108048,384377;166965,269242;157459,080882;103698,094793;108048,384377;100744,194458
08/01/2014 00:00;150747,178548;124376,904655;169007,653345;186247,689856;177815,647081;171424,480896;180393,596455;160414,488733;150747,178548;149941,56937;132271,874628;142583,672166;121960,077105;145698,694341;155634,540918;161434,927033;153539,957044;183025,253128;196828,023772;133453,434769;142100,306667;227494,87998;169759,555255;180393,596455;139468,649994;113581,7416;152841,76242;119543,249555;120671,10241;128512,365115;134688,702178;177385,98885;137535,18796;186569,933518;108586,964677;128619,779669;128995,730631;137212,944281;156171,613703;199996,75323;141240,990203;107996,184607;161434,927033;112239,059636;129371,681578;188557,102837;177600,817958;112131,645082;128190,121437;124752,855601
09/01/2014 00:00;153232,086409;136368,00086;179172,702073;201783,466468;200494,491773;165262,516858;167195,978907;163436,469379;150976,380699;151567,160768;139590,43759;144477,799959;133306,685972;149204,040504;149741,113289;152050,52627;165638,467821;164403,200396;195607,129405;134273,416988;153393,208248;220312,477657;182502,55337;181804,358746;146196,432883;118859,427958;146894,627507;116764,844085;121222,548239;129278,640051;142222,094247;154897,012051;143779,605333;180837,627729;109568,068721;146035,311045;139214,486642;144262,97085;169451,684619;208496,876317;138086,633787;121544,7919;177131,825485;96087,5417386;136690,244539;192277,278108;172835,243185;128848,981818;132393,662224;131373,223923
10/01/2014 00:00;164117,825834;134739,94432;182593,129754;191938,19626;194032,780133;162936,265709;153537,491902;161432,461891;144783,205466;148542,71498;139681,013974;127811,705347;129100,680042;146985,203892;139036,526633;152731,882723;167877,335348;153322,662794;202464,822923;122118,733801;155095,002988;206385,454275;163365,92394;192421,561776;132913,896841;121205,710053;143601,645326;99454,2621356;141399,646898;107564,061233;138016,088333;140647,74499;144353,547235;171153,47936;121366,831892;152570,760885;146072,18016;144299,83995;172227,624945;189306,539603;136297,455406;108745,621373;170401,577466;96768,898193;125717,121475;183613,568054;167501,3844;148381,59314;124105,903118;138392,039279
