TimeZone;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1
DateTime;Test case 00;Test case 01;Test case 02;Test case 03;Test case 04;Test case 05;Test case 06;Test case 07;Test case 08;Test case 09;Test case 10;Test case 11;Test case 12;Test case 13;Test case 14;Test case 15;Test case 16;Test case 17;Test case 18;Test case 19;Test case 20;Test case 21;Test case 22;Test case 23;Test case 24;Test case 25;Test case 26;Test case 27;Test case 28;Test case 29;Test case 30;Test case 31;Test case 32;Test case 33;Test case 34;Test case 35;Test case 36;Test case 37;Test case 38;Test case 39;Test case 40;Test case 41;Test case 42;Test case 43;Test case 44;Test case 45;Test case 46;Test case 47;Test case 48;Test case 49
01/01/2014 00:00;79146,808562;73780,2215762;58734,6116296;61897,0646706;86094,6220683;107177,642376;106219,323271;128212,746733;86717,5294936;94911,1578329;96731,9641328;81638,4382371;76559,3469809;65251,1815417;70426,1047053;113358,800608;90694,5537734;80057,2117086;67886,5590811;91700,7888345;78667,6490106;88586,2517436;93761,1749068;51211,8066562;62567,8880448;91748,7047919;87580,0166817;69611,5334663;94384,0823313;104925,592481;71049,0121219;82213,4296961;66209,5006455;126966,931892;65442,8453641;66736,5761549;68653,2143625;72630,23865;104254,769107;58207,5361202;92707,0238956;59597,0988262;73684,389661;56099,2340903;87484,1847749;86334,2018489;81590,5222797;88011,2602838;44982,7324738;66976,1559269
02/01/2014 00:00;87742,2010126;82519,3618911;66850,8445279;71546,6081393;82902,6895358;96894,1484637;104704,449167;127416,611951;86496,386179;94594,1826116;94498,350704;87885,9488775;66850,8445279;79644,404572;78254,841874;119750,059114;96846,2325063;75811,1281572;65652,9456442;80075,6481743;74421,5654506;93683,7794653;76913,1951258;65748,7775514;53530,2089664;95648,3336301;82471,4459337;65509,1977794;93444,1996855;111268,935037;65892,5254241;94402,5187892;68144,5753188;120468,798445;63113,4000199;67809,1636317;67090,4242999;56021,8386409;96223,3250899;46294,8997304;85729,7308896;63784,2233863;75619,4643345;68240,4072259;95935,82936;93923,359237;96654,5686839;89706,7551782;61100,9298972;77584,0184999
03/01/2014 00:00;91519,6338583;96071,6496132;67082,4966886;85003,0639466;79348,9812314;85290,5596765;97892,4559058;116100,518901;86392,6266525;97269,5484894;84859,3160825;87015,5340697;66555,4211791;87350,945757;74126,1421101;115285,947663;97125,8006245;63009,6404936;61572,1618379;65980,42972;73455,3187359;106181,916169;73167,8230065;87878,0212658;62482,5649841;94202,9273559;85338,4756339;58840,9523834;87398,8617144;120317,122962;56445,1546239;99042,4388319;76905,2675139;107619,394824;53282,7015752;59607,6076728;72640,7474968;65309,6063458;87638,4414861;56157,6588944;102492,38761;77576,0908887;79684,3929184;70005,3699575;81888,5268557;99042,4388319;96550,8091655;100432,001538;66411,6733144;73263,6549132
04/01/2014 00:00;99628,6962162;98287,0494759;74712,3994941;98526,6292476;76437,3738798;90428,832815;91003,8242748;129767,832068;84343,5064973;90860,0764098;72604,0974643;83481,0193004;80941,4736765;96322,4953102;74520,735672;103414,056682;81181,053449;66375,0232819;50131,5144514;60864,6884311;83720,5990809;111751,432894;91243,4040545;96226,6633954;60577,1926937;84295,5905399;87074,7159435;70352,0475696;79599,8269284;116543,028421;65272,9563133;106720,257596;81612,2970504;106672,341638;62062,5873069;50850,2537832;68962,4848636;60673,0246088;88224,6988704;79072,7514185;105474,442762;81516,4651364;86595,5563921;64027,141472;72604,0974643;109738,962779;103749,468369;103318,224774;63883,3936073;65512,5360853
05/01/2014 00:00;100353,071591;102892,617222;81617,9330935;97190,6185495;65997,3316874;96998,9547271;86601,1924344;127186,006528;89044,9061595;91680,2836909;63841,1136999;86888,6881715;78311,73218;96567,711125;90003,2252632;99969,7439531;76107,5982428;84109,5627679;52389,2003964;50855,8898256;84732,4701843;134469,231729;90626,1326796;82049,1766883;53012,107813;76634,673744;84972,0499568;73951,3802554;70261,851697;93357,3421266;68441,0454044;109361,271177;74286,7919425;103180,112952;62882,7945962;49657,9909497;63936,9456072;56701,6363634;88757,4104223;104042,600148;87367,8477238;73088,8930586;96471,8792175;58474,5267141;63889,0296497;106438,397908;107109,221283;92063,6113356;61014,0723383;66332,7433667
06/01/2014 00:00;93876,3859056;96511,7634451;86161,9171097;96751,3432248;63593,5021899;84916,1022769;103699,156731;100872,11537;84772,3544119;90426,4371274;57412,3439649;80651,582259;67905,9381648;87407,7319514;90618,1009498;99338,8048069;69008,0051334;74374,5921274;58610,2428486;55160,2940701;73176,6932436;133694,544717;80459,918437;67905,9381648;54345,7228312;63593,5021899;73799,60066;60287,3012841;77057,885616;68624,6774965;62874,7628659;93205,5625318;67426,7786129;97805,4942353;54393,6387887;53291,5718202;64743,4851159;59137,318358;90618,1009498;103890,820554;75716,2388677;56837,3525058;92199,3274699;50368,6985434;53962,3951865;105136,635387;102165,846161;59281,0662228;63353,9224178;66037,2159147
07/01/2014 00:00;92200,0313574;80987,6978267;83910,5711033;107389,389169;71164,9270083;70494,1036342;103556,112747;84964,7221137;77394,0011826;92679,1909097;60096,3413415;70733,6834061;65510,844285;81179,3616482;86785,5284144;102406,12982;69104,5409281;85300,133801;84341,8146965;64121,2815868;64408,7773164;132018,190162;81754,3531161;90283,39315;69775,3643023;66325,415524;70925,3472285;56358,8968335;74806,5396015;60815,0806732;75956,522527;83910,5711033;55160,9979499;103795,692526;50992,3098476;52908,9480553;65894,1719296;66564,9953039;90810,4686516;108587,288053;75429,4470179;55304,7458225;84916,8061563;51758,9651291;52717,2842329;115055,942007;102166,550048;44284,0761132;65654,5921497;69056,6249705
08/01/2014 00:00;97786,1151521;77709,3299064;89544,5708473;123564,899071;87675,8485973;80440,5393533;91652,8728771;86717,5294936;76415,5991158;99127,7619005;68844,8781848;61369,989169;79338,4723847;87915,428369;85855,0422966;98169,4427968;85136,3029646;96923,6279559;82021,7658737;75601,0278766;80248,8755306;150254,086143;80009,2957588;107369,306198;78284,3213659;65538,6772712;74594,7928155;64676,1900747;60267,9221925;60938,7455668;83363,4126221;86957,1092653;62232,4763577;104302,685065;56434,6457773;62567,8880448;70426,1047053;79434,3042921;89544,5708473;114940,027129;74259,3811284;62711,6359095;81734,2701438;53368,0246437;68653,2143625;111442,162393;112065,069809;48863,9248464;63669,9550212;78955,14474
09/01/2014 00:00;100535,761064;75954,8760216;86400,5542642;125260,393964;85202,6553807;87502,6212328;66371,6849759;85106,8234732;67282,0881222;96750,4005988;69582,0539744;67425,8359869;82902,6895358;90329,6625946;83573,5129024;84483,9160568;85873,4787545;91287,9816975;70971,6166804;82279,7821114;93012,9560907;140018,508181;79261,0769351;105566,936363;66659,1807055;72552,8432005;77296,5227705;53769,7887462;61580,0894492;63305,0638344;73942,4058993;80746,4715484;58273,8885356;93587,9475505;58753,0480875;76194,4558019;74086,1537636;83861,0086404;87310,9574177;111796,010546;63065,4840624;63400,8957494;86688,0499941;44426,1774725;66563,3487905;115054,295502;117737,588991;63975,8872087;69294,5582449;83094,3533509
10/01/2014 00:00;94346,6752209;70915,7731037;87542,6095785;126019,121635;109536,033032;82511,4342721;56924,3141758;85961,3830511;62865,8926288;95640,4060111;69478,2944481;72496,9996325;76090,6962754;90321,7349829;76090,6962754;85817,6351854;84907,2320399;93675,8518463;73838,6463806;77384,4270661;94442,5071276;121035,862294;73503,2346936;96598,7251156;64399,2031917;67801,2360125;82942,6778743;48874,4336931;77432,3430236;60949,2544134;73551,1506434;67465,8243333;62242,9852043;95113,3305022;63872,1276901;94059,1794902;85865,5511436;66076,2616273;84715,5682167;115765,107215;59368,0278928;65884,5978049;89075,920142;52803,5420233;63536,716003;105511,092794;110542,268093;83853,0810206;67801,2360125;73886,5623305
11/01/2014 00:00;103222,392859;82953,9437915;88560,1105569;116590,944379;105474,442762;75526,9707332;59427,2097676;86451,8085271;65464,6201277;103030,729045;55977,2609971;68579,157219;61870,9234846;94070,4454074;82618,5321123;83385,1873944;101736,998254;95987,0836237;72604,0974643;83912,2629033;88799,6903374;127994,941724;63643,8138353;127755,361945;70879,1230712;70879,1230712;88799,6903374;55306,4376229;82522,7001975;52671,0600835;73466,5846611;65464,6201277;65847,9477724;94453,7730522;61727,1756198;98526,6292476;94357,9411454;56887,6641434;82283,1204258;118363,834721;50754,4218681;64122,9733872;91818,3955127;60481,3607864;56935,5801009;99580,7802661;110553,534018;75526,9707332;73801,9963403;72460,3495992
