TimeZone;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1
DateTime;Test case 00;Test case 01;Test case 02;Test case 03;Test case 04;Test case 05;Test case 06;Test case 07;Test case 08;Test case 09;Test case 10;Test case 11;Test case 12;Test case 13;Test case 14;Test case 15;Test case 16;Test case 17;Test case 18;Test case 19;Test case 20;Test case 21;Test case 22;Test case 23;Test case 24;Test case 25;Test case 26;Test case 27;Test case 28;Test case 29;Test case 30;Test case 31;Test case 32;Test case 33;Test case 34;Test case 35;Test case 36;Test case 37;Test case 38;Test case 39;Test case 40;Test case 41;Test case 42;Test case 43;Test case 44;Test case 45;Test case 46;Test case 47;Test case 48;Test case 49
01/01/2014 00:00;7099,38785726;6818,42111943;6583,26417085;6845,90699651;6143,49014308;6042,7085937;5877,79333697;5725,09401971;6329,7833101;7010,82225328;6345,05324184;7413,94844491;7081,06393919;7352,8687239;7917,85618595;4937,1655545;6891,71679168;7441,43432202;5850,30745986;8995,91335393;6870,3388873;7441,43432202;5438,01930917;6216,78581537;6906,98672342;7398,67851317;7343,70676485;6827,58307845;8815,72815956;7413,94844491;6598,53410258;5169,26851082;6061,0325118;6216,78581537;7105,49582995;7459,75824009;7783,48079265;7215,43933839;7902,58625421;6607,69606163;7151,30562511;6305,35141936;6296,18946034;7212,38535203;5685,39219723;8006,42178993;5105,13480345;6021,33068931;5838,09151448;5838,09151448
02/01/2014 00:00;7215,16445648;6622,69111142;7111,32892072;7114,38290708;6176,80911097;7428,94349473;6027,16378595;5361,39476866;6766,22846963;7120,49087977;6295,91457843;7599,96673005;6931,14373226;7239,59634722;8424,54303139;5947,76014098;6815,09225116;7230,43438817;5691,22528801;8604,72822572;7138,81479783;7212,11047012;6463,88382738;6225,67289248;5956,92210003;7700,74827941;7401,45762349;6189,02505635;8613,89018477;7654,93848424;6860,90204634;5214,80342409;6170,70113828;6454,72186833;7419,78153569;7025,81730307;8201,60203407;7212,11047012;9462,89837688;7120,49087977;7114,38290708;6625,74509778;6216,51093346;7031,92527579;5810,33075546;7642,72253886;4771,97540996;6115,72938407;6237,88883784;5963,03007272
03/01/2014 00:00;7824,1434742;6318,52822383;6468,17355472;6361,28403264;6367,39200533;7827,19746053;6941,54143228;5982,58973175;6724,70840769;6898,78562347;6492,60544547;7469,88106406;6513,9833499;6956,81136402;8208,94574777;9149,57353024;7185,86033401;8050,1384637;6678,89861252;8230,3236522;6779,68015601;6633,08881734;6086,42526747;6156,66695343;6217,7466803;8645,66578922;7503,47491385;7136,99655835;7518,74484559;7647,0122662;6791,89610139;6300,20430574;6339,90612821;6321,58221016;7048,43095436;6816,32799214;9015,19813105;7063,70088609;8786,14916106;6171,93688512;7085,07879048;7243,88607456;6358,23004631;6306,31227842;6388,76990975;6846,86785561;4770,15717048;5869,59223699;6358,23004631;5625,27333528
04/01/2014 00:00;6787,17181885;6087,80895766;6756,63195541;6188,59050702;7202,5139559;7813,31121897;6390,1535999;6774,95587348;6829,92762769;6799,38776426;6689,44425582;7746,12351938;6307,6959686;7376,59117754;7171,97409242;8995,20391681;8769,20893318;6637,52649386;7025,38275376;7694,20575153;6362,66772283;6988,73491764;5574,73925757;7333,83536873;6216,07637826;8573,75380708;8042,36018898;7095,62443382;7324,67340968;7517,07454942;7092,5704475;7126,16429726;7110,89436555;5834,32809105;6897,1153273;6839,08958674;8961,61006701;6793,27979157;9734,26860639;5757,9784324;7544,56042063;6756,63195541;5870,97592717;6096,97091667;6411,53150432;6106,13287572;4884,53834953;5953,43355846;6350,45177742;6258,83218708
05/01/2014 00:00;7011,12293291;6357,56986685;7679,94593653;6440,02749228;7215,74001801;7389,81723379;5645,99105438;6168,22271347;6739,3181541;6647,69856375;6922,55732888;7600,54229156;7530,30060564;8000,61449686;6678,23842718;6162,11474078;8758,00309865;5942,22772984;6748,48011311;6754,5880858;5991,09150547;5930,01178446;5645,99105438;8183,85367169;6290,38216725;7957,85868806;8370,14683871;6659,91450913;6498,05323282;7832,64524791;6412,54161517;6815,66781271;7206,57805896;5652,09902707;6323,97601704;6742,37214043;8257,14934398;6705,7243043;9854,3841847;5652,09902707;7515,03067393;6675,18444082;5239,81087637;6592,72680953;6675,18444082;5667,3689588;5545,20950498;5881,14800292;6082,71109581;5850,60813949
06/01/2014 00:00;6794,53624943;6455,54377103;8006,96881071;5490,48409781;6501,35356621;6883,10185341;4507,1005065;5817,26063084;5942,47407095;6431,11188024;6663,21483661;6864,77793536;6580,75720528;7790,13578609;7304,55196316;5685,93921802;7194,60845471;7390,06358078;5682,88523166;6302,84445378;5893,61028946;4898,01075277;5490,48409781;7008,3152877;5936,36609826;7115,20480975;7686,30025036;5682,88523166;6565,48727357;7851,21550709;5401,9184938;6275,35857667;6806,75219481;5771,45083567;5667,61529992;6550,21734184;7304,55196316;6421,94992124;9158,32165094;5508,80801588;7988,64489262;6376,14012606;5350,00072594;6418,89593488;6763,99638597;5298,08295808;5359,16268499;5450,78227533;5298,08295808;5817,26063084
07/01/2014 00:00;6824,67319982;6342,14336322;8253,93879158;5847,3975871;5416,78551835;6983,48048977;4430,34794071;5923,74723985;5578,64678875;6598,67821619;6354,3593086;6394,06113107;6137,52628397;7670,62740559;7707,27524175;6488,73470778;6589,51625714;7398,82262678;5196,89850154;6513,16659853;6024,52878923;5044,19918428;6058,12263903;5752,72401043;6024,52878923;6684,18983384;7630,925589;5935,96318522;6485,68072142;8040,15975333;5300,73403726;6598,67821619;6577,30031176;5624,45658393;5832,12765537;6668,91990211;7499,60417617;6110,0404069;8498,25769919;5297,6800509;8996,05746163;6485,68072142;5945,12514426;6598,67821619;6271,90168316;4714,36866493;5172,46661075;5477,86523936;4867,06798214;6027,58277556
08/01/2014 00:00;7444,48830835;8006,42178993;9286,04205079;7050,52407575;6378,64709164;7539,16188505;5383,04755498;6619,91200701;5804,49766468;7438,38033566;7111,60380267;6775,66531058;7111,60380267;8049,17759877;8354,57622738;8583,62520324;7093,27988457;8189,66097062;7475,02817182;7038,30813039;7181,84548859;5425,8033638;6690,15369293;6885,60881899;6122,11223867;7355,92270437;8146,9051618;6687,09970661;7197,11542029;7184,89947492;6045,76258006;6998,6063079;6772,61132427;6693,20767929;7019,98421232;6803,1511877;8379,00811812;6357,26918721;8653,86688916;6177,08399288;8864,5919411;6754,28740617;7172,68352954;7426,16439029;6387,80905069;5899,17124139;5593,77260689;6601,58808894;5899,17124139;7242,92521546
09/01/2014 00:00;7523,61707141;7948,12116747;9322,41500501;6363,10227799;8500,89269;7334,26992389;6097,405466;6931,14373226;5905,00433213;7670,20841598;7517,50909872;7890,09542692;7792,36786975;7496,13119429;9142,22981655;8226,03392486;7862,60954981;8626,10613014;7764,88199264;7325,10796489;6925,03575957;6069,91959475;6952,52163668;8623,05214381;6118,78337043;8394,00316795;8299,32959124;6555,50341186;6882,27995075;7957,28312651;5868,35649601;7154,08472956;6677,66286565;6958,62960937;7251,8122926;6641,01502952;8326,81546836;6259,26674227;8815,45327766;6320,34646918;8662,75396629;6992,2234533;7377,02573274;7499,18518065;6695,9867837;6237,88883784;5657,63143821;6451,66788201;6024,10979959;8436,75897677
