TimeZone;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1
DateTime;Test case 00;Test case 01;Test case 02;Test case 03;Test case 04;Test case 05;Test case 06;Test case 07;Test case 08;Test case 09;Test case 10;Test case 11;Test case 12;Test case 13;Test case 14;Test case 15;Test case 16;Test case 17;Test case 18;Test case 19;Test case 20;Test case 21;Test case 22;Test case 23;Test case 24;Test case 25;Test case 26;Test case 27;Test case 28;Test case 29;Test case 30;Test case 31;Test case 32;Test case 33;Test case 34;Test case 35;Test case 36;Test case 37;Test case 38;Test case 39;Test case 40;Test case 41;Test case 42;Test case 43;Test case 44;Test case 45;Test case 46;Test case 47;Test case 48;Test case 49
01/01/2014 00:00;146900,797453;158704,464654;145786,006662;147228,677097;156868,338647;165721,089042;142179,330575;153130,510703;129851,055941;126441,107641;129851,055941;140671,084211;140539,932354;148015,588243;145589,278875;119883,514756;142113,754646;142769,513934;120998,305546;157720,825723;135293,858044;158835,616513;140998,963856;141130,115713;134113,491326;137392,287768;165458,785327;132801,972748;149851,714251;154310,877422;139490,717492;110834,036566;132998,700535;147556,556741;134703,674685;127883,778076;160015,983231;144671,215871;147556,556741;118965,451751;133261,004251;126637,835428;135359,433974;121129,457404;136277,496978;129851,055941;110178,277277;130834,694874;123621,3427;130506,81523
02/01/2014 00:00;140238,10775;150926,984163;142992,296762;143516,904193;162206,043925;168566,909033;157615,728905;155648,45104;136828,15945;124303,157029;130270,566564;136106,824233;136500,279806;136631,431663;144697,270913;177091,779785;148238,371079;138926,589173;122532,606951;152238,50274;142664,417119;168239,029389;142861,144905;136762,583522;137942,950241;146467,820992;158796,095625;140762,715182;161747,012423;181747,670733;143057,872691;137942,950241;128959,047987;145746,485774;133352,635221;127450,801616;158533,791909;146861,276564;165484,840368;124237,581102;143713,63198;128827,896131;135582,216801;116106,165924;139779,076248;137287,190952;118073,443789;130532,870281;120696,480943;124631,036675
03/01/2014 00:00;149672,104356;146524,459771;137671,709375;131638,723912;171508,888673;158065,823257;158656,006616;172623,679463;127179,56075;114457,830543;128359,927469;144294,87819;133933,881422;130786,236836;138327,468664;189673,420973;156032,969463;138327,468664;129015,686758;141671,841035;127900,895967;174918,836982;136360,190789;135770,007429;127507,440394;146196,580126;156885,456538;140688,202102;160623,284483;183443,707733;131310,844267;146196,580126;134589,640711;134327,336995;128687,807112;128622,231185;156492,000964;135638,855572;165213,599502;104687,017144;140163,594671;122720,397587;133933,881422;119769,480789;133474,84992;138393,044593;140491,474316;129999,325691;108031,389516;123113,853161
04/01/2014 00:00;160311,288134;143917,305912;134080,916585;150606,050664;166868,881019;152245,448885;143130,394765;170344,405258;129031,570053;123064,160527;128638,11448;155524,245328;125359,318038;127654,475547;130670,968284;178147,940791;164245,843866;130933,271999;133425,157296;136048,19445;124572,406891;168836,158894;132900,549864;156901,339833;122146,097524;157032,491692;155917,700901;136703,953738;155589,821257;173951,081344;131129,999785;156835,763905;140507,357612;133556,309152;125490,469895;129884,057137;150081,443232;136966,257453;167262,336601;111719,524836;148179,741287;128703,690409;134146,492513;126736,412544;124047,799461;152573,32853;143458,274411;142409,059548;122277,249382;124441,255033
05/01/2014 00:00;161541,950699;146262,759267;138393,647796;160099,280256;152885,928081;143836,449899;126130,9491;162328,861844;132688,541986;122983,304507;129540,897401;148295,613061;129737,625186;124819,430523;134983,699495;161214,071046;153148,231796;134000,060562;122983,304507;133803,332775;137278,857005;165673,234216;141672,444238;161214,071046;128294,954751;165673,234216;160427,159899;133672,180917;152820,352152;157082,787528;133475,453131;158591,033892;146328,335195;132885,269773;116360,135692;130655,688191;136885,401432;137278,857005;166197,841647;124688,278665;157476,2431;120819,298854;128950,71404;113933,826324;112819,035534;162656,74149;121540,634071;140426,50159;121212,754427;120229,115494
06/01/2014 00:00;154717,8383;133077,781769;148488,125059;143110,898893;130126,86497;132749,902124;112749,243816;148947,15656;117208,406978;117798,590346;115896,888401;127962,859319;113208,275317;109339,295515;144750,297114;139766,526521;135897,54671;135372,939279;107699,897293;125339,822164;135700,818923;171898,731668;127175,948172;136487,730079;107372,01765;147701,213913;152553,832648;129339,953825;137536,94494;138455,007944;109995,054804;149996,371422;131241,655761;123110,240583;106912,986147;123765,999872;127241,524101;111503,301168;143504,354465;113142,699389;140946,89324;111372,14931;119241,260781;101470,184053;94060,1040832;131110,503903;96486,4134514;114716,521681;100158,665476;105732,619428
07/01/2014 00:00;145836,009238;129310,875157;151606,690976;152262,450265;115539,930099;134688,101333;107998,698271;141114,54236;110621,735425;126294,38243;115343,202312;127802,628794;105965,844477;109244,640919;137835,745918;141573,573862;145639,281451;135540,588407;102359,168391;120917,156265;135475,012479;179279,732971;125638,623141;128261,660296;95539,2717804;142557,212795;146360,616669;123015,585987;139278,416352;131278,153024;86030,7620967;141376,846076;114556,291157;122294,250771;116261,265316;124130,376779;120851,580336;102424,74432;132786,399388;116457,993102;133245,430889;107933,122343;112654,58922;95735,9995673;92391,6271956;113048,044794;100260,738667;103211,655465;106031,420406;102228,016533
08/01/2014 00:00;157851,977579;150048,442037;169655,644774;176213,237668;146245,038164;143097,393579;140998,963856;149982,866108;126900,139143;150179,593895;137523,439626;143097,393579;134900,402472;132015,061594;152933,782916;168344,126197;168540,853983;173459,048656;147425,404883;131031,422661;150835,353183;199164,812775;150704,201326;168409,702126;122309,824123;151818,992125;160475,014734;129195,296653;148540,195674;128736,26515;110047,125419;156737,186789;121129,457404;144540,064014;132933,124606;136867,680338;148212,31603;122900,007483;151884,568053;135162,706187;141982,602788;137982,471128;134834,826543;110178,277277;116867,022028;132801,972748;106374,873403;115621,07938;127096,866929;129326,448511
09/01/2014 00:00;165943,871878;147976,067365;167124,238599;164370,049578;165681,568155;143385,752336;141418,474471;149943,34523;132041,116644;153353,293531;139582,348461;139779,076248;149418,737799;143385,752336;157746,880764;153025,413886;165288,112582;179780,392867;150074,497087;138926,589173;145353,030201;199059,715959;144828,42277;179124,633579;134795,305656;151713,895308;151058,13602;133024,755576;142861,144905;131582,085142;122007,99952;161222,404993;128959,047987;140565,987395;138598,709529;135713,368659;147189,156218;129680,383205;148435,098866;138861,013244;139910,228107;133549,363007;137942,950241;113024,097267;122007,99952;137615,070596;120893,20873;119712,84201;126270,434896;124827,764462
