TimeZone;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1
DateTime;Test case 00;Test case 01;Test case 02;Test case 03;Test case 04;Test case 05;Test case 06;Test case 07;Test case 08;Test case 09;Test case 10;Test case 11;Test case 12;Test case 13;Test case 14;Test case 15;Test case 16;Test case 17;Test case 18;Test case 19;Test case 20;Test case 21;Test case 22;Test case 23;Test case 24;Test case 25;Test case 26;Test case 27;Test case 28;Test case 29;Test case 30;Test case 31;Test case 32;Test case 33;Test case 34;Test case 35;Test case 36;Test case 37;Test case 38;Test case 39;Test case 40;Test case 41;Test case 42;Test case 43;Test case 44;Test case 45;Test case 46;Test case 47;Test case 48;Test case 49
01/01/2014 00:00;3616,89179789;3306,88026305;3877,73850737;3528,12197251;4399,43192632;5201,09171476;6188,48528064;4829,62415054;3730,24403129;4283,34831426;3406,5756031;3937,82884741;3334,19405905;4378,9465863;3969,23971141;6277,25510602;4041,62125546;3331,46267108;3493,97973914;3597,7721472;3054,22768959;4197,30986755;4777,72794653;4948,43914128;3614,16041922;3773,94609931;4307,93073159;3502,17387515;4033,42711945;5013,99223866;3365,60491376;3298,68612704;6121,56649393;6040,99081386;3738,4381673;4107,17436214;4217,79521688;3607,33197255;4810,50449055;4697,15225715;3888,66402205;3420,23249646;3742,53524461;2893,07632016;3879,10419671;4017,03884743;4298,37089694;3738,4381673;3814,91678866;3309,61164173
02/01/2014 00:00;3504,61199897;3421,30493093;3613,86716436;3571,53078568;4418,25832215;5412,48034402;5129,78259588;4643,59710893;3695,80853375;4250,27850605;3739,51060178;3537,388543;3716,29388308;4085,03006863;3387,16268825;6382,11994855;4165,605758;3600,2102617;3828,28042714;3701,27129109;3165,92097879;4388,21315679;4991,84795445;5794,87342291;3045,74029872;4254,37557406;4131,46351531;3684,88301907;3127,68166811;5473,93637339;3564,70233901;3680,78595107;5326,44189732;4705,0531383;3527,82871765;4258,47264206;4033,1338646;4024,93972859;4683,20210895;5193,97001322;4369,09349679;3495,05216431;3678,0545724;2978,82150269;4378,65333144;4608,08917691;4640,86573026;4221,59903003;3540,11992167;3347,55768824
03/01/2014 00:00;3786,44824871;3588,42325793;3536,5270539;3675,82739398;4360,03787169;5580,96436036;4228,93167694;5127,55541745;3925,74858878;3734,55204467;4286,29063831;3106,33483899;4235,76012361;4342,28391034;3361,71879113;6871,5410144;4099,19116221;3868,38962741;4181,13254092;3436,83171385;3222,41845106;4754,7221639;4267,17097831;5322,84902955;2699,35934277;3358,98741246;4297,21615298;3375,37568448;2785,39778017;5321,48334021;3723,62653;3953,06237547;4792,96147458;4934,99318401;3368,5472378;4168,84132759;3643,05084064;3748,20893802;6184,59915802;4921,33629067;4630,44440651;3408,15222851;3630,75963662;3145,93982969;4633,17578518;4197,52081293;5494,92591365;4411,93407572;3156,86535368;3302,99413112
04/01/2014 00:00;3664,36958155;3776,35612562;4213,37679652;3861,028883;4530,21677803;4967,23744893;4049,49404842;4864,8107302;3994,86646573;3587,89096951;4079,53921379;3145,40754127;4848,42244887;4791,0634875;3646,61562021;6698,93184187;4302,1466219;4138,2638738;3585,15959083;3596,08510551;3322,94719202;5609,11154795;3766,79630027;6108,95393755;2884,56083179;3478,63580411;5009,57382761;3369,3806294;3029,3239292;5042,35037165;3892,43974701;4808,81745817;4599,86695271;5053,27588632;3182,28116262;3721,72854292;3309,29028936;3518,24079481;4868,90779821;5598,18603328;5065,56709965;3518,24079481;3749,04233893;3243,73719199;5230,81553708;5110,634857;4964,50607025;4177,86886451;3212,32632798;3325,67857069
05/01/2014 00:00;3448,5766924;3669,81840186;4780,12403579;3918,37390733;4523,37439433;5404,24417348;4001,68097536;4280,2816462;3895,15718864;3190,46136159;3540,07789645;3250,55170163;4984,97747325;4164,19803412;4252,9678595;5543,54451354;4677,69731708;4366,3200929;4001,68097536;3150,85636158;3273,76842963;6035,19276714;3785,90202325;6281,01689394;2806,70259337;3284,69394431;4694,0855984;3073,01206018;3123,54257488;4489,23216096;3378,92652703;5064,18747328;4214,72854883;4227,01975284;3126,27395356;2909,12931209;3246,45463363;3291,52239098;3481,35324574;5936,86311643;4339,00630621;3021,11585616;3956,61321801;2705,64156399;5036,87367727;5382,39314412;4390,90251023;3876,03752864;3066,18361351;3317,47049765
06/01/2014 00:00;3490,23190687;3669,13723764;4521,32754077;3904,03584977;4761,68891024;5067,60337706;3505,25448955;4720,71822088;4211,31600594;2913,91090521;3640,45776162;2465,96471965;4723,44959955;3815,26602439;3757,90706302;4860,01856095;4078,84411254;4433,92340473;5211,00078514;2982,19538126;3234,84795473;5471,84749462;4204,48755926;5754,54523345;2879,76866254;3169,29485735;3654,11465496;3105,10744;3234,84795473;3804,34050971;3141,98106135;4664,72494885;3827,5572284;4433,92340473;2968,53848791;2614,82488506;3327,71484811;3098,27899333;3286,74415875;6463,3381285;4143,03152989;2796,4615945;4095,23239387;2683,1093611;4367,00461801;4683,84459953;4431,19202606;4517,23047276;3027,26313861;3506,62017889
07/01/2014 00:00;3993,76228424;4109,8458963;4987,9842968;4557,79208188;5517,87186107;4855,5124127;4336,55036311;5435,93048236;4134,42830433;3234,43887449;4255,97468305;3147,03473846;5523,33461841;3308,18610787;3823,05108015;4649,29328592;3879,04435219;5124,55325819;5475,53548238;2533,84011545;3100,60129175;5599,81323046;4090,72624563;6811,17989378;2727,76803822;3230,34180649;3328,67145721;2953,10681568;3257,65559319;3073,28750507;3185,27404913;4137,15968301;4295,57968307;4377,52105246;3078,7502624;2647,19234885;3354,61955456;2927,15871832;3608,63781737;6476,58594161;4428,05156715;2737,32786356;4342,01312044;2771,47010624;4023,8074496;4186,32450837;4286,01984841;3685,11643874;3362,81369057;3787,54315746
08/01/2014 00:00;4096,24883816;4071,66643014;4604,28536378;5079,54534535;6222,62752332;5195,62895742;4683,4953638;4815,9672572;4208,23539153;3439,35215645;4288,81107159;4204,13832353;3562,2642152;3864,08161402;3549,97301118;3835,40212868;4477,27623702;5065,88844268;5590,31324963;3245,42423369;3589,57801119;6281,35217402;4594,72553843;6151,6116686;3248,15561235;3686,54196327;3795,79713798;3297,32043771;3183,96820431;3559,53283652;3416,13542845;4346,17003296;4613,84519842;4003,38195409;3257,71543769;3887,29833271;3417,50111778;3584,11524455;3599,13783654;5674,98599769;5125,97879204;2580,33340665;4600,18829577;3081,54148558;4034,79280878;4795,48190787;4488,2017517;3524,02490451;3517,19645783;4277,88555692
09/01/2014 00:00;4281,68937006;4255,7412634;4556,19297289;5391,99500399;6256,47650183;5572,26602411;4934,48899308;3992,16317525;4217,50196202;3712,19681508;4829,33089568;4511,12521553;3142,70425079;4210,67350603;3605,67302835;3626,15836838;4907,17519707;4597,16366225;4821,13675037;3339,36355223;3643,91232973;5232,2093146;4739,19538098;6057,08583103;3463,64130961;3443,15596028;3436,32751361;3182,30925081;3135,87580412;3407,64803758;3516,90320299;4034,49955393;4517,95366221;4766,50916767;3598,84457237;4039,96231127;3411,74510559;3555,14251366;3447,25302828;4476,98298217;5568,1689561;2936,48512401;4141,02334066;2952,87340534;3514,17182431;3646,64370839;4714,61296365;3378,96855224;3526,46302832;4188,82247668
