TimeZone;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1
DateTime;Test case 00;Test case 01;Test case 02;Test case 03;Test case 04;Test case 05;Test case 06;Test case 07;Test case 08;Test case 09;Test case 10;Test case 11;Test case 12;Test case 13;Test case 14;Test case 15;Test case 16;Test case 17;Test case 18;Test case 19;Test case 20;Test case 21;Test case 22;Test case 23;Test case 24;Test case 25;Test case 26;Test case 27;Test case 28;Test case 29;Test case 30;Test case 31;Test case 32;Test case 33;Test case 34;Test case 35;Test case 36;Test case 37;Test case 38;Test case 39;Test case 40;Test case 41;Test case 42;Test case 43;Test case 44;Test case 45;Test case 46;Test case 47;Test case 48;Test case 49
01/01/2014 00:00;4404,46372607;4228,8467678;4103,63837947;4339,42040844;4316,65524692;4554,06335591;4534,55036132;4684,96303634;4572,76331224;4423,97672065;4481,70266619;4194,69902552;4495,52437214;4209,33376973;4117,46008542;4070,30367893;3938,59096022;4399,58547569;4127,2165827;4544,3068586;4404,46372607;4241,85542856;4079,2471345;4067,051512;4226,40764261;4363,81165344;4067,051512;4349,98994749;4484,95483309;4483,32874964;4105,26446292;4129,65570789;3928,02142118;4441,05059353;4328,85086942;4567,07202012;4455,68533774;4127,2165827;4166,24257191;4000,38211092;4280,06837948;4306,89874964;4267,87275698;4132,09482963;4530,48515613;4136,16003827;4273,5640491;4189,0077334;4183,31644476;4255,67713451
02/01/2014 00:00;4541,68187045;4445,74297402;4153,86108644;4549,81228427;4279,06947129;4535,99057835;4632,74251305;4988,85467998;4655,50767454;4576,64265447;4488,83417187;4327,85196126;4419,72564905;4384,76486503;4188,00882524;4175,81320622;4157,92629163;4478,26463282;4301,83463281;4661,19896669;4527,04712278;4559,56878158;4267,68689056;4141,66546394;4253,05214632;4515,66454202;4462,00380516;4470,94726073;4537,61666181;4598,59477424;4228,66090135;4602,65997943;4183,94362005;4640,87293036;4254,67822632;4413,22131519;4599,4078125;4244,92172904;4253,86518806;4044,10048403;4336,79541683;4422,16477075;4390,4561537;4330,29108645;4456,31251303;4259,5564767;4421,35172905;4333,5432499;4291,26509379;4409,15611003
03/01/2014 00:00;4408,67387575;4682,66885564;4192,40484483;4624,12986839;4342,81751638;4544,4518031;4308,6697741;4829,82936028;4747,71217328;4609,49512073;4399,73042018;4487,5388993;4452,57811531;4566,40392288;4093,21378492;4194,84397002;4410,2999592;4607,86903725;4298,10023509;4681,0427722;4450,95203531;4589,1690844;4414,36516784;4546,07788655;4198,90917518;4585,10387576;4497,29539661;4529,81705541;4533,88226408;4685,10797738;4115,97894644;4712,7513893;4184,27443097;4788,36424594;4079,39207897;4345,25664157;4649,3341551;4340,37839119;4300,53936027;4126,54848546;4432,25207898;4547,70397003;4497,29539661;4449,32595186;4475,34327683;4401,35650363;4415,17820958;4573,72129845;4412,73908439;4460,70853262
04/01/2014 00:00;4362,9170555;4769,43779237;4418,20387582;4523,08622437;4369,42138589;4617,39903735;4125,50894306;4868,62885228;4677,56410462;4507,63843842;4318,1997742;4454,79073984;4285,67811193;4559,67309184;4185,67401031;4399,50391949;4458,85594848;4700,32926611;4076,72645312;4674,31194116;4560,48613355;4511,70364361;4506,82539671;4505,19931323;4275,1085729;4621,46424254;4525,52534956;4495,44281595;4584,87737855;4686,50756018;4377,55179971;4621,46424254;4075,91341138;4724,7205111;4033,63525527;4387,30829702;4632,8468233;4175,917513;4375,92571626;4271,85640946;4428,77341484;4556,42092491;4601,13820621;4383,24309183;4509,26451842;4546,66442763;4344,21709917;4495,44281595;4357,22576338;4436,09078696
05/01/2014 00:00;4298,39111201;4757,75954404;4301,64327546;4278,0650722;4378,88221556;4541,4905131;4068,30037165;4251,23470552;4387,82567461;4452,05595049;4023,58309035;4271,56074185;4107,32636431;4473,19502854;4194,32180172;4432,54295591;4339,04318464;4500,83843698;3931,70940605;4558,56438249;4529,29489059;4277,25203049;4387,82567461;4403,27346056;4039,03087979;4443,92553319;4330,91277081;4356,93009578;4482,95152585;4334,977976;4330,09972907;4269,12161663;4043,90912668;4732,55526075;4088,62640798;4263,43032799;4581,32954401;4043,09608843;4260,17816109;4319,53019005;4387,01263287;4497,58627354;4465,87765645;4220,33913017;4221,15217188;4588,6469161;4330,91277081;4202,45221555;4218,71304669;4316,27802315
06/01/2014 00:00;3591,11269445;3800,87739503;3500,0520484;3646,3995148;3486,23034245;3624,44739502;3339,06983435;3603,30831695;3502,49117359;3681,36029879;3182,96587067;3517,93895954;3360,20891238;3786,24264733;3426,8783135;3591,11269445;3551,27366008;3601,6822335;3164,26591779;3639,89518094;3575,66490505;3636,64301749;3670,79075977;3595,17789964;3502,49117359;3510,62158742;3414,68269445;3455,3347671;3619,56914464;3471,59559479;3673,22988148;3361,83499587;3243,94398311;3910,63799392;3310,61338419;3290,28734786;3661,03425901;3442,32610289;3548,83453489;3568,34753296;3635,82997575;3617,94306116;3633,39085056;3441,51306115;3200,85278526;3807,38172538;3677,29509015;3186,21803757;3374,03061833;3524,44329337
07/01/2014 00:00;3399,36245467;3287,16273055;3257,08019694;3479,8535617;3059,51111888;3277,40623327;2996,09388125;3319,68438938;3092,03277769;3288,78881403;2791,20743108;3246,51065793;3035,1198739;3222,11941292;3049,75462158;3047,31549639;3191,22383757;3215,61508254;2860,31595735;3179,84125681;2952,18964168;3478,22747825;3223,7454964;3285,5366471;3216,42812428;3167,64563435;3102,60231672;2960,32005898;3142,44134763;3155,45001185;3280,65840017;3122,92835304;2905,03323865;3521,31867606;2921,29406633;3010,72862893;3336,75826223;3264,39756903;3290,41489748;3239,1932858;3241,63240751;3253,01498827;3260,33236384;3111,54577228;2983,08522049;3611,56628041;3453,02319154;2855,43770697;3078,21107174;3238,38024406
08/01/2014 00:00;4598,78063721;4432,92017623;4259,74234315;4480,88962445;4263,80755179;4528,04603094;3964,60828519;4365,4377334;4147,54261903;4391,45506186;3964,60828519;4468,69400195;4213,3989784;4202,82943935;4189,0077334;4111,7687933;4271,93796562;4254,05105103;4094,6949239;4326,41174423;4075,18192583;4672,76741385;4223,15547568;4475,19833581;4317,46828866;4186,56860821;4285,75967157;4078,43409276;4071,11672064;4371,12902553;4300,39441581;4342,67257192;3954,85178788;4467,0679185;4083,31234314;4097,13404561;4473,57225233;4447,55492391;4427,22888758;4311,77699654;4158,11215805;4429,66801278;4358,12036132;4176,81211093;4192,25990033;4827,24529407;4732,93248112;4031,27768627;4297,95529062;4389,01593666
09/01/2014 00:00;4574,20352927;4517,29062548;4417,28652386;4645,75117726;4357,12145316;4496,96458915;4173,37408103;4330,29108645;4326,22587778;4604,28606288;4049,79177615;4574,20352927;4384,76486503;4425,41693769;4324,59979433;4326,22587778;4381,51269813;4372,56924256;4171,74799758;4401,83873446;4483,1428832;4866,89845858;4319,72154743;4368,50403389;4344,11278892;4413,22131519;4357,12145316;4133,53504663;4385,57790677;4533,55145317;4251,42606287;4498,59067263;4209,96094502;4291,26509379;4257,11735151;4236,79131518;4587,21219349;4494,52546395;4413,22131519;4621,35993577;4009,13970353;4578,26873446;4522,1688724;4313,21721357;4209,14790676;4853,88979783;4897,79403738;4309,15200838;4476,63855282;4494,52546395
10/01/2014 00:00;4483,47369411;4581,03867057;4290,78286296;4751,77738189;4442,821618;4385,90871423;4290,78286296;4334,68710255;4403,79562882;4777,7947069;4029,79654729;4538,76051446;4495,66931661;4629,82115706;4459,08244914;4475,34327683;4514,36926946;4637,95157432;4143,62235486;4491,60410797;4685,10797738;4773,72950171;4433,06512072;4489,16498278;4542,01267791;4444,44770148;4522,49968332;4010,2835527;4529,81705541;4581,03867057;4457,45636569;4471,27807164;4433,06512072;4243,62645648;4154,19189388;4550,95613693;4655,83848549;4233,8699592;4469,65198816;4778,60774862;4049,30954536;4633,07332395;4598,11253997;4420,05645648;4240,37428958;4872,92056157;5009,51152721;4459,89549088;4529,00401715;4313,54802448
