TimeZone;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1
DateTime;Test case 00;Test case 01;Test case 02;Test case 03;Test case 04;Test case 05;Test case 06;Test case 07;Test case 08;Test case 09;Test case 10;Test case 11;Test case 12;Test case 13;Test case 14;Test case 15;Test case 16;Test case 17;Test case 18;Test case 19;Test case 20;Test case 21;Test case 22;Test case 23;Test case 24;Test case 25;Test case 26;Test case 27;Test case 28;Test case 29;Test case 30;Test case 31;Test case 32;Test case 33;Test case 34;Test case 35;Test case 36;Test case 37;Test case 38;Test case 39;Test case 40;Test case 41;Test case 42;Test case 43;Test case 44;Test case 45;Test case 46;Test case 47;Test case 48;Test case 49
01/01/2014 00:00;8006,7093422;8351,42282844;7253,64295547;7378,27014065;6362,69117854;9526,10032595;7094,54442538;7555,93016743;6272,53534359;6768,39243583;6495,27328782;7935,1150039;7855,5657362;7669,95078002;7431,30298226;6124,04338075;7730,93855103;7563,88509687;4718,67301488;7590,40151765;6344,12968182;8590,07062623;7465,77433248;5848,2725896;6688,84316814;6972,5688834;7855,5657362;5980,85469889;8298,38998683;9181,3868397;6484,66672052;6503,22821191;7147,577267;8510,52135853;5575,15344161;8059,74218374;8208,23415191;7518,80717933;8722,65273554;8192,32429838;6662,32674731;6839,98677409;5593,71493828;5858,87915685;8749,16915632;8579,46405898;4416,38580292;8818,11185677;6839,98677409;7386,22506478
02/01/2014 00:00;8441,42484362;7248,18585473;6903,47236847;7574,33784433;6983,02163616;10191,5086958;8096,71135736;8316,79766376;6479,20961448;6638,30814987;6903,47236847;7653,88711203;6176,92240259;6998,93148969;7714,87488303;9952,86089798;8006,55552243;7168,63658703;5938,27460478;7158,03001978;5850,77041297;9173,27809047;7131,513599;5816,29906805;6654,21800345;7627,3706912;7873,97341312;6725,81234171;7919,0513306;9279,34377902;7078,48075208;7282,65720496;7176,59151648;7953,52268082;5593,56111851;7104,99717287;7980,03910158;6495,11946805;8112,62121089;7211,06286139;7078,48075208;6301,54958774;6036,38536917;6479,20961448;8714,54399161;8563,40038568;5691,67188288;8547,49053215;6107,97970745;7044,00940717
03/01/2014 00:00;8099,1690416;6542,65506977;6807,81929362;7505,20119027;8099,1690416;9334,8343101;7929,46394428;8390,84968625;6587,73298724;6905,9300527;6648,72075825;7796,88183497;5489,95311956;6966,91782371;7171,09427127;9857,20782313;8311,30041855;6179,38009207;6455,15087793;7099,49993302;5349,41608085;9387,86715171;5924,82244077;7770,36540888;5569,50238195;8284,78399777;7876,43109736;6603,64284077;7497,2462662;9220,81369218;6948,35632702;7841,95975244;7887,03766992;7383,22564828;5542,98596114;7091,54500888;7948,02543559;5675,56807043;9716,67078445;5357,37100496;7974,54186175;6577,12641999;6709,70852923;6622,20433747;8894,66170263;8894,66170263;7611,26687879;7955,98036506;5967,24871511;6577,12641999
04/01/2014 00:00;8582,8981736;7222,60571992;6904,40865977;8238,18468734;8291,21752895;8423,79963821;6692,27728276;8370,76679664;6161,94884027;7257,07707014;6427,11306419;7798,01207982;6859,33074229;7469,20844708;6885,84716305;8813,59104197;9211,33737516;5809,28042991;5862,3132715;6260,05960466;5729,73116221;9431,42367623;5499,03829387;8609,41459443;5623,66547371;8283,26260481;8423,79963821;6021,41180689;7559,36428203;9203,38244571;5915,34611839;7665,42997056;8010,14345682;6869,93730954;5994,89538078;7135,10152809;7858,99985087;5923,3010425;10396,6214399;5597,14905293;8495,39398182;6355,51872058;6745,31012437;6506,66232658;9404,90725547;9139,74303155;7612,39712364;8256,74617872;5790,71893322;5843,75178014
05/01/2014 00:00;8892,69620239;7593,39151964;8325,24477181;8839,66335547;7805,52289664;9377,94672202;5472,07776042;7832,03932273;6275,5253456;7423,68642232;6771,38243784;7017,985165;7389,2150721;7885,07216434;7725,97363428;9484,01241048;9041,18816515;7195,64519178;5896,34051441;6063,3939739;7071,01800661;9298,39745963;7460,80941033;8044,17069443;5851,26259694;8669,95825813;9173,77027446;6108,47189137;6850,93170554;9969,2629355;5877,77901772;7707,41213756;8601,01555768;7010,03023563;6010,361127;6919,87440068;7847,94917095;6249,00892482;9457,49598972;6699,78809954;8722,99109969;6256,96385421;6593,72241106;6283,48027504;8776,02394661;9253,31954216;7389,2150721;8722,99109969;5631,17629051;5673,60257018
06/01/2014 00:00;9292,10235674;7242,38293576;8875,79453219;7311,3256309;6648,41507917;9398,16804522;6163,16455948;8504,56461979;6295,74666879;7348,44861898;6913,57930305;5791,9346471;6065,05379509;7603,00627027;8541,68761318;10254,6484719;7939,76483245;7878,7770614;5367,67189845;5826,40599733;7223,82143911;10212,2221976;6958,6572205;7374,96504507;5147,58559204;8064,39201762;10069,0335211;6144,60306277;6171,11948362;10299,7263894;5579,80327543;7984,84274993;8106,81829194;7046,16141233;5553,28684932;6022,62752078;7587,09642207;4977,8804947;8700,78614327;8011,35917071;9133,00382134;6356,73443977;6852,59153204;6075,66036239;7205,25994242;9353,09012774;6348,77951033;7488,98565768;6102,17678848;6780,99718841
07/01/2014 00:00;8972,74015107;7813,9725124;8715,53086192;7453,34917263;6745,36070338;9670,12205302;6790,43862085;7851,09550048;6082,45015165;7461,30409672;7275,68914585;5817,28593306;7230,61122837;7230,61122837;8018,14895997;9927,3313475;8026,10388941;8169,29256597;8185,2024195;5782,81458283;7124,54553984;10219,0119869;7222,65629893;7593,886206;4571,01409725;7442,74260533;9760,27788802;5782,81458283;6037,37223415;8381,4239429;4499,41975899;7851,09550048;6896,50430931;7400,31632571;6047,97880673;6249,50361111;7540,85336442;4234,25554042;7920,03820088;7055,6028394;8760,60877937;6090,40508104;7230,61122837;5676,74889435;6957,49208038;8662,49801505;5904,79012487;6222,98719035;6408,60214651;7090,07418962
08/01/2014 00:00;9393,5182114;8234,75057274;8624,54197645;7996,10277495;9154,87041362;9730,27677351;8173,76280166;8147,2463809;6283,14191084;7590,40151765;7518,80717933;6954,00738668;8226,79564327;7669,95078002;8491,95986715;9862,85888282;8446,88194967;9252,98117796;9234,41968131;6264,58041412;7616,91793841;10859,8763483;7661,99585589;9809,82604121;6238,06399337;7245,68803139;10207,5723691;5424,00983564;6113,43680819;8014,66426629;4814,1321308;7980,19292137;7014,99515769;7927,1600745;5805,84631527;6185,03115176;8173,76280166;4726,62793899;7457,81940835;8590,07062623;8995,77188353;5999,41619558;7935,1150039;5522,1206;7272,20445217;8934,78411247;5726,29704757;6060,40396658;7139,62234286;8261,26699349
09/01/2014 00:00;9093,7288281;6725,81234171;8581,9618823;9104,3353954;9899,82805644;9324,42169647;8502,4126146;8794,09325931;5975,39759814;7778,5142972;7714,87488303;7494,78857663;7767,90772464;8096,71135736;8653,55622063;8688,02757085;8642,94965338;10013,8486691;8661,51115;6797,40667994;7203,10793726;10517,6606907;7751,99787111;9093,7288281;6797,40667994;6680,73442423;10464,6278438;5142,78194374;6248,51674613;7468,2721558;5426,50766431;7990,6456689;6407,61527622;7555,77634764;6070,85671937;6770,89025918;8547,49053215;6017,82387248;7370,16139679;8396,34692615;7964,12924807;6054,94686584;8308,84273436;5320,44197583;7741,39130381;9517,99157678;4373,80570882;5280,66733931;6858,39445101;8290,28123767
