TimeZone;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1
DateTime;Test case 00;Test case 01;Test case 02;Test case 03;Test case 04;Test case 05;Test case 06;Test case 07;Test case 08;Test case 09;Test case 10;Test case 11;Test case 12;Test case 13;Test case 14;Test case 15;Test case 16;Test case 17;Test case 18;Test case 19;Test case 20;Test case 21;Test case 22;Test case 23;Test case 24;Test case 25;Test case 26;Test case 27;Test case 28;Test case 29;Test case 30;Test case 31;Test case 32;Test case 33;Test case 34;Test case 35;Test case 36;Test case 37;Test case 38;Test case 39;Test case 40;Test case 41;Test case 42;Test case 43;Test case 44;Test case 45;Test case 46;Test case 47;Test case 48;Test case 49
01/01/2014 00:00;2309,14172963;2093,62431091;1919,97492627;1904,87498386;2187,65579606;2828,03079453;2210,99207581;2372,97332058;2020,87002588;2141,6695933;2016,06550045;1952,92026626;1920,66129242;1773,0936333;2037,34269116;2020,87002588;2262,46917013;2081,95617104;1604,24878348;2090,19250838;1670,13945406;2502,6955821;2215,79660123;1736,03012464;1794,37083342;1982,43379432;2134,1196221;1744,26646198;2046,95175141;2353,7552095;1779,27088162;1863,69331592;2005,77008347;2408,66409695;1622,78052841;1954,97934589;2235,0147217;2127,25600764;2265,21460652;1937,13395771;1882,22506086;1899,38409229;1887,71595242;1478,64468123;2151,27865354;2101,17428211;1604,24878348;2094,31067705;1823,88436148;1838,29794714
02/01/2014 00:00;2320,14505718;1893,91475454;1825,27863818;1913,81923176;2385,34937101;2472,5172511;2315,34053175;2584,39412444;2005,10527113;2009,90979655;1997,55529993;1930,29190647;1764,19249302;1793,01966434;1922,05556911;2670,18927224;2338,67681151;2027,75519414;1770,36974133;1915,19195465;1650,25653065;2598,12134396;2071,68230786;1832,82860938;1747,71982773;1948,13729464;2160,22290145;1901,46473515;1797,82418975;2563,80329047;1952,25546332;2089,52769604;1970,78720825;2284,45428081;1495,82526649;1846,5558383;2083,35044774;1800,56963554;2119,04123351;1570,63863115;2053,83691967;1761,44704724;1895,97384358;1799,8832788;2183,5591812;2173,26376421;1871,95119768;2109,43217328;1594,66127705;1808,80597288
03/01/2014 00:00;2288,14591342;2026,64229193;1949,08348147;2183,13264514;2706,13987871;2275,10505065;2209,21437067;2566,80855693;2001,93328929;1903,09727872;1948,39712474;1955,94709593;1768,57048238;1883,1928109;1705,42525758;2732,22160424;2397,96370712;1684,14805747;1791,22040538;1967,61523581;1458,33522175;2645,05373354;1938,10169835;2078,11938625;1570,89846124;2119,30105419;2119,98742034;1616,884664;1835,83388525;2446,00898951;1940,84714413;2126,16466865;2017,71959784;2112,43744913;1526,28498138;1791,22040538;2056,15582939;1658,75269808;2307,3640245;1559,91668751;2196,85987404;1930,55172715;1900,35183294;1901,72455583;2162,54181116;2321,09125341;2183,13264514;2293,63680498;1618,94374363;1717,7797542
04/01/2014 00:00;2389,97290271;2147,6874017;2085,22853366;2489,49527943;2526,55877869;2162,10098736;1963,05623394;2611,66756975;1968,5471255;1995,31521718;1912,9518719;1993,25612814;1910,20642612;1978,15618575;1860,1020547;2473,70897088;2565,681367;1829,21580373;1697,43445318;1813,42949519;1932,16998298;2582,84039843;1959,62443141;2300,05958624;1721,45709908;2156,6100958;2195,7326841;1518,29418637;1914,32459479;2417,42735113;1609,58022574;2213,57807229;2178,57365266;1978,15618575;1592,4211943;1793,52501796;2178,57365266;1650,76189368;2510,08611339;1582,81213405;2344,6730661;1809,99769266;1958,93807466;1752,34335002;2114,74206172;2456,54993944;2215,63716132;2361,14573139;1677,52997595;1720,08437619
05/01/2014 00:00;2418,18838952;2292,58428728;2206,10277333;2421,62019206;2401,71571483;2182,76649358;1511,50524416;2395,53846653;1984,4081063;1919,20379246;1847,82223032;1878,70848127;1947,34460703;1967,935441;2241,10719295;2548,59701719;2042,06244893;1995,38988943;1691,33187712;1803,8951166;2104,52131698;2670,08294137;2254,14805572;1983,72174954;1547,19602993;2125,11215094;2228,06633019;1783,30428263;1751,73166553;2445,64283795;1602,10492678;2174,53015623;2196,49372249;1869,78578717;1552,6869215;1725,64993999;2048,23969724;1572,59138932;2171,0983537;1917,14471282;2189,63010803;1770,94977661;1905,47657295;1708,49090855;1886,94481862;2319,35236956;2037,94428025;2239,73447006;1695,45004579;1402,37381661
06/01/2014 00:00;2242,4495826;2112,72732107;2273,33583355;2136,74995757;1853,28278863;2134,69087794;1770,23307721;2232,84053176;1862,20548272;1853,28278863;1753,76041191;1586,97464173;1774,35124588;1700,9106041;2077,0365353;2420,21713592;1883,48268284;2141,55449239;1435,97518009;1562,26563909;2113,41367782;2930,86986345;2026,24580712;1847,10553092;1168,98067644;1842,30100551;2176,55891202;1724,9332406;1577,36558149;2132,6317889;1232,81226739;1982,31869341;1934,95976776;1769,54672046;1424,30704021;1561,57928235;1937,70521354;1079,06735997;1940,45065932;1979,57324763;2078,40925819;1600,70186124;1729,05140927;1478,52957092;1593,83825618;2138,80904661;1842,98737164;1765,42855179;1580,11102727;1515,59307959
07/01/2014 00:00;2351,14787541;2114,35325657;2159,65309318;2287,31628447;2065,62161743;2192,59843317;1975,70830096;2303,78894977;1925,60392953;1878,93137002;1798,62710439;1638,01859191;1850,1041987;1761,56360512;1876,87228098;2488,42010814;1988,74916373;2313,39801;2204,26657305;1658,60942588;2121,21687103;3023,09548158;2025,12630624;2114,35325657;1430,05114439;1818,53158161;2264,66636146;1546,73255255;1633,21405709;1834,31789016;1175,41114676;2050,52166563;1811,66796715;1888,54042086;1546,73255255;1587,22786374;1964,72651782;1062,16154113;1927,66300916;2210,44383076;1952,37202121;1614,68231216;1775,97719078;1441,03292752;1627,03680878;2045,71714021;1827,4542757;1364,84683055;1745,09093983;1725,87281936
08/01/2014 00:00;2333,85073227;2034,59724538;2469,06388536;2561,72264762;2590,54981894;2313,25989831;2390,81870876;2241,87832676;2000,27919191;2014,69277756;1952,92026626;1870,55692098;1972,82474348;2042,14722599;2081,26981429;2320,12350337;2159,51499089;2534,2681992;2499,26377957;1861,6342269;2080,58344814;3065,51177011;2222,66021569;2662,61774723;1880,85233797;1887,71595242;2376,40512311;1657,09859129;1699,65298213;1836,2388675;1392,16316728;2282,37363796;1852,02516665;2046,95175141;1673,57125659;1749,75735355;2108,03789657;1508,15820929;2133,43326536;2481,41839139;1990,67013167;1677,00306852;2026,36091744;1639,93955985;1847,22064123;2324,92803819;1960,47023746;1440,89481582;1841,72974966;1838,29794714
09/01/2014 00:00;2435,45374244;1979,0235456;2463,59454761;2575,47143035;2729,90269452;2303,67239188;2291,31789526;2291,31789526;2009,90979655;2099,82311303;1947,45092851;2137,57298783;1919,99648008;2084,72317063;2242,58624672;1880,18753503;2227,48630432;2677,0528867;2278,96338923;2024,32338221;2108,74581652;2819,12965425;2153,35928699;2342,79498018;1974,21902018;1810,86505253;2235,03627552;1635,15658824;1524,6524378;1870,57847479;1499,94343516;2329,06776067;1759,3879676;2013,34160848;1751,15163025;1874,01028672;2101,19583592;1720,2653793;2095,01858761;2469,77180532;1898,03292322;1733,30624206;2261,80435779;1515,7297437;1858,91033491;2456,73094255;1895,28747744;1390,8119982;1817,72866698;1734,67896495
