TimeZone;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1
DateTime;Test case 00;Test case 01;Test case 02;Test case 03;Test case 04;Test case 05;Test case 06;Test case 07;Test case 08;Test case 09;Test case 10;Test case 11;Test case 12;Test case 13;Test case 14;Test case 15;Test case 16;Test case 17;Test case 18;Test case 19;Test case 20;Test case 21;Test case 22;Test case 23;Test case 24;Test case 25;Test case 26;Test case 27;Test case 28;Test case 29;Test case 30;Test case 31;Test case 32;Test case 33;Test case 34;Test case 35;Test case 36;Test case 37;Test case 38;Test case 39;Test case 40;Test case 41;Test case 42;Test case 43;Test case 44;Test case 45;Test case 46;Test case 47;Test case 48;Test case 49
01/01/2014 00:00;14111,0056765;12539,4151529;11524,0044008;11524,0044008;12962,9281893;17478,6996302;12666,9793208;16167,3400238;12621,0562184;10921,9015436;12233,2611571;12809,8511855;11891,3892029;12758,8255255;13677,2875128;16203,0579751;12590,4408248;11814,8507034;10717,7988822;12493,4920625;10386,1320504;15208,0574918;14580,4418034;10028,9523922;10360,6192144;11472,9787372;13345,6206811;10830,0553425;14381,4417091;16570,442782;10962,7220812;11304,5940378;12554,7228616;15932,6219544;11738,312205;13743,6208816;15845,8783193;14442,6725083;15233,5703277;15116,211299;12172,030358;10921,9015436;11013,7477436;10233,0550525;13335,4155539;15565,2371595;10028,9523922;13804,8516807;12529,2100257;12003,6456692
02/01/2014 00:00;12825,927665;12091,1580751;10504,2598654;12672,8506731;14560,8003197;16785,5193557;13749,4922219;17305,9811426;13239,2355623;11080,8498866;11682,9527522;12024,8247064;11514,5680527;10876,7472252;12764,6968778;16693,673151;13922,9794922;12519,7736692;10657,3368633;11963,5939072;10560,388095;15494,5700039;13596,41523;11106,3627226;10187,900734;14423,0310126;13239,2355623;11284,9525564;12866,7481978;18158,1097732;11606,4142538;12458,542882;13530,0818613;15392,5186719;9335,77211184;11779,9015109;15479,2623071;12305,4658781;13463,7484925;12473,8505669;13912,774353;10825,7215628;10560,388095;11642,1322146;14106,6718777;14305,6719839;12024,8247064;13795,4153243;10851,2343892;12764,6968778
03/01/2014 00:00;13741,3221995;11827,8597253;10542,0129358;13282,0911999;15491,5025511;14353,6301911;13853,5786706;16047,6823131;11725,808391;11205,3465993;10756,32074;11838,0648597;11378,833866;11021,6541983;11547,2185571;16813,0672966;14940,4253586;10669,5771061;11317,6030597;13118,8090688;9062,26861929;16088,5028339;12552,4241915;16813,0672966;9965,42291461;14047,4761953;13307,6040359;9761,32024479;14379,1430271;17491,7086569;11021,6541983;13011,6551792;14506,707183;13766,8350355;9251,06358753;11001,2439295;13705,6042363;11496,1928935;18757,1451728;10001,1408766;15246,5793544;11103,295265;11378,833866;10843,0643728;15282,2973176;16226,2721409;14292,399392;14557,732855;10133,8076141;11598,2442279
04/01/2014 00:00;15649,6567062;12093,1677856;12465,6551501;13828,0404283;16159,9133659;14848,5537476;12246,2447775;18369,324717;11159,3980907;11940,0907817;10496,0644355;12057,4498224;12868,7579082;12261,5524743;12220,7319534;17221,2472179;16721,1956975;10776,7055953;10496,0644355;11138,9878302;10919,5774588;17425,3498937;11797,2189182;15828,2465341;9781,70510962;14874,0665836;14720,9895917;10894,0646324;13649,4506004;16685,4777223;10638,936299;14399,5278871;14680,169047;11700,2701499;9465,34597945;11036,9364959;13623,9377645;10766,5004609;18456,0683402;10894,0646324;15858,8619397;10113,3719414;11899,2702525;10904,2697668;14593,4254238;15333,2975832;15547,6053743;15807,8362797;10220,5258345;10026,6283074
05/01/2014 00:00;15969,8296032;13188,9308052;15163,624075;13872,6747231;15036,0599071;16286,1887262;9321,18531556;17214,8558527;11300,9811538;12433,7509489;11454,0581517;10392,7243008;13734,905428;12561,3151049;14209,4441245;16832,163361;17342,4200206;12739,9049447;9576,31364776;11336,6991241;12127,5969531;17995,548545;14081,8799566;14143,1107557;8749,69785318;14347,2134196;15061,5727431;10658,0577686;11719,3916195;16990,3429225;10418,2371368;13464,4694074;16617,855558;12806,2383015;10433,54483;10632,5449326;12469,4689121;10096,7754394;15102,3932878;14484,9827147;16515,8042261;9907,98047116;11566,3146216;9872,26251035;13224,6487684;14510,4955507;13770,6234031;15638,1627715;10632,5449326;10300,8781009
06/01/2014 00:00;15881,5564503;12120,9648538;14442,6326641;13534,375804;13090,4525131;14197,7094675;11518,8619966;14978,4021478;11228,0157024;12110,7597146;12018,9135219;8957,37356042;11978,0929891;12391,4008864;13896,6580293;17402,12129;15590,7101513;14223,2222915;10064,630516;10692,2462092;12314,8623904;19698,2762644;13906,8631685;12110,7597146;8319,55273289;13396,6065089;15498,8639466;10743,2718727;10666,7333732;13641,5297055;8130,75776465;14008,9145004;16049,9411509;15039,6329589;10105,4510452;10998,400205;14299,7607994;9049,21976154;13702,7605046;15932,5821103;16840,8389704;9238,01472025;11268,8362304;9197,19419224;11493,3491606;15861,1461719;11901,5544907;12136,2725506;10095,2459108;11626,0158981
07/01/2014 00:00;16404,2459341;15444,9634139;14628,5527585;13965,219095;15868,4764504;15393,9377539;12179,3207922;15480,6813891;12010,9360916;12112,9874235;12908,9878125;9541,29385174;14057,0652997;12699,782591;12623,2440831;16424,6562124;14312,1936355;15368,424918;15062,2709222;10102,5761809;12153,8079563;21042,4789851;13235,5520747;17154,3232327;9255,55012473;13363,1162426;15837,8610448;9867,8581163;10316,8839756;12572,2184112;7678,85704106;13403,9367754;12383,4234561;14414,2449674;9745,39652156;10189,3198137;13776,4241399;8954,49869613;12240,5515914;15827,6559176;15470,4762499;10225,0377757;13648,859972;8709,57549712;11347,6024328;15623,5532538;12664,0646159;10776,1149693;11709,8846582;13847,8600663
08/01/2014 00:00;16126,5194791;14070,1851438;15626,4679586;14861,0829632;17886,9049698;16840,8788026;15106,0061598;14350,8263036;11575,0300727;12452,6715297;12748,6203983;12018,953366;12876,1845542;13335,4155539;14764,1342009;15131,5189958;13651,7746769;18050,1871009;17238,8790031;11508,6967076;12478,1843537;21775,0607222;14835,5701392;20223,8804769;10360,6192144;12911,9025293;16866,3916386;10146,3114198;12095,491862;12733,3126895;8472,66957615;13422,1591771;10947,4143796;14391,6468363;9248,25970119;11008,6451764;12988,4410253;9110,49039533;12718,0049927;17590,9561013;15131,5189958;10360,6192144;16075,4938191;9814,64458803;12197,5431939;16728,6223435;11687,2865331;10539,2090483;11023,9528779;14850,877836
09/01/2014 00:00;17178,4169866;12295,260739;16147,6985282;15938,4932948;19321,4949571;18122,39181;17499,8786792;15494,5700039;10978,7985607;12841,2353737;13795,4153243;14030,1333817;12213,6196734;15152,6980449;15606,826463;13963,8000249;14065,8513569;18698,9818264;17775,4172695;11887,0554136;13147,3893695;18974,5204286;15713,9803645;16770,2116589;11249,2345861;11820,7220485;15657,8521349;10381,7982611;11744,1835501;13172,9021935;9458,23370657;13621,928066;10723,6702273;14678,1593484;8963,28474255;11106,3627226;12953,4918329;10902,2600611;13820,9281602;16413,0319912;15035,3390042;10315,4648972;14907,7748483;8835,72058062;12341,1838413;16862,0578517;9743,97743359;10545,0803934;11427,8244199;13734,1845251
