TimeZone;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1
DateTime;Test case 00;Test case 01;Test case 02;Test case 03;Test case 04;Test case 05;Test case 06;Test case 07;Test case 08;Test case 09;Test case 10;Test case 11;Test case 12;Test case 13;Test case 14;Test case 15;Test case 16;Test case 17;Test case 18;Test case 19;Test case 20;Test case 21;Test case 22;Test case 23;Test case 24;Test case 25;Test case 26;Test case 27;Test case 28;Test case 29;Test case 30;Test case 31;Test case 32;Test case 33;Test case 34;Test case 35;Test case 36;Test case 37;Test case 38;Test case 39;Test case 40;Test case 41;Test case 42;Test case 43;Test case 44;Test case 45;Test case 46;Test case 47;Test case 48;Test case 49;Test case 50;Test case 51
01/01/2014 00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5500,73362476;4540,91297953;6497,19908237;6409,46243328;5089,08491002;5562,62330652;7269,79387659;7681,04008387;5069,53169586;4852,99598266;2550,40043564;7327,71503428;6604,92471817;6939,79097474;6527,54681506;4217,98556024;5245,43078707;3748,84148084;6030,16400906;5314,85168298;5809,40030415;4351,48165369;6718,73453714;4695,82513162;5964,48210815;5002,64559906;4354,21271677;5949,0770495;4853,06251282;6735,2207109
01/01/2014 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5500,73362476;4540,91297953;6497,19908237;6409,46243328;5089,08491002;5562,62330652;7269,79387659;7681,04008387;5069,53169586;4852,99598266;2550,40043564;7327,71503428;6604,92471817;6939,79097474;6527,54681506;4217,98556024;5245,43078707;3748,84148084;6030,16400906;5314,85168298;5809,40030415;4351,48165369;6718,73453714;4695,82513162;5964,48210815;5002,64559906;4354,21271677;5949,0770495;4853,06251282;6735,2207109
01/01/2014 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5500,73362476;4540,91297953;6497,19908237;6409,46243328;5089,08491002;5562,62330652;7269,79387659;7681,04008387;5069,53169586;4852,99598266;2550,40043564;7327,71503428;6604,92471817;6939,79097474;6527,54681506;4217,98556024;5245,43078707;3748,84148084;6030,16400906;5314,85168298;5809,40030415;4351,48165369;6718,73453714;4695,82513162;5964,48210815;5002,64559906;4354,21271677;5949,0770495;4853,06251282;6735,2207109
01/01/2014 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5500,73362476;4540,91297953;6497,19908237;6409,46243328;5089,08491002;5562,62330652;7269,79387659;7681,04008387;5069,53169586;4852,99598266;2550,40043564;7327,71503428;6604,92471817;6939,79097474;6527,54681506;4217,98556024;5245,43078707;3748,84148084;6030,16400906;5314,85168298;5809,40030415;4351,48165369;6718,73453714;4695,82513162;5964,48210815;5002,64559906;4354,21271677;5949,0770495;4853,06251282;6735,2207109
01/01/2014 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5500,73362476;4540,91297953;6497,19908237;6409,46243328;5089,08491002;5562,62330652;7269,79387659;7681,04008387;5069,53169586;4852,99598266;2550,40043564;7327,71503428;6604,92471817;6939,79097474;6527,54681506;4217,98556024;5245,43078707;3748,84148084;6030,16400906;5314,85168298;5809,40030415;4351,48165369;6718,73453714;4695,82513162;5964,48210815;5002,64559906;4354,21271677;5949,0770495;4853,06251282;6735,2207109
01/01/2014 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5500,73362476;4540,91297953;6497,19908237;6409,46243328;5089,08491002;5562,62330652;7269,79387659;7681,04008387;5069,53169586;4852,99598266;2550,40043564;7327,71503428;6604,92471817;6939,79097474;6527,54681506;4217,98556024;5245,43078707;3748,84148084;6030,16400906;5314,85168298;5809,40030415;4351,48165369;6718,73453714;4695,82513162;5964,48210815;5002,64559906;4354,21271677;5949,0770495;4853,06251282;6735,2207109
01/01/2014 06:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5500,73362476;4540,91297953;6497,19908237;6409,46243328;5089,08491002;5562,62330652;7269,79387659;7681,04008387;5069,53169586;4852,99598266;2550,40043564;7327,71503428;6604,92471817;6939,79097474;6527,54681506;4217,98556024;5245,43078707;3748,84148084;6030,16400906;5314,85168298;5809,40030415;4351,48165369;6718,73453714;4695,82513162;5964,48210815;5002,64559906;4354,21271677;5949,0770495;4853,06251282;6735,2207109
01/01/2014 07:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5500,73362476;4540,91297953;6497,19908237;6409,46243328;5089,08491002;5562,62330652;7269,79387659;7681,04008387;5069,53169586;4852,99598266;2550,40043564;7327,71503428;6604,92471817;6939,79097474;6527,54681506;4217,98556024;5245,43078707;3748,84148084;6030,16400906;5314,85168298;5809,40030415;4351,48165369;6718,73453714;4695,82513162;5964,48210815;5002,64559906;4354,21271677;5949,0770495;4853,06251282;6735,2207109
01/01/2014 08:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5500,73362476;4540,91297953;6497,19908237;6409,46243328;5089,08491002;5562,62330652;7269,79387659;7681,04008387;5069,53169586;4852,99598266;2550,40043564;7327,71503428;6604,92471817;6939,79097474;6527,54681506;4217,98556024;5245,43078707;3748,84148084;6030,16400906;5314,85168298;5809,40030415;4351,48165369;6718,73453714;4695,82513162;5964,48210815;5002,64559906;4354,21271677;5949,0770495;4853,06251282;6735,2207109
