TimeZone;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1
DateTime;Test case 00;Test case 01;Test case 02;Test case 03;Test case 04;Test case 05;Test case 06;Test case 07;Test case 08;Test case 09;Test case 10;Test case 11;Test case 12;Test case 13;Test case 14;Test case 15;Test case 16;Test case 17;Test case 18;Test case 19;Test case 20;Test case 21;Test case 22;Test case 23;Test case 24;Test case 25;Test case 26;Test case 27;Test case 28;Test case 29;Test case 30;Test case 31;Test case 32;Test case 33;Test case 34;Test case 35;Test case 36;Test case 37;Test case 38;Test case 39;Test case 40;Test case 41;Test case 42;Test case 43;Test case 44;Test case 45;Test case 46;Test case 47;Test case 48;Test case 49;Test case 50;Test case 51
01/01/2014 00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3102,815836;1931,995844;1947,43671;2314,341209;2768,098659;2336,541709;2580,768075;3069,855483;2583,032267;2549,20994;2593,135482;3867,889788;2297,589264;2192,908272;2215,319599;2498,461077;2959,729231;2290,595744;2797,312444;1901,90032;2545,507295;1794,762976;2555,665412;3124,525505;2949,952139;2682,50408;1130,691528;2225,204301;2065,713834;2639,503101
01/01/2014 01:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3043,983083;1678,132937;1693,707766;2085,011074;2632,551308;2110,359701;2402,293315;3003,468104;2405,073593;2363,578049;2417,489314;3984,402335;2066,027878;1950,132438;1974,565287;2301,704778;2868,103029;2058,139442;2668,461039;1647,899058;2359,045273;1541,355763;2371,487348;3070,666947;2856,084804;2527,341053;887,580788;1985,405298;1814,939759;2474,483921
01/01/2014 02:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2857,866949;1527,149112;1541,245957;1906,431998;2447,852764;1930,890102;2218,388666;2817,491423;2221,16016;2179,839207;2233,530861;3795,049132;1888,182304;1777,985776;1801,041662;2118,388688;2682,591925;1880,6145;2483,638416;1499,871199;2175,32949;1404,652158;2187,710074;2884,459675;2670,615426;2343,00377;866,544227;1811,300801;1652,029945;2290,328916
01/01/2014 03:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2529,147355;1409,429801;1422,261685;1744,150272;2192,482226;1764,948554;2004,066763;2495,994842;2006,341935;1972,385645;2016,502249;3298,671728;1728,572149;1633,371774;1653,454124;1921,741097;2385,228423;1722,096911;2221,86621;1384,535768;1968,675313;1297,045945;1978,857589;2550,982203;2375,394232;2106,390228;793,235799;1662,361556;1522,143073;2063,138892
01/01/2014 04:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2319,136421;1443,977943;1455,910519;1736,201443;2072,385623;1752,886407;1934,287487;2294,837535;1935,956533;1911,010892;1943,405746;2883,139811;1723,588072;1644,315002;1661,349148;1873,515567;2213,653848;1718,315206;2093,922898;1420,712328;1908,27783;1337,958421;1915,77426;2335,139492;2206,446207;2009,286922;853,415867;1668,852166;1547,068949;1977,587138
01/01/2014 05:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2253,971177;1708,563369;1719,731698;1950,486013;2132,202235;1961,722422;2064,042592;2241,980404;2064,868331;2052,438335;2068,550113;2532,303169;1941,77074;1882,865516;1896,095995;2033,149879;2201,916725;1938,071389;2142,830321;1686,58248;2051,061372;1606,456221;2054,828803;2261,869496;2198,360121;2101,063557;1085,166118;1901,82675;1802,124345;2085,419551
01/01/2014 06:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2613,307873;2145,619384;2157,748512;2393,849262;2530,715379;2404,054597;2484,476233;2605,17457;2485,039536;2476,504345;2487,540908;2802,092283;2385,792824;2328,807001;2341,933165;2462,745701;2578,000974;2382,340535;2537,924118;2121,63564;2475,54684;2033,091682;2478,161312;2618,664191;2575,588544;2509,594268;1404,026266;2347,56839;2245,846659;2498,983751
01/01/2014 07:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2768,400624;2141,069039;2152,416352;2395,298697;2615,47873;2407,885715;2529,886347;2753,341882;2530,922912;2515,373338;2535,543533;3117,938266;2385,617135;2321,682813;2335,849934;2491,547715;2703,028947;2381,527974;2628,825603;2118,786184;2513,658174;2038,028543;2518,355659;2778,319366;2698,562054;2576,373654;1520,36532;2342,017716;2236,906286;2556,728331
01/01/2014 08:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2426,98201;1741,973925;1753,077469;1999,064019;2249,023336;2012,520698;2149,420854;2409,457033;2150,625422;2132,57777;2156,000407;2833,747047;1988,785115;1922,228634;1936,802036;2105,163699;2350,907579;1984,462067;2264,555341;1720,236804;2130,593583;1642,172695;2136,032255;2438,523679;2345,709381;2203,515495;1180,929796;1943,175154;1836,559388;2180,652867
01/01/2014 09:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2189,360452;1548,238379;1558,156023;1781,297513;2018,757657;1793,786804;1923,272886;2172,560193;1924,428041;1907,14244;1929,580121;2579,312053;1771,785052;1710,6925;1724,002039;1880,969173;2116,429756;1767,791422;2033,647299;1528,850001;1905,243901;1459,523124;1910,448687;2200,424467;2111,446777;1975,130786;1066,871404;1729,833815;1633,054436;1953,213584
01/01/2014 10:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2105,669903;1390,874847;1400,35217;1625,523967;1901,981576;1639,095941;1787,983577;2085,612808;1789,361638;1768,776378;1795,509655;2571,24683;1615,278004;1551,164699;1564,90248;1737,878175;2018,596242;1610,998879;1919,759106;1372,441777;1766,523167;1307,530185;1772,706322;2118,880617;2012,646974;1849,894182;993,612388;1570,960456;1473,080824;1823,726405
01/01/2014 11:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2032,201159;1336,38271;1345,507557;1562,956724;1832,930312;1576,142183;1721,405136;2012,578895;1722,752451;1702,618492;1728,767603;2487,681459;1553,009433;1490,896786;1504,188756;1672,413162;1947,016155;1548,857683;1850,322424;1318,618357;1700,414694;1255,719501;1706,461689;2045,12528;1941,195359;1781,972818;904,326145;1510,052377;1415,518522;1756,371637
01/01/2014 12:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2022,553637;1303,414671;1312,478026;1531,854282;1813,539737;1545,401002;1696,562712;2001,971672;1697,975911;1676,867976;1704,284244;2500,302517;1521,655536;1458,366871;1471,854295;1645,260429;1933,203706;1517,402765;1831,781745;1285,806241;1674,558764;1223,937363;1680,895647;2036,110239;1927,097415;1760,090754;917,617017;1477,813446;1382,383578;1733,238888
01/01/2014 13:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2041,920054;1288,293339;1298,186825;1533,943883;1826,229973;1548,227398;1705,515165;2020,680353;1706,973383;1685,180262;1713,483758;2534,929719;1523,166462;1455,851224;1470,25882;1652,482344;1949,715177;1518,667725;1845,055048;1269,040021;1682,794186;1201,005557;1689,339699;2055,90929;1943,415629;1771,073512;838,230848;1476,614369;1374,120705;1743,362966
01/01/2014 14:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2017,620071;1212,480244;1222,636166;1468,229612;1783,604529;1483,395964;1652,633876;1994,575165;1654,217273;1630,584908;1661,279971;2552,516187;1456,812024;1385,959947;1401,059318;1595,196752;1917,58166;1452,050852;1804,029473;1192,7339;1627,998985;1123,087489;1635,093526;2032,797403;1910,746261;1723,761564;746,180797;1407,731108;1300,899024;1693,697884
01/01/2014 15:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2114,645414;1249,985452;1260,791423;1523,25211;1862,58881;1539,522009;1721,522628;2089,824952;1723,226811;1697,776064;1730,834144;2690,777934;1511,008783;1435,134198;1451,290997;1659,676809;2006,895356;1505,906116;1884,588366;1229,009284;1694,991394;1155,510893;1702,631669;2130,993275;1999,532889;1798,132911;812,093816;1458,431657;1344,242596;1765,751234
01/01/2014 16:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2262,158284;1333,770434;1345,696423;1632,101323;1994,156806;1649,638379;1844,166721;2235,766504;1845,978514;1818,908134;1854,067894;2874,735289;1618,887315;1536,645102;1554,205216;1778,337154;2147,591493;1613,373975;2017,547599;1310,567409;1815,945579;1228,556885;1824,073391;2279,539416;2139,76345;1925,623824;775,697645;1561,958591;1437,408272;1891,193174
01/01/2014 17:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3025,376521;1885,9247;1901,542354;2267,558525;2704,728738;2289,297841;2525,271217;2993,801915;2527,439878;2495,020867;2537,119243;3758,2917;2251,118427;2147,726554;2169,954505;2446,281446;2888,305067;2244,245694;2732,714896;1855,455837;2491,469753;1746,787803;2501,211707;3046,173705;2878,938648;2622,732489;1078,849001;2179,742578;2020,72757;2581,538911
01/01/2014 18:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3648,287332;2410,193829;2429,330752;2859,361404;3318,341209;2883,464836;3133,67451;3615,796947;3135,907956;3102,478733;3145,871718;4402,45539;2841,006297;2723,189259;2748,847538;3051,872617;3507,240915;2833,301236;3347,138831;2372,714975;3098,809029;2237,526688;3108,872714;3669,68735;3497,602178;3233,966571;1328,126425;2760,091633;2573,592278;3191,578307
01/01/2014 19:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3158,627837;2602,337193;2619,567891;2942,734615;3084,548573;2955,506107;3043,066206;3151,332351;3043,574606;3035,774015;3045,824523;3327,951397;2932,506222;2857,547415;2875,134981;3022,488633;3126,959896;2928,086545;3091,015026;2568,206312;3034,882393;2441,834318;3037,309098;3163,431833;3124,796725;3065,606006;1572,36487;2882,634705;2743,662516;3056,089153
01/01/2014 20:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2716,744767;2229,755744;2241,537887;2474,705729;2623,505521;2485,142753;2571,310517;2707,562821;2571,944096;2562,352575;2574,7661;2929,864298;2466,509837;2409,318678;2422,396528;2547,103868;2676,886425;2463,007038;2631,643215;2206,486835;2561,28197;2120,880178;2564,20829;2722,791762;2674,163245;2599,662328;1527,39837;2428,024066;2327,48604;2587,683633
01/01/2014 21:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2149,538346;1738,8807;1746,841608;1913,992115;2054,086517;1922,353813;2000,659494;2140,138985;2001,30625;1991,580766;2004,191941;2367,715525;1907,530054;1864,292993;1873,947103;1976,576926;2108,734578;1904,7926;2062,417469;1723,243282;1990,505769;1666,639583;1993,448559;2155,729187;2105,946613;2029,677826;1332,386883;1878,139482;1805,865423;2017,414734
01/01/2014 22:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2406,078314;1689,663625;1701,453455;1961,361161;2221,469812;1975,474477;2118,14492;2387,898896;2119,394507;2100,666061;2124,970437;2828,042645;1950,570563;1880,515675;1895,880776;2072,187973;2327,161015;1946,0301;2237,582689;1666,569307;2098,607206;1583,50465;2104,252312;2418,051519;2321,768461;2174,261082;1084,152612;1902,595389;1789,969961;2150,545264
01/01/2014 23:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3047,15976;2064,86284;2079,930368;2419,526209;2784,471775;2438,626896;2637,448638;3021,291752;2639,226391;2612,616097;2647,158749;3647,593361;2404,987945;2311,779444;2332,062738;2572,349278;2934,864846;2398,886046;2807,399188;2035,371247;2609,695268;1929,296822;2617,705588;3064,1972;2927,19163;2717,297089;1246,791206;2340,953699;2193,657146;2683,54943
02/01/2014 00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2545,213015;2315,286635;1354,36338;2398,531374;2737,631992;1447,599332;2463,165158;3246,534922;2285,771983;2522,548037;2748,195292;3866,446942;1914,289688;2103,871287;2146,63838;1932,121023;3117,515515;1404,161327;2926,452638;2282,649111;2636,367053;2227,741909;2890,680163;2961,517964;2834,768239;2801,332428;1951,677403;2345,220746;1736,955808;2282,070435
