TimeZone;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1
DateTime;Test case 00;Test case 01;Test case 02;Test case 03;Test case 04;Test case 05;Test case 06;Test case 07;Test case 08;Test case 09;Test case 10;Test case 11;Test case 12;Test case 13;Test case 14;Test case 15;Test case 16;Test case 17;Test case 18;Test case 19;Test case 20;Test case 21;Test case 22;Test case 23;Test case 24;Test case 25;Test case 26;Test case 27;Test case 28;Test case 29;Test case 30;Test case 31;Test case 32;Test case 33;Test case 34;Test case 35;Test case 36;Test case 37;Test case 38;Test case 39;Test case 40;Test case 41;Test case 42;Test case 43;Test case 44;Test case 45;Test case 46;Test case 47;Test case 48;Test case 49;Test case 50;Test case 51
01/01/2014 00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;340,903301;343,465001;140,571981;183,644425;283,671662;225,223933;161,431929;324,36119;269,183814;263,992418;375,58662;377,478059;189,569685;279,561518;228,60669;269,382718;247,373751;390,080944;311,683368;202,44803;251,318528;78,000924;274,289172;288,725213;387,082118;270,556483;142,696785;164,082673;211,61982;146,976229
01/01/2014 01:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;354,053404;356,674775;154,687694;195,596478;295,490496;236,384302;174,271881;337,126205;280,69504;275,409511;389,544597;391,47998;201,341799;291,288069;239,752719;280,897876;258,573207;404,376596;324,153034;213,903748;262,556608;99,775137;285,902626;300,660151;401,307922;282,094538;156,658463;176,794956;222,915258;160,645102
01/01/2014 02:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;361,911271;364,106386;203,214042;233,098221;312,875405;264,486671;217,375317;347,737275;300,533639;296,149655;391,630083;393,250689;237,409351;309,361973;267,160543;300,702245;282,317727;404,049792;336,874106;246,959985;285,569346;164,137718;304,867666;317,202262;401,480229;301,696996;204,630424;219,216336;253,918389;207,500887
01/01/2014 03:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;386,082047;388,4985;213,119233;245,08913;332,10249;279,064952;228,228078;370,478717;318,5259;313,708721;418,797372;420,581495;249,730533;328,235887;281,978202;318,711158;298,53766;432,469251;358,520419;260,04209;302,099662;171,732153;323,291502;336,865086;429,640651;319,804899;214,627435;230,197229;267,579629;217,685932
01/01/2014 04:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;422,388284;424,568134;260,608967;292,522893;373,694487;325,08719;275,829522;408,313509;361,415168;357,040666;451,899172;453,508445;297,056056;370,203027;327,816339;361,583311;343,17127;464,231918;397,526432;307,028319;346,442548;217,913284;365,732311;377,992203;461,680395;362,574824;262,138215;277,796129;314,23466;265,232793
01/01/2014 05:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;496,866062;498,858572;343,473558;375,601422;452,353645;407,192939;358,925397;484,000207;441,097987;437,071568;523,841848;525,313045;380,074682;449,158228;409,784474;441,252485;424,217971;535,115083;474,139654;389,829307;427,263516;299,014798;445,061729;456,283388;532,782818;442,163512;345,03588;360,905418;396,804133;348,190822
01/01/2014 06:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;631,039577;633,305233;461,528442;495,441585;580,423811;529,724783;477,748143;616,409026;567,652551;563,098804;661,714979;663,387623;500,232167;576,793581;532,584839;567,827402;548,640329;674,534114;605,196388;510,750029;552,053846;415,401663;572,144082;584,891289;671,881983;568,859159;463,162462;479,83733;518,332668;466,465888
01/01/2014 07:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;769,95279;773,412102;526,850619;570,230209;692,676941;617,354052;547,260721;747,61517;673,266679;666,393156;816,788222;819,342058;576,601152;687,144864;621,444075;673,531268;644,820391;836,360614;730,495543;590,832045;649,873942;471,286999;680,074749;699,4938;832,311297;675,093127;528,882679;549,931124;601,300875;533,0067
01/01/2014 08:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;708,646856;712,256502;457,255705;501,298385;628,016466;549,721581;477,912586;685,339462;607,776358;600,615812;757,515735;760,180587;507,811106;622,245704;553,94968;608,052049;578,178045;777,938095;667,476489;522,398638;583,428419;401,634958;614,872839;635,128906;773,712771;609,679824;459,307192;480,623926;533,163048;463,474001
