TimeZone;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1
DateTime;Test case 00;Test case 01;Test case 02;Test case 03;Test case 04;Test case 05;Test case 06;Test case 07;Test case 08;Test case 09;Test case 10;Test case 11;Test case 12;Test case 13;Test case 14;Test case 15;Test case 16;Test case 17;Test case 18;Test case 19;Test case 20;Test case 21;Test case 22;Test case 23;Test case 24;Test case 25;Test case 26;Test case 27;Test case 28;Test case 29;Test case 30;Test case 31;Test case 32;Test case 33;Test case 34;Test case 35;Test case 36;Test case 37;Test case 38;Test case 39;Test case 40;Test case 41;Test case 42;Test case 43;Test case 44;Test case 45;Test case 46;Test case 47;Test case 48;Test case 49;Test case 50;Test case 51
01/01/2014 00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;466,119089;469,621715;192,204896;251,098103;387,865932;307,950008;220,726826;443,500963;368,056612;360,958385;513,541794;516,12797;259,199745;382,246108;312,575272;368,328574;338,235585;533,359969;426,166503;276,808382;343,629301;106,651122;375,037199;394,775682;529,259657;369,933471;195,110153;224,351204;289,349025;200,961463
01/01/2014 01:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;484,099302;487,683517;211,505393;267,440215;404,025893;323,209646;238,282967;460,954643;383,795979;376,569044;532,626619;535,272879;275,295826;398,27989;327,815303;384,073317;353,548666;552,906498;443,216351;292,471852;358,995194;136,423132;390,916342;411,094393;548,710683;385,709521;214,200038;241,732783;304,793344;219,650993
01/01/2014 02:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;494,84341;497,844803;277,855754;318,716569;427,796382;361,634181;297,21855;475,463221;410,921412;404,927164;535,478116;537,69398;324,611203;422,992445;365,290182;411,151948;386,014688;552,459657;460,609946;337,66984;390,460646;224,426468;416,847353;433,712519;548,946278;412,512078;279,792382;299,735786;347,184107;283,717183
01/01/2014 03:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;527,892254;531,196285;291,399181;335,111809;454,085688;381,567149;312,057594;506,557729;435,522336;428,935779;572,62411;575,063552;341,458027;448,798859;385,550454;435,775641;408,192298;591,317751;490,207078;355,557079;413,062644;234,810383;442,038373;460,597613;587,450188;437,271119;293,461354;314,750025;365,863201;297,643254
01/01/2014 04:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;577,533985;580,514507;356,332173;399,968272;510,95467;444,493626;377,143328;558,289462;494,165084;488,183802;617,884396;620,084764;406,166492;506,180776;448,225208;494,394987;469,220096;634,747032;543,540229;419,801627;473,692934;297,954114;500,06794;516,830962;631,25832;495,75069;358,423124;379,83228;429,654899;362,654357
01/01/2014 05:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;679,367889;682,09226;469,633416;513,562033;618,505799;556,7573;490,760807;661,77633;603,115872;597,610525;716,25204;718,263616;519,678348;614,136687;560,300721;603,327118;580,035726;731,666001;648,293937;533,015905;584,199918;408,844692;608,53552;623,87896;728,47708;604,57277;471,769588;493,468101;542,552625;476,083359
01/01/2014 06:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;862,824125;865,92197;631,050553;677,420194;793,616891;724,295812;653,227846;842,819687;776,154671;769,928307;904,766782;907,053799;683,970384;788,653255;728,206382;776,393746;750,159148;922,294462;827,48858;698,351518;754,826471;567,981137;782,295969;799,725299;918,668187;777,804473;633,284758;656,084403;708,719306;637,801553
01/01/2014 07:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1052,760978;1057,490916;720,36595;779,679118;947,101255;844,111826;748,272802;1022,218618;920,56149;911,163281;1116,79934;1120,291215;788,390147;939,537213;849,704138;920,923264;881,666713;1143,560786;998,810852;807,84813;888,576463;644,393486;929,870204;956,421986;1138,024132;923,058804;723,144397;751,92406;822,162222;728,783196
01/01/2014 08:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;968,937014;973,872505;625,208415;685,42823;858,690608;751,63755;653,45269;937,068678;831,016189;821,225532;1035,75572;1039,399388;694,333111;850,800211;757,418655;831,393142;790,546242;1063,679332;912,644529;714,278729;797,725109;549,15784;840,719249;868,415488;1057,902022;833,618809;628,013425;657,159921;728,996971;633,710728
01/01/2014 09:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;895,073525;900,651291;515,318723;578,699314;770,477924;650,641355;544,802326;859,056809;739,249965;728,228519;970,590294;974,708315;588,241726;761,566086;657,021726;739,67467;693,833459;1002,149036;831,453227;609,773266;701,859205;438,006684;750,188558;781,466483;995,619717;742,182419;518,227775;548,703409;625,794399;524,149921
01/01/2014 10:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;851,92348;857,921207;444,024333;511,940693;717,943585;589,143631;475,610587;813,193778;684,366311;672,516959;933,128064;937,556313;522,173448;708,360695;595,996774;684,822955;635,546476;967,063634;783,511263;545,271619;644,172121;361,149708;696,127117;729,759732;960,042569;687,519181;447,140836;479,79059;562,465987;453,485156
01/01/2014 11:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;818,662758;824,953635;393,183119;463,140465;678,139314;543,352701;425,632381;778,041334;642,935007;630,518645;903,83357;908,478124;473,735309;668,089976;550,499944;643,413788;591,815822;939,426531;746,908878;497,694907;600,839292;309,052722;655,263139;690,531958;932,062666;646,23967;396,3771;429,938562;515,5676;402,884598
01/01/2014 12:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;781,636617;787,907255;350,184235;423,864623;641,564441;506,244023;384,59226;741,146431;606,432236;594,019036;866,532937;871,162628;434,863617;631,542932;513,496572;606,910701;555,207745;902,01142;710,114222;459,595462;564,275804;258,856946;618,743924;653,919138;894,670957;609,733737;353,589461;389,127713;477,925748;360,51439
01/01/2014 13:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;755,799528;762,130251;305,033683;387,475381;614,377974;475,728227;343,902529;714,920372;578,821697;566,212115;841,511104;846,185067;399,498346;604,249577;483,320097;579,306803;526,538765;877,330173;683,590268;426,246827;535,848112;199,88721;591,300042;626,855054;869,919505;582,170317;308,904724;348,981907;445,832885;316,760967
01/01/2014 14:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;753,751902;759,680689;334,86135;410,332897;621,310177;491,897042;370,366397;715,468092;588,029848;576,237735;834,021694;838,399028;421,396403;611,827217;498,949098;588,483963;539,187561;867,566712;686,127111;446,066583;547,872658;239,350579;599,705903;632,994454;860,626287;591,162479;338,391806;375,015695;464,17835;345,560869
01/01/2014 15:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;780,085481;785,070937;399,221956;477,911202;668,710114;556,067906;436,908397;747,893319;640,56229;630,501568;847,582513;851,26318;488,943716;660,71694;562,5052;640,948414;598,425781;875,789789;723,221243;513,039296;606,018916;293,788658;650,471852;678,542514;869,953659;643,225627;403,014255;441,762615;530,302286;410,685817
