TimeZone;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1
DateTime;Test case 00;Test case 01;Test case 02;Test case 03;Test case 04;Test case 05;Test case 06;Test case 07;Test case 08;Test case 09;Test case 10;Test case 11;Test case 12;Test case 13;Test case 14;Test case 15;Test case 16;Test case 17;Test case 18;Test case 19;Test case 20;Test case 21;Test case 22;Test case 23;Test case 24;Test case 25;Test case 26;Test case 27;Test case 28;Test case 29;Test case 30;Test case 31;Test case 32;Test case 33;Test case 34;Test case 35;Test case 36;Test case 37;Test case 38;Test case 39;Test case 40;Test case 41;Test case 42;Test case 43;Test case 44;Test case 45;Test case 46;Test case 47;Test case 48;Test case 49;Test case 50;Test case 51
01/01/2014 00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1519,968928;1988,425729;1569,534942;1881,638058;1361,972284;1527,423596;1212,39141;1371,621101;1384,057045;1222,544987;1564,103295;1521,536935;1563,043365;1294,699859;1681,605683;1371,59258;1984,901693;2213,018247;1748,497383;1220,727584;1268,286496;1107,44104;1312,749189;1483,608269;1894,948876;1659,260915;1326,705384;1120,420215;1092,846765;1080,032085
01/01/2014 01:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1509,609069;1978,380931;1559,177736;1871,513665;1352,608017;1517,059094;1206,913996;1362,125503;1374,409555;1216,674909;1553,742773;1511,175749;1552,682842;1286,613743;1671,331388;1362,097645;1974,854904;2203,142586;1738,272834;1214,926488;1260,900146;1107,092152;1304,253163;1473,306116;1884,834432;1648,970037;1317,927461;1119,339722;1093,349535;1081,308247
01/01/2014 02:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1518,633734;1987,088545;1568,165257;1880,292252;1361,866822;1526,077789;1216,731288;1371,361757;1383,618613;1226,439138;1562,734273;1520,199751;1561,675006;1296,069544;1680,243958;1371,333235;1983,565172;2211,699635;1747,140964;1224,700002;1270,456103;1117,572729;1313,647941;1482,365272;1893,604396;1657,897199;1327,279789;1129,728103;1103,937565;1091,992453
01/01/2014 03:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1594,926845;2076,327004;1645,8254;1966,579088;1433,893679;1602,576519;1284,98604;1443,642653;1456,229162;1294,938642;1640,243851;1596,535976;1639,155399;1366,357929;1761,001645;1443,614131;2072,706127;2307,145784;1829,747891;1293,15573;1340,079213;1183,394549;1384,396647;1557,660801;1980,259356;1738,037368;1398,387333;1195,842432;1169,432385;1157,20206
01/01/2014 04:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1728,869433;2238,483775;1782,751446;2122,303315;1558,387099;1736,967488;1400,710822;1568,708488;1582,034561;1411,251095;1776,842897;1730,57275;1775,69077;1486,878931;1904,677287;1568,67864;2234,649984;2482,830268;1977,452994;1409,362721;1459,052769;1293,107973;1505,979569;1689,418526;2136,785495;1880,367866;1520,793392;1306,294093;1278,317365;1265,360742
01/01/2014 05:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1831,699941;2373,204397;1888,947467;2249,752999;1650,764225;1840,302757;1483,998944;1661,705123;1675,833108;1495,120919;1882,669468;1833,509385;1881,445042;1575,03955;2018,505073;1661,672622;2369,131159;2632,844931;2095,835563;1493,127746;1545,612216;1370,684542;1595,253181;1789,796867;2265,141227;1992,674074;1610,937235;1384,549203;1355,139115;1341,527166
01/01/2014 06:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1737,943844;2253,444847;1792,44603;2135,921897;1565,577779;1746,134759;1406,389875;1576,007947;1589,4753;1417,021018;1786,469163;1739,666397;1785,30377;1493,34663;1915,781353;1575,977436;2249,567279;2500,61561;1989,397443;1415,116061;1465,254491;1297,944652;1512,634978;1698,043893;2150,571225;1891,190036;1527,597377;1311,226285;1283,048582;1270,001753
01/01/2014 07:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1660,337428;2195,524087;1716,897126;2073,507376;1482,234605;1668,833454;1320,02676;1492,957944;1506,815973;1330,757396;1710,692751;1662,124319;1709,482918;1408,261004;1844,947747;1492,926107;2191,497943;2452,146671;1921,379484;1328,833868;1379,646195;1211,458167;1427,961915;1618,976921;2088,716517;1819,416553;1443,271876;1224,671481;1196,666232;1183,733488
01/01/2014 08:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1531,91404;2032,359784;1584,807095;1918,264695;1365,173301;1539,860203;1212,776779;1375,225396;1388,213193;1222,8826;1579,005335;1533,584857;1577,874433;1295,763106;1704,544756;1375,195548;2028,594975;2272,320632;1776,01379;1221,071166;1268,87682;1110,3197;1314,261481;1493,223259;1932,486867;1680,671114;1328,630239;1122,808043;1096,332994;1084,099353
01/01/2014 09:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1461,50958;1972,997704;1515,560068;1856,382792;1291,469657;1469,628196;1137,080625;1301,695533;1314,914817;1147,27201;1509,630294;1463,216877;1508,474187;1220,982286;1637,941586;1301,665685;1969,149984;2218,259531;1710,989903;1145,444657;1193,749102;1034,173838;1239,743322;1421,993671;1870,919361;1613,540632;1254,328975;1046,676774;1020,18448;1007,960124
01/01/2014 10:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1417,579504;1932,330995;1471,934441;1814,961263;1247,901073;1425,737918;1097,760385;1258,0122;1271,104797;1107,492776;1465,967523;1419,295424;1464,80412;1178,701802;1595,106595;1257,982352;1928,458069;2179,179401;1668,627172;1105,745682;1152,23604;1001,011543;1197,028386;1377,920326;1829,591356;1570,547779;1211,324846;1012,625012;988,06089;976,78039
01/01/2014 11:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1383,856733;1850,325667;1433,0984;1743,961172;1230,617837;1391,245072;1096,454376;1239,714138;1251,502714;1105,084386;1427,691295;1385,410148;1426,637334;1168,537612;1544,72076;1239,687606;1846,816222;2074,028719;1611,347809;1103,534287;1144,894794;1011,200275;1184,944647;1347,956394;1757,21959;1522,464872;1197,761317;1021,387017;999,852783;989,979775
01/01/2014 12:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1373,811934;1837,465221;1422,761092;1731,744113;1221,327195;1381,15716;1087,357412;1230,390331;1242,132477;1095,996709;1417,387151;1375,356063;1416,33916;1159,417434;1533,708891;1230,363799;1833,977001;2059,815833;1599,932662;1094,445283;1135,806453;1001,818099;1175,790642;1338,115224;1744,922273;1511,58765;1188,57481;1012,05724;990,407595;980,475555
01/01/2014 13:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1385,284124;1846,621216;1433,995162;1741,429411;1233,31741;1392,594195;1099,135376;1242,365291;1254,084222;1107,819776;1428,647753;1386,820957;1427,605068;1171,424232;1544,387128;1242,338759;1843,150242;2067,856845;1610,279256;1106,260391;1147,77279;1012,869102;1187,808715;1349,747266;1754,541906;1522,376655;1200,59421;1023,221665;1001,322624;991,26456
01/01/2014 14:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1450,13025;1935,846409;1501,422133;1825,098259;1289,906956;1457,829007;1147,814577;1299,461587;1311,832528;1157,040881;1495,792164;1451,74933;1494,694426;1224,471169;1617,64637;1299,433729;1932,192368;2168,769795;1687,018758;1155,384657;1199,422848;1055,900425;1241,808131;1412,699048;1838,903224;1594,472494;1255,32921;1066,958061;1043,558004;1032,798184
01/01/2014 15:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1588,597773;2130,153965;1645,77897;2006,671392;1410,211063;1597,179363;1252,712547;1420,832257;1434,58814;1262,905922;1639,501634;1590,40191;1638,277872;1337,560717;1775,366423;1420,801083;2126,079401;2389,858838;1852,716149;1261,075917;1309,799558;1151,448056;1356,792686;1546,882409;2022,0636;1749,528129;1371,800189;1163,60343;1137,88917;1126,077378
01/01/2014 16:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1723,391356;2316,220196;1785,976342;2181,043897;1528,475567;1732,782818;1357,367755;1540,057862;1555,063374;1368,396206;1779,105365;1725,365958;1777,764865;1449,379411;1927,835244;1540,023371;2311,759599;2600,518376;2012,509633;1366,415635;1419,224453;1248,209501;1470,294799;1677,75332;2197,894007;1899,550089;1486,627546;1261,274903;1233,647063;1220,970347
01/01/2014 17:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1818,263763;2362,997093;1875,820379;2238,800826;1637,410294;1826,907702;1473,852;1648,270934;1662,314682;1484,61978;1869,505236;1820,081166;1868,273515;1562,628811;2006,158009;1648,239096;2358,899314;2624,204308;2083,954789;1482,688292;1533,781853;1365,258202;1582,518096;1776,196857;2254,281914;1980,170476;1597,988572;1378,448964;1350,494789;1337,589239
01/01/2014 18:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1864,211553;2403,206799;1921,421935;2280,387512;1675,936581;1872,843553;1480,366792;1687,848529;1703,101446;1494,398601;1915,168477;1866,028293;1913,948695;1590,744829;2050,324214;1687,813374;2399,154787;2661,517445;2127,258723;1491,896024;1556,134581;1329,016271;1613,997635;1821,889946;2295,69681;2024,62521;1631,769712;1348,305283;1307,152385;1287,807657
