TimeZone;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1
DateTime;Test case 00;Test case 01;Test case 02;Test case 03;Test case 04;Test case 05;Test case 06;Test case 07;Test case 08;Test case 09;Test case 10;Test case 11;Test case 12;Test case 13;Test case 14;Test case 15;Test case 16;Test case 17;Test case 18;Test case 19;Test case 20;Test case 21;Test case 22;Test case 23;Test case 24;Test case 25;Test case 26;Test case 27;Test case 28;Test case 29;Test case 30;Test case 31;Test case 32;Test case 33;Test case 34;Test case 35;Test case 36;Test case 37;Test case 38;Test case 39;Test case 40;Test case 41;Test case 42;Test case 43;Test case 44;Test case 45;Test case 46;Test case 47;Test case 48;Test case 49;Test case 50;Test case 51
01/01/2014 00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1583,732329;1396,271388;1248,252742;1369,937529;1448,078493;1330,292531;1465,274556;1646,251356;1313,504189;1359,056496;1589,581724;1692,426826;1327,414166;1464,753322;1494,694116;1509,72069;1525,669267;1640,148294;1435,82488;1292,990767;1414,822657;1075,365481;1437,039932;1499,760503;1468,714695;1417,038477;1360,935252;1359,116727;1335,376292;1364,011686
01/01/2014 01:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1535,932928;1373,991565;1234,912647;1349,929123;1419,799855;1313,001489;1434,577395;1589,425354;1297,172216;1339,867006;1540,937925;1628,934831;1310,293393;1434,130293;1459,749484;1472,606569;1486,252455;1584,203756;1409,162064;1277,712843;1390,647861;1066,899496;1410,221905;1464,083827;1437,521784;1392,618123;1341,609083;1339,923763;1317,774826;1344,457333
01/01/2014 02:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1518,553855;1373,170333;1241,099106;1350,722556;1414,973235;1315,846264;1428,188234;1566,245535;1300,782624;1341,262753;1523,015611;1601,469316;1313,273688;1427,789781;1450,632536;1462,095033;1474,260616;1561,589185;1405,389494;1282,19429;1388,529338;1078,225314;1406,347405;1454,496611;1430,814091;1390,333963;1342,904058;1341,317193;1320,377518;1345,583197
01/01/2014 03:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1541,008581;1414,074398;1285,904312;1392,969086;1451,781566;1359,444525;1463,230163;1582,056275;1344,771231;1383,950594;1544,848333;1612,374673;1356,944922;1462,886149;1482,548224;1492,414589;1502,885585;1578,049729;1443,354962;1326,546602;1428,206767;1122,239404;1444,202835;1485,87485;1465,491157;1429,848073;1385,518926;1384,001559;1363,837942;1388,076444
01/01/2014 04:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1824,814267;1773,263146;1660,324652;1757,55781;1794,302434;1729,386893;1798,524423;1838,68602;1716,227492;1750,298769;1826,111559;1848,931148;1727,174548;1798,406277;1805,058371;1808,393105;1811,931699;1837,331972;1790,598203;1699,380077;1782,425267;1492,387948;1790,997816;1806,183076;1799,29469;1783,400552;1751,581003;1750,340468;1733,244019;1753,654353
01/01/2014 05:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2270,452437;2218,808652;2087,347847;2200,929195;2241,60855;2168,327795;2245,710076;2283,506433;2152,978057;2192,574406;2271,673281;2293,148089;2165,751745;2245,597722;2251,861786;2254,998452;2258,328553;2282,232307;2237,812814;2133,258067;2229,017873;1888,568037;2238,229801;2252,919311;2246,436328;2230,08698;2194,05355;2192,623054;2172,816192;2196,441956
01/01/2014 06:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2580,361482;2381,355804;2194,725361;2349,943975;2439,126976;2300,806742;2457,175544;2645,37432;2279,495254;2336,650212;2586,443694;2693,39148;2297,170851;2456,632303;2487,771933;2503,397346;2519,981828;2639,026858;2425,982633;2253,142862;2402,708991;1962,070027;2427,299615;2493,038705;2460,755837;2405,209752;2338,957537;2336,725501;2307,207486;2342,725474
01/01/2014 07:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2201,039233;2072,300424;1904,192292;2046,428724;2114,127651;2003,315789;2125,470843;2240,918206;1983,925914;2035,031092;2204,770104;2270,372515;2000,03202;2125,136096;2144,243347;2153,828246;2164,00156;2237,025173;2105,404524;1959,528725;2088,776026;1674,889066;2106,299886;2147,474993;2127,671606;2090,633933;2037,025677;2035,095956;2009,069045;2040,267748
01/01/2014 08:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1982,89503;1882,221734;1740,674488;1860,809474;1915,879499;1824,682222;1924,679074;2013,617674;1808,327082;1851,299864;1985,769921;2036,307534;1821,916211;1924,420774;1939,142716;1946,525694;1954,362725;2010,617687;1909,011962;1787,683931;1895,673025;1544,484628;1909,720839;1941,631894;1926,375977;1897,177652;1852,966652;1851,354304;1829,525057;1855,673589
01/01/2014 09:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2147,85028;1898,42977;1710,815933;1864,484747;1966,483134;1813,966825;1989,428978;2231,460719;1792,732943;1850,557396;2155,672253;2293,21527;1810,320509;1988,730526;2028,772818;2048,868096;2070,196958;2223,298207;1950,221817;1766,886726;1922,588349;1496,372487;1951,83069;2035,546533;1994,028572;1925,488722;1852,959702;1850,63616;1820,413901;1856,894433
01/01/2014 10:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2258,569478;1907,577991;1694,529133;1865,78088;1998,551718;1806,875737;2031,199449;2378,571261;1783,021789;1849,192923;2269,795683;2467,205229;1802,745254;2030,198681;2087,662904;2116,505632;2147,118237;2366,857413;1975,904714;1754,557823;1938,710671;1477,737821;1978,121693;2097,38564;2037,797103;1942,533048;1852,033065;1849,285587;1814,212384;1856,703314
01/01/2014 11:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2274,61072;1881,807064;1656,816174;1836,604562;1982,355265;1773,895575;2018,985217;2409,526721;1748,789509;1818,835143;2287,232671;2509,174926;1769,538066;2017,86167;2082,46563;2114,892126;2149,309733;2396,356896;1957,071979;1719,018986;1915,89224;1436,609046;1959,540308;2093,396469;2026,401787;1920,103804;1821,871037;1818,934757;1781,649209;1826,869084
01/01/2014 12:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2282,499874;1878,931015;1648,013124;1832,518094;1982,212794;1768,146952;2019,848148;2421,123581;1742,380658;1814,27609;2295,468156;2523,509997;1763,674771;2018,693327;2085,071796;2118,39018;2153,754115;2407,591209;1956,238006;1711,831759;1913,937036;1422,20911;1958,773516;2096,303792;2027,468577;1918,262114;1817,391907;1814,376862;1776,104446;1822,523158
01/01/2014 13:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2482,797051;2026,695994;1770,570107;1974,810124;2142,965746;1903,219324;2185,534282;2639,688245;1874,673119;1954,479713;2497,47382;2755,567651;1898,260658;2184,226566;2259,353645;2297,061971;2337,085731;2624,373255;2113,6319;1840,900682;2065,986552;1523,460397;2116,492891;2272,064785;2194,157796;2070,849079;1957,949968;1954,592068;1912,047856;1963,667317
01/01/2014 14:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2506,436714;2062,590428;1802,893515;2010,87367;2176,718492;1938,708355;2218,069659;2658,632176;1909,691882;1990,471445;2520,674489;2771,042486;1933,675559;2216,801325;2289,680151;2326,261455;2365,086379;2643,774713;2148,124797;1875,204776;2101,413035;1545,078834;2150,918607;2302,012528;2226,437189;2106,197956;1993,960232;1990,586116;1947,655033;1999,700747
01/01/2014 15:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2570,951485;2209,804059;1966,806299;2164,010826;2305,647261;2097,715755;2339,072209;2693,333565;2070,357961;2145,538322;2582,401241;2783,72351;2092,998015;2338,05175;2396,658053;2426,071821;2457,291373;2681,385742;2282,234624;2037,381274;2243,174566;1704,280827;2284,537316;2406,573066;2345,803067;2247,228602;2148,712053;2145,642568;2106,074019;2153,922068
01/01/2014 16:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3730,742845;3173,444941;2801,358567;3103,118999;3321,072083;3001,507483;3372,670695;3919,725787;2959,633924;3074,784762;3748,421917;4059,307405;2994,284349;3371,094254;3461,594237;3507,016814;3555,226252;3901,277607;3284,956413;2909,193608;3224,777145;2400,93564;3288,506591;3476,90691;3383,064085;3231,019202;3079,650764;3074,943449;3014,307812;3087,641848
01/01/2014 17:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4711,509134;3974,272263;3502,959304;3883,688882;4167,597656;3754,267837;4236,003143;4962,473653;3701,347609;3847,441167;4734,987794;5147,833446;3745,124248;4233,910102;4354,089104;4414,408526;4478,429863;4937,974535;4119,91756;3637,866039;4041,001695;3008,160735;4124,595917;4374,42299;4249,803082;4049,152624;3853,657742;3847,642711;3770,489772;3863,872754
01/01/2014 18:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4196,859688;4022,345021;3690,127196;3975,050637;4088,855536;3891,662592;4103,501031;4246,122017;3853,04037;3953,435676;4201,468548;4282,506411;3885,159918;4103,084044;4126,7017;4138,541801;4151,108155;4241,312772;4076,548641;3803,781516;4050,544896;3206,14132;4077,857516;4130,693188;4106,229976;4053,592373;3957,245311;3953,560772;3903,015051;3963,414396
01/01/2014 19:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3630,468002;3511,142665;3266,127154;3476,713474;3558,30037;3415,426875;3568,188743;3663,32886;3386,906152;3460,879568;3633,54212;3687,599794;3410,629213;3567,909593;3583,667052;3591,564314;3599,948061;3660,12038;3549,801952;3350,454577;3531,429061;2905,607524;3550,713531;3586,328816;3570,009584;3533,603183;3463,673378;3460,971074;3423,796722;3468,194207
01/01/2014 20:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2808,429964;2677,720894;2525,415394;2653,607488;2718,460481;2614,226582;2730,107147;2849,763757;2596,714305;2643,119117;2812,296356;2880,292965;2611,254394;2729,760816;2749,561887;2759,496591;2770,041718;2845,729412;2709,689863;2574,793553;2693,416963;2323,112048;2710,581751;2752,911679;2732,385515;2695,210005;2644,950383;2643,179349;2619,442389;2647,929521
01/01/2014 21:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1765,005653;1579,344704;1475,68532;1558,293833;1626,61708;1529,295892;1643,948663;1828,897261;1517,746523;1550,053715;1770,982461;1876,087398;1527,288565;1643,417006;1674,011078;1689,367766;1705,666149;1822,659837;1614,679682;1504,09253;1595,304865;1375,851788;1615,843769;1679,187503;1647,460617;1597,280918;1551,459886;1550,100047;1532,869235;1553,777636
01/01/2014 22:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1772,543844;1376,794641;1162,491348;1332,704104;1476,932805;1272,481978;1513,924146;1909,039761;1248,651196;1315,531207;1785,312899;2009,855528;1268,335278;1512,787858;1578,147026;1610,953444;1645,774138;1895,714724;1451,517474;1220,577576;1410,439665;961,411163;1453,993911;1589,206436;1521,427587;1414,619955;1318,458221;1315,627346;1279,871906;1323,284841
01/01/2014 23:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1760,14081;1393,04785;1185,804372;1351,158075;1486,730831;1293,275708;1520,98396;1886,364958;1270,168861;1334,729963;1771,949638;1979,593887;1289,262212;1519,932227;1580,374429;1610,712518;1642,911989;1874,043006;1463,11665;1242,816859;1424,731879;985,138856;1465,420501;1590,601025;1527,922153;1428,651553;1337,534198;1334,821469;1300,417761;1342,154641
02/01/2014 00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1541,767265;1604,405596;1055,399933;1450,523656;1476,866782;1374,618203;1341,494412;1732,492285;1413,952777;1442,631027;1552,398106;1691,236098;1352,757682;1480,874486;1520,743035;1482,489151;1491,998761;1446,652631;1521,43917;1314,220016;1401,214995;1274,764979;1541,826338;1501,355476;1531,033336;1481,577572;1174,687047;1372,044469;1384,82974;1309,081815
02/01/2014 01:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1508,761621;1562,479914;1052,45902;1430,011392;1453,047583;1360,802048;1329,67516;1672,326915;1397,128527;1423,002543;1517,878569;1636,945606;1340,303684;1456,508572;1490,731585;1457,900843;1466,078413;1426,58052;1491,328108;1303,777978;1385,457537;1266,001312;1508,812586;1474,104246;1499,556642;1457,11436;1169,069311;1358,398584;1370,3105;1298,877227
02/01/2014 02:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1502,290221;1550,283057;1069,19408;1431,608682;1452,476543;1367,115919;1337,545781;1648,424319;1401,247428;1425,190564;1510,435358;1616,813263;1347,669288;1455,584251;1486,18064;1456,832894;1464,153325;1428,470859;1486,713456;1312,78952;1390,336279;1276,49084;1502,334236;1471,325494;1494,065161;1456,12865;1182,70593;1364,841026;1376,09503;1308,091472
02/01/2014 03:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1539,598935;1581,092573;1119,738643;1477,911565;1496,466309;1417,401024;1388,691499;1665,943546;1449,906284;1472,085336;1546,641375;1638,61471;1398,563656;1499,182513;1525,671584;1500,270153;1506,624565;1475,070265;1526,132586;1364,392766;1439,610191;1328,45779;1539,638317;1512,828398;1532,488156;1499,656256;1234,537359;1415,207211;1426,030329;1359,76074
02/01/2014 04:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1863,802511;1878,576576;1496,075963;1839,058991;1848,130766;1794,642973;1769,289032;1908,789569;1820,636294;1835,645493;1866,310221;1899,058724;1778,196328;1849,23578;1858,842687;1849,66435;1852,050439;1837,425794;1859,007165;1746,703418;1812,814321;1711,997395;1863,81641;1854,269735;1861,270476;1849,423424;1616,793572;1792,770008;1801,88464;1742,307685
02/01/2014 05:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2334,845587;2349,025446;1906,918921;2310,143766;2319,69855;2259,658277;2230,126362;2378,022228;2289,559688;2306,408262;2337,252526;2368,682888;2240,52786;2320,805881;2330,086148;2321,232134;2323,562625;2308,363465;2330,243677;2203,662773;2280,624593;2162,827048;2334,859486;2325,697365;2332,415482;2320,992367;2050,233727;2257,486472;2268,042023;2198,500248
02/01/2014 06:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2655,679679;2721,395603;2042,777775;2558,643432;2587,442145;2468,24422;2426,370662;2855,77763;2516,297288;2549,732661;2666,832911;2812,494425;2440,724266;2591,710466;2633,62109;2593,424744;2603,459062;2554,290555;2634,351975;2391,197845;2500,977665;2339,491512;2655,741069;2613,281412;2644,417567;2592,457567;2205,429175;2465,028791;2480,919454;2384,514477
02/01/2014 07:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2349,813088;2390,318699;1801,971512;2287,83151;2307,508643;2214,250757;2176,623511;2473,148446;2255,131656;2281,295246;2356,687574;2446,469414;2189,68214;2310,246855;2336,217009;2311,335653;2317,617092;2284,663571;2336,666428;2144,061494;2242,442523;2095,079473;2349,851311;2323,679613;2342,87142;2310,721756;1964,224457;2211,416407;2225,320592;2137,796271
02/01/2014 08:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2149,922472;2181,57291;1687,560824;2101,057439;2116,818372;2039,985124;2008,215381;2246,293857;2074,183813;2095,74086;2155,294649;2225,448004;2019,263208;2118,979753;2139,299739;2119,836892;2124,764283;2098,484863;2139,650703;1980,592338;2063,618995;1938,890207;2149,952588;2129,502872;2144,49933;2119,353882;1826,973331;2037,599034;2049,286241;1975,267651
