TimeZone;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1
DateTime;Test case 00;Test case 01;Test case 02;Test case 03;Test case 04;Test case 05;Test case 06;Test case 07;Test case 08;Test case 09;Test case 10;Test case 11;Test case 12;Test case 13;Test case 14;Test case 15;Test case 16;Test case 17;Test case 18;Test case 19;Test case 20;Test case 21;Test case 22;Test case 23;Test case 24;Test case 25;Test case 26;Test case 27;Test case 28;Test case 29;Test case 30;Test case 31;Test case 32;Test case 33;Test case 34;Test case 35;Test case 36;Test case 37;Test case 38;Test case 39;Test case 40;Test case 41;Test case 42;Test case 43;Test case 44;Test case 45;Test case 46;Test case 47;Test case 48;Test case 49;Test case 50;Test case 51
01/01/2030 00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-7,3675;-1,0032;0,8066;-6,958;-6,5143;0,8338;-7,8087;-8,6088;-0,3532;-1,2955;-1,363;-8,8259;-2,4235;0,067;-5,5812;-8,0445;-13,396;0,7139;-8,0289;-1,5373;-1,2219;5,3059;-8,2306;-4,7843;-2,7015;-8,7962;2,3709;-4,3047;-4,903;-10,2339
01/01/2030 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-7,3675;-1,0032;0,8066;-6,958;-6,5143;0,8338;-7,8087;-8,6088;-0,3532;-1,2955;-1,363;-8,8259;-2,4235;0,067;-5,5812;-8,0445;-13,396;0,7139;-8,0289;-1,5373;-1,2219;5,3059;-8,2306;-4,7843;-2,7015;-8,7962;2,3709;-4,3047;-4,903;-10,2339
01/01/2030 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-7,7362;-1,083;0,9061;-7,0593;-6,6429;0,7731;-7,7469;-8,9046;-0,6637;-1,8502;-1,5038;-8,8119;-2,3273;0,1047;-5,474;-7,1737;-13,7458;0,6447;-8,3376;-1,6016;-1,3654;5,4936;-8,4581;-5,1353;-2,8379;-8,9444;2,5081;-4,4338;-4,8709;-10,4075
01/01/2030 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-8,0737;-1,1538;0,9037;-7,1552;-6,7535;0,7069;-7,7678;-9,117;-0,9941;-2,2684;-1,5577;-8,8495;-2,2866;0,1228;-5,3602;-6,2224;-14,1019;0,5433;-8,5261;-1,6727;-1,4549;5,6467;-8,5874;-5,7291;-2,724;-9,0845;2,5976;-4,583;-4,5822;-10,5759
01/01/2030 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-8,4951;-1,2606;0,7687;-7,0457;-6,8328;0,4784;-7,853;-9,1412;-1,2261;-2,6363;-1,7447;-8,6971;-2,3736;0,0291;-5,3438;-5,2564;-14,4;0,369;-8,6917;-1,8203;-1,5778;5,7876;-8,7557;-6,3802;-2,576;-9,3178;2,6738;-4,6727;-3,9586;-10,7338
01/01/2030 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-9,0449;-1,3659;0,5152;-6,9345;-6,9157;0,1457;-8,067;-9,0715;-1,3686;-2,8903;-2,1738;-8,4252;-2,4991;-0,1069;-5,3037;-4,3824;-14,5888;0,1592;-8,869;-2,0272;-1,6795;5,9426;-8,8927;-7,0548;-2,445;-9,5028;2,7518;-4,6181;-3,4328;-10,857
01/01/2030 06:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-9,6891;-1,3845;0,2876;-6,9275;-7,0064;-0,1586;-8,4195;-9,018;-1,6266;-3,0853;-2,5367;-8,1963;-2,5234;-0,208;-5,3177;-3,6676;-14,7125;-0,2048;-8,9447;-2,2154;-1,7665;6,0613;-9,0256;-7,6929;-2,1826;-9,5473;2,8191;-4,3516;-3,1356;-10,8734
01/01/2030 07:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-10,3019;-1,252;0,2722;-7,0092;-7,1014;-0,4719;-8,9001;-8,9921;-1,7448;-3,335;-2,8082;-8,0471;-2,5386;-0,3116;-5,296;-3,4799;-14,7368;-0,6427;-8,9094;-2,3883;-1,9438;5,986;-9,2105;-8,2945;-1,9807;-9,6362;2,843;-4,048;-2,9532;-10,7957
01/01/2030 08:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-10,632;-0,7368;0,3557;-6,7476;-6,7683;-0,7321;-8,9236;-8,6631;-1,947;-3,5004;-2,7512;-7,6595;-2,2638;-0,3211;-4,9238;-3,2777;-14,2874;-0,9132;-8,402;-2,4008;-2,1754;5,5941;-8,942;-8,7251;-1,7125;-9,2397;2,937;-3,7346;-2,6074;-10,1996
