TimeZone;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1
DateTime;Test case 00;Test case 01;Test case 02;Test case 03;Test case 04;Test case 05;Test case 06;Test case 07;Test case 08;Test case 09;Test case 10;Test case 11;Test case 12;Test case 13;Test case 14;Test case 15;Test case 16;Test case 17;Test case 18;Test case 19;Test case 20;Test case 21;Test case 22;Test case 23;Test case 24;Test case 25;Test case 26;Test case 27;Test case 28;Test case 29;Test case 30;Test case 31;Test case 32;Test case 33;Test case 34;Test case 35;Test case 36;Test case 37;Test case 38;Test case 39;Test case 40;Test case 41;Test case 42;Test case 43;Test case 44;Test case 45;Test case 46;Test case 47;Test case 48;Test case 49;Test case 50;Test case 51
01/01/2030 00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,1138;3,0799;2,7204;-0,1617;3,2101;3,7842;-0,8789;-2,0767;5,8393;5,6593;4,6277;6,9394;1,0879;2,1459;7,2052;5,2532;4,3269;3,8596;2,5209;4,5579;3,1015;-1,7676;-1,1817;-5,1186;5,861;2,5459;3,5283;2,2938;3,2498;6,3816
01/01/2030 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,1138;3,0799;2,7204;-0,1617;3,2101;3,7842;-0,8789;-2,0767;5,8393;5,6593;4,6277;6,9394;1,0879;2,1459;7,2052;5,2532;4,3269;3,8596;2,5209;4,5579;3,1015;-1,7676;-1,1817;-5,1186;5,861;2,5459;3,5283;2,2938;3,2498;6,3816
01/01/2030 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,9178;3,0063;2,5072;-0,3908;2,9633;3,6162;-0,9335;-2,0723;5,7887;5,7212;4,5335;6,7999;0,8689;1,9004;7,1219;5,1574;4,3005;3,7897;2,3299;4,5405;2,9759;-2,0496;-1,3343;-5,1449;5,8741;2,3633;3,4829;2,1762;3,0895;6,3143
01/01/2030 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,7162;2,9413;2,2591;-0,6276;2,7358;3,4685;-0,9726;-2,0591;5,7323;5,7464;4,4565;6,6555;0,6476;1,6767;7,0632;5,0879;4,2851;3,7253;2,1634;4,5439;2,877;-2,2731;-1,4335;-5,1778;5,9016;2,1837;3,4684;2,0975;2,9358;6,2637
01/01/2030 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,5214;2,9432;1,9622;-0,8237;2,4805;3,3172;-1,0087;-2,0641;5,613;5,7796;4,3622;6,4968;0,4074;1,3919;6,969;4,9546;4,2449;3,6267;2,0267;4,5084;2,7663;-2,4689;-1,4971;-5,2704;5,905;1,9951;3,4258;1,9975;2,7702;6,1827
01/01/2030 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,3728;3,0034;1,6318;-0,9842;2,2182;3,1935;-1,0435;-2,0372;5,5126;5,8177;4,2675;6,3492;0,1473;1,0928;6,8663;4,8201;4,2101;3,5762;1,9122;4,4493;2,6545;-2,6132;-1,5612;-5,337;5,8994;1,8552;3,3952;1,8866;2,6364;6,0921
01/01/2030 06:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,8302;3,4837;1,8544;-0,5698;2,4934;3,9234;-0,8826;-1,5176;5,9641;6,0726;4,7874;6,8466;0,5397;1,3213;7,6142;5,2135;4,7721;4,1119;2,4441;5,0858;3,2236;-2,0267;-1,0903;-4,8982;6,5899;2,406;3,7203;2,5665;3,2895;6,3804
01/01/2030 07:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,0374;4,464;2,9494;0,5772;3,4627;5,7437;-0,3358;-0,2504;6,9539;6,6415;6,0923;7,9995;1,8797;2,4081;9,3828;6,2377;5,9148;5,1728;3,8493;6,7692;4,5595;-0,4004;0,2235;-3,6049;7,9987;3,6395;4,5792;4,1411;4,7522;7,0463
01/01/2030 08:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,5604;5,5574;4,3122;2,0787;4,7319;7,6585;0,3314;1,0623;8,1478;7,3632;7,8402;9,5636;3,542;3,891;11,2703;7,6162;7,2819;6,3668;5,6859;8,4735;5,8915;1,6692;1,8226;-2,2386;9,6265;5,4659;5,7164;6,0507;6,5217;7,9344
01/01/2030 09:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,9858;6,4861;5,5363;3,4408;5,8368;9,5529;0,8828;2,1882;9,4517;8,0666;9,4736;11,0316;4,7561;5,328;13,3136;8,892;8,4543;7,5114;7,201;10,0629;7,3008;3,5812;3,5015;-1,056;11,3274;7,0843;6,8135;7,7898;8,4374;8,803
01/01/2030 10:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,8645;7,0819;6,2332;4,1684;6,5857;10,8122;1,1291;3,012;10,2513;8,6172;10,5856;11,8379;5,3181;6,4436;14,5774;9,7377;8,9704;8,2565;8,0018;11,0717;8,2873;4,8976;4,7663;-0,2077;12,5687;8,0141;7,54;8,7692;9,6681;9,2916
01/01/2030 11:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,2479;7,3631;6,5237;4,479;6,9759;11,2283;1,1523;3,482;10,6974;8,9897;11,1456;12,0584;5,4518;7,1073;15,0614;10,1733;9,0701;8,6197;8,3022;11,4314;8,6884;5,5277;5,3616;0,2574;13,1926;8,3666;7,8018;9,2521;10,0982;9,4136
01/01/2030 12:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,1542;7,3472;6,4594;4,4123;6,9525;10,973;1,0073;3,5755;10,7112;9,0995;11,1671;11,8355;5,1995;7,2312;14,8623;10,1927;8,8013;8,5436;8,1637;11,2648;8,6283;5,5466;5,4051;0,3198;13,2586;8,2096;7,6695;9,1837;9,8969;9,1952
01/01/2030 13:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,6225;7,0413;5,9457;3,9364;6,4489;10,07;0,6638;3,2762;10,2965;8,9508;10,6178;11,2534;4,565;6,7367;13,9052;9,7264;8,1743;8,053;7,5707;10,5162;8,0776;4,9704;4,9344;-0,0177;12,7811;7,5005;7,1672;8,57;9,061;8,7038
01/01/2030 14:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,7226;6,4526;4,7125;2,9656;5,3532;8,297;0,1118;2,4724;9,4365;8,5178;9,3076;10,1506;3,5031;5,4979;11,9147;8,7275;7,1593;7,1054;6,4144;9,0223;6,7273;3,5325;3,8725;-0,7928;11,6647;6,247;6,2751;7,064;7,3109;7,9227
