TimeZone;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1
DateTime;Test case 00;Test case 01;Test case 02;Test case 03;Test case 04;Test case 05;Test case 06;Test case 07;Test case 08;Test case 09;Test case 10;Test case 11;Test case 12;Test case 13;Test case 14;Test case 15;Test case 16;Test case 17;Test case 18;Test case 19;Test case 20;Test case 21;Test case 22;Test case 23;Test case 24;Test case 25;Test case 26;Test case 27;Test case 28;Test case 29;Test case 30;Test case 31;Test case 32;Test case 33;Test case 34;Test case 35;Test case 36;Test case 37;Test case 38;Test case 39;Test case 40;Test case 41;Test case 42;Test case 43;Test case 44;Test case 45;Test case 46;Test case 47;Test case 48;Test case 49;Test case 50;Test case 51
01/01/2030 00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,686;11,273;11,6762;8,7657;7,0786;11,3693;4,1753;8,458;10,2673;13,9324;11,7384;12,6212;10,6367;7,6294;7,4823;11,8337;11,3543;13,176;11,9747;9,4773;11,1534;9,0479;8,4636;6,6351;14,0364;10,082;6,7588;10,5476;9,9512;4,392
01/01/2030 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,686;11,273;11,6762;8,7657;7,0786;11,3693;4,1753;8,458;10,2673;13,9324;11,7384;12,6212;10,6367;7,6294;7,4823;11,8337;11,3543;13,176;11,9747;9,4773;11,1534;9,0479;8,4636;6,6351;14,0364;10,082;6,7588;10,5476;9,9512;4,392
01/01/2030 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,6807;11,2135;11,5199;8,5249;6,9098;11,2939;3,9364;8,4691;10,1899;13,8594;11,7092;12,4416;10,5881;7,6457;7,2972;11,8319;10,7346;13,1182;11,9311;9,3661;11,0538;9,0587;8,4692;6,6254;14,0891;10,003;6,5708;10,4671;9,9873;4,3169
01/01/2030 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,6631;11,1791;11,4308;8,2635;6,7655;11,2178;3,7303;8,4676;10,1045;13,7928;11,6792;12,2659;10,5375;7,652;7,1056;11,8243;10,1336;13,0408;11,8858;9,2525;10,9478;9,1019;8,4765;6,5827;14,1732;9,9247;6,3897;10,4199;10,0034;4,194
01/01/2030 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,5984;11,1773;11,3414;8,0781;6,6708;11,1728;3,6558;8,4362;10,0499;13,743;11,7539;12,0491;10,4807;7,6219;6,8829;11,7807;9,5841;12,9613;11,8461;9,1997;10,9301;9,1224;8,42;6,5717;14,3281;9,8781;6,2179;10,3719;9,9312;4,0024
01/01/2030 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,5255;11,196;11,2525;7,9314;6,612;11,1426;3,6268;8,343;10,0587;13,7054;11,887;11,8305;10,4286;7,6115;6,6718;11,7084;9,0901;12,9064;11,8063;9,195;10,9582;9,1669;8,3599;6,5595;14,4475;9,8512;6,0757;10,3216;9,8113;3,7736
01/01/2030 06:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,448;11,2003;11,2079;7,7987;6,6105;11,1456;3,6088;8,1986;10,0936;13,7173;12,0216;11,6185;10,3814;7,634;6,4793;11,6289;8,5706;12,8949;11,7686;9,1582;10,9957;9,2376;8,336;6,5626;14,5243;9,8314;5,9565;10,3003;9,7137;3,5561
01/01/2030 07:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,6987;11,4042;11,3683;7,9476;6,7629;11,3888;3,8446;8,127;10,3193;14,0198;12,2521;11,5297;10,6361;7,868;6,5049;11,6238;8,1292;13,0689;11,8388;9,1878;11,174;9,5996;8,4275;6,7769;14,9276;10,0445;6,1269;10,4159;9,7568;3,533
01/01/2030 08:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,4212;11,9374;11,7758;8,4464;7,1008;11,6325;4,4672;8,1648;10,5829;14,7129;12,5893;11,67;11,1057;8,2532;6,8019;11,7279;7,9037;13,4137;11,8959;9,1425;11,3869;10,0633;8,5339;6,9096;15,7886;10,2677;6,6519;10,616;9,9;3,8677
01/01/2030 09:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,2155;12,6519;12,3508;9,2809;7,5622;12,0947;5,2792;8,2819;11,1661;15,4539;12,9408;12,1524;11,7651;8,8577;7,4429;11,9173;7,8454;13,7441;12,1026;9,4728;11,8304;10,5429;8,776;7,5549;16,7978;10,875;7,4705;11,0306;10,2722;4,4125
01/01/2030 10:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,799;13,3577;12,8857;10,0391;7,9546;12,8467;5,8822;8,4013;11,9535;16,2443;13,2344;13,0219;12,6941;9,4073;8,0875;12,0876;7,8001;13,9891;12,3648;9,948;12,4715;11,5466;9,1413;8,4123;17,6478;11,807;8,3452;11,5713;10,7078;4,9872
01/01/2030 11:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,0221;13,8667;13,1771;10,5138;8,2069;13,4613;6,1982;8,4474;12,5252;16,8571;13,441;14,0496;13,2579;9,6931;8,5146;12,1496;7,7534;14,1125;12,5932;10,403;12,9711;12,3459;9,4742;8,9725;18,1287;12,3992;8,9416;12,0118;11,0609;5,422
01/01/2030 12:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,9748;14,0734;13,2028;10,7143;8,3216;13,7785;6,3157;8,3705;12,7915;17,2195;13,5405;14,7973;13,4952;9,72;8,7399;12,1422;7,6823;14,0486;12,6716;10,676;13,2418;12,7393;9,613;9,2554;18,269;12,5935;9,2412;12,255;11,2408;5,6636
01/01/2030 13:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,7218;14,0051;12,9963;10,6114;8,2865;13,7647;6,2271;8,1851;12,7696;17,2791;13,5256;15,1959;13,4062;9,563;8,7666;11,9793;7,4356;13,7958;12,5635;10,7697;13,2227;12,6947;9,592;9,2829;18,0619;12,4586;9,2866;12,2681;11,2668;5,7167
01/01/2030 14:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,2438;13,6078;12,6236;10,2146;8,0605;13,4488;5,9078;7,8882;12,4038;16,9506;13,386;15,0814;12,9351;9,2552;8,5762;11,6933;6,9493;13,3603;12,3697;10,6203;12,9397;12,1423;9,4188;9,075;17,4679;11,9738;9,0845;12,0234;11,0583;5,5581
01/01/2030 15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,5813;12,8686;12,1357;9,6754;7,6595;13,082;5,543;7,4922;11,9775;16,2849;13,1289;14,5189;12,3858;8,919;8,2836;11,2487;6,2372;12,8398;12,1587;10,7098;12,6709;11,4034;9,1658;9,1421;16,5334;11,5865;8,6886;11,8573;10,7186;5,2476
01/01/2030 16:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,0844;12,4395;11,8672;9,1922;7,399;12,8275;5,4464;7,1186;11,8303;15,6663;12,897;14,1508;12,0743;8,8813;8,0464;10,9547;5,6046;12,4457;11,9416;10,7745;12,6006;11,0516;9,1118;9,3282;15,7219;11,5094;8,2284;11,9844;10,5377;4,9537
01/01/2030 17:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,8345;12,2222;11,7973;8,8843;7,304;12,7297;5,352;6,8622;11,8195;15,3064;12,797;13,9922;11,9041;8,9183;7,7937;10,7408;5,1119;12,0781;11,7736;10,6293;12,5106;10,8357;9,0891;9,3609;15,2349;11,434;7,9693;11,9746;10,4452;4,7278
01/01/2030 18:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,602;11,9938;11,77;8,586;7,2203;12,6432;5,2418;6,6827;11,7912;15,023;12,6917;13,8592;11,7183;8,9402;7,5775;10,4859;4,6658;11,7046;11,6453;10,5141;12,3765;10,5963;9,0153;9,3915;14,8677;11,3524;7,7715;11,9408;10,363;4,5003
01/01/2030 19:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,3883;11,7748;11,7643;8,322;7,1343;12,5304;5,1425;6,5499;11,7466;14,8228;12,5544;13,7127;11,5352;8,9835;7,3751;10,2085;4,2697;11,3761;11,5621;10,4189;12,2433;10,3478;8,8553;9,4109;14,6075;11,3002;7,6288;11,888;10,2929;4,2838
01/01/2030 20:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,1926;11,5895;11,7891;8,0953;7,065;12,4016;5,0543;6,4568;11,7309;14,7147;12,4207;13,5156;11,3691;9,0463;7,1665;9,9493;3,9248;11,0919;11,495;10,3543;12,1523;10,1218;8,6306;9,4261;14,4227;11,2589;7,5233;11,8246;10,247;4,0759
01/01/2030 21:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,0197;11,4104;11,8026;7,9073;7,0019;12,2871;4,9954;6,3978;11,745;14,6509;12,3051;13,2791;11,2209;9,1;6,944;9,7315;3,6003;10,8096;11,4435;10,2916;12,0889;9,9171;8,4091;9,457;14,2612;11,2345;7,4465;11,7676;10,211;3,888
01/01/2030 22:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,8752;11,2565;11,7913;7,7806;6,9242;12,2883;4,8828;6,3034;11,7473;14,6449;12,1996;13,0296;11,0559;9,1286;6,7582;9,5748;3,2896;10,491;11,4107;10,2006;12,0599;9,9312;8,2042;9,49;14,1907;11,197;7,3926;11,7322;10,2046;3,7888
