TimeZone;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1
DateTime;Test case 00;Test case 01;Test case 02;Test case 03;Test case 04;Test case 05;Test case 06;Test case 07;Test case 08;Test case 09;Test case 10;Test case 11;Test case 12;Test case 13;Test case 14;Test case 15;Test case 16;Test case 17;Test case 18;Test case 19;Test case 20;Test case 21;Test case 22;Test case 23;Test case 24;Test case 25;Test case 26;Test case 27;Test case 28;Test case 29;Test case 30;Test case 31;Test case 32;Test case 33;Test case 34;Test case 35;Test case 36;Test case 37;Test case 38;Test case 39;Test case 40;Test case 41;Test case 42;Test case 43;Test case 44;Test case 45;Test case 46;Test case 47;Test case 48;Test case 49;Test case 50;Test case 51
01/01/2030 00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,5148;2,0747;1,0166;-0,1321;-2,8507;0,9706;-6,8915;-9,4696;-0,1501;-1,1474;-2,2199;-16,0072;1,0227;-5,515;-9,316;-4,1454;-6,8016;-6,5299;1,0509;-0,6349;-3,0745;-0,5293;-6,4947;-8,0459;4,7518;-6,3912;-2,8172;-2,8602;-0,4082;-7,3093
01/01/2030 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,5148;2,0747;1,0166;-0,1321;-2,8507;0,9706;-6,8915;-9,4696;-0,1501;-1,1474;-2,2199;-16,0072;1,0227;-5,515;-9,316;-4,1454;-6,8016;-6,5299;1,0509;-0,6349;-3,0745;-0,5293;-6,4947;-8,0459;4,7518;-6,3912;-2,8172;-2,8602;-0,4082;-7,3093
01/01/2030 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,5738;2,0783;1,0646;-0,2575;-2,9694;1,0131;-7,3495;-9,846;0,166;-1,0328;-2,1492;-15,9772;1,0532;-5,7481;-9,6642;-4,2204;-6,9748;-6,6473;1,0187;-0,5116;-1,8193;-0,4633;-6,531;-8,1079;4,5407;-6,1601;-2,9433;-3,0284;-0,6327;-7,4941
01/01/2030 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,6884;2,0038;1,1133;-0,3704;-3,1063;1,0448;-8,0308;-10,2945;0,4197;-0,8724;-2,0888;-16,0048;0,923;-5,9939;-10,0345;-4,3005;-7,2228;-6,7664;0,9815;-0,3855;-0,6555;-0,2078;-6,6028;-8,1998;4,2934;-6,0308;-3,0478;-3,1956;-0,7117;-7,5681
01/01/2030 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,8237;2,0799;1,0711;-0,4731;-3,3277;1,0966;-8,4663;-10,663;0,6052;-0,6949;-2,0989;-15,9845;0,6455;-6,3704;-10,4277;-4,4258;-7,6174;-7,1071;0,8551;-0,3435;-0,0591;0,2154;-6,7055;-8,269;4,1359;-6,0961;-3,229;-3,379;-0,686;-7,3653
01/01/2030 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,9533;2,2528;1,0178;-0,6243;-3,5905;1,1551;-8,8148;-10,9223;0,8065;-0,5052;-2,1477;-15,7075;0,377;-6,7824;-10,8273;-4,5812;-8,1183;-7,5596;0,6701;-0,3849;0,2253;0,6319;-6,813;-8,3285;4,0094;-6,2847;-3,4821;-3,5826;-0,6653;-7,1335
01/01/2030 06:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-4,0854;2,3715;0,9831;-0,7578;-3,8692;1,2121;-9,1882;-11,0716;0,9769;-0,3147;-2,1851;-15,1482;0,1962;-7,1606;-11,2022;-4,7078;-8,623;-7,9307;0,5019;-0,4623;0,399;1,0104;-6,8906;-8,3593;3,8176;-6,5224;-3,7181;-3,8358;-0,6889;-7,0049
01/01/2030 07:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-4,1894;2,4453;1,0067;-0,8834;-4,0785;1,2914;-9,315;-11,0911;1,075;-0,1255;-2,2227;-14,5646;0,1579;-7,4348;-11,5056;-4,5883;-9,0109;-8,1333;0,3793;-0,4244;0,575;1,3815;-6,9354;-8,3059;3,5944;-6,7708;-3,8079;-4,039;-0,6341;-6,8601
01/01/2030 08:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,9657;3,2569;1,4474;-0,2911;-3,6614;1,5314;-7,535;-10,2097;1,4436;0,3166;-2,1003;-13,9404;0,5514;-6,8354;-10,9066;-3,2204;-8,344;-7,3593;0,5133;0,4565;0,862;1,9417;-6,5141;-7,6164;3,7001;-6,5086;-2,9939;-3,6514;0,1978;-6,0308
