TimeZone;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1
DateTime;Test case 00;Test case 01;Test case 02;Test case 03;Test case 04;Test case 05;Test case 06;Test case 07;Test case 08;Test case 09;Test case 10;Test case 11;Test case 12;Test case 13;Test case 14;Test case 15;Test case 16;Test case 17;Test case 18;Test case 19;Test case 20;Test case 21;Test case 22;Test case 23;Test case 24;Test case 25;Test case 26;Test case 27;Test case 28;Test case 29;Test case 30;Test case 31;Test case 32;Test case 33;Test case 34;Test case 35;Test case 36;Test case 37;Test case 38;Test case 39;Test case 40;Test case 41;Test case 42;Test case 43;Test case 44;Test case 45;Test case 46;Test case 47;Test case 48;Test case 49;Test case 50;Test case 51
01/01/2030 00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-11,4987;-12,3304;-4,6054;-1,7044;-7,4733;0,0667;-7,2502;-14,6093;0,9181;-0,1201;-20,3751;-23,211;-5,6155;-8,8434;-8,1814;-2,6202;-9,218;-12,224;-2,4388;-0,1665;-8,8866;3,5335;-4,8873;-6,7746;-9,2156;-7,7824;-2,1211;0,7817;-3,924;-2,1284
01/01/2030 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-11,4987;-12,3304;-4,6054;-1,7044;-7,4733;0,0667;-7,2502;-14,6093;0,9181;-0,1201;-20,3751;-23,211;-5,6155;-8,8434;-8,1814;-2,6202;-9,218;-12,224;-2,4388;-0,1665;-8,8866;3,5335;-4,8873;-6,7746;-9,2156;-7,7824;-2,1211;0,7817;-3,924;-2,1284
01/01/2030 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-11,7127;-12,1109;-4,7897;-1,7694;-7,4827;-0,1949;-7,2767;-14,7265;0,8719;-0,0566;-20,5032;-23,4154;-5,5185;-8,9358;-8,3635;-2,709;-9,0544;-11,5096;-2,5371;-0,2088;-8,6497;3,3494;-4,8944;-6,7552;-9,1698;-7,5031;-2,2765;0,6632;-3,7943;-1,9084
01/01/2030 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-11,9664;-11,9701;-4,955;-1,8459;-7,4933;-0,4696;-7,2629;-14,8496;0,8252;0,0272000000001;-20,6398;-23,486;-5,4227;-9,0171;-8,5725;-2,7746;-8,9064;-10,7888;-2,6531;-0,1633;-8,304;3,1324;-4,9414;-6,7547;-9,1454;-7,2135;-2,4288;0,4809;-3,6235;-1,6985
01/01/2030 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-12,2206;-11,8685;-4,9695;-1,9239;-7,5186;-0,8236;-7,2655;-15,1258;0,6985;-0,046;-20,9097;-23,3406;-5,4463;-9,2126;-8,8759;-2,8563;-8,8742;-10,2644;-2,839;-0,1566;-8,0609;2,8589;-5,1209;-6,7716;-9,1903;-6,8524;-2,6393;0,0483;-3,5213;-1,4957
01/01/2030 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-12,4559;-11,8506;-4,8252;-1,9699;-7,5464;-1,2022;-7,274;-15,5178;0,5553;-0,1916;-21,2464;-23,0541;-5,5106;-9,4444;-9,2318;-2,9469;-8,9643;-10,0091;-3,0335;-0,1755;-7,955;2,5852;-5,378;-6,7764;-9,3624;-6,3251;-2,839;-0,5086;-3,4334;-1,2812
01/01/2030 06:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-12,657;-11,8998;-4,5685;-2,0419;-7,5883;-1,5408;-7,3284;-16,0096;0,4176;-0,3664;-21,5309;-22,7551;-5,5538;-9,6491;-9,5897;-3,0211;-9,1226;-9,9504;-3,1885;-0,2192;-7,9236;2,3214;-5,6435;-6,7567;-9,6913;-5,6253;-3,0184;-1,037;-3,3377;-1,0633
01/01/2030 07:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-12,7992;-11,9324;-4,1989;-2,1715;-7,6239;-1,8167;-7,4456;-16,5058;0,3204;-0,5325;-21,6663;-22,3997;-5,5532;-9,8142;-9,8531;-3,0722;-9,2916;-10,0594;-3,2936;-0,2839;-7,8273;2,1562;-5,8957;-6,6852;-10,0306;-4,8486;-3,1568;-1,4779;-3,2095;-0,8398
01/01/2030 08:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-12,3798;-11,6561;-3,5011;-2,0643;-7,2495;-1,8756;-7,273;-16,5527;0,309;-0,4615;-21,2466;-21,4858;-5,2725;-9,6356;-9,4802;-2,8646;-9,2033;-9,9407;-3,2397;-0,1965;-7,2268;2,2253;-5,835;-6,2176;-9,9022;-3,9563;-2,8591;-1,5414;-2,8202;-0,4786
01/01/2030 09:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-11,28;-10,9209;-2,5529;-1,7619;-6,4995;-1,6976;-6,8236;-16,1569;0,3438;-0,0614;-19,8204;-19,6789;-4,6959;-8,9917;-8,1984;-2,4232;-8,7613;-9,2698;-3,0346;0,0267;-6,2101;2,3942;-5,4755;-5,4345;-9,132;-2,9526;-2,208;-1,25;-2,1578;-0,000999999999976
01/01/2030 10:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-9,9663;-10,1646;-1,642;-1,6337;-5,6377;-1,4183;-6,0447;-15,3789;0,434;0,5658;-18,0475;-17,7335;-4,008;-8,0743;-6,9562;-1,9654;-8,2378;-8,6787;-2,8028;0,2639;-5,0848;2,6074;-4,9337;-4,6102;-8,1827;-1,9911;-1,405;-0,7481;-1,4438;0,4683
01/01/2030 11:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-8,8309;-9,6371;-0,8999;-1,8147;-4,8449;-1,1842;-5,2082;-14,5079;0,5041;1,1174;-16,7358;-16,2518;-3,3769;-7,2036;-6,0919;-1,6191;-7,8664;-8,3781;-2,6367;0,4279;-4,0308;2,7756;-4,4823;-3,9116;-7,3143;-1,2557;-0,8109;-0,261;-0,9112;0,8126
