TimeZone;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1
DateTime;Test case 00;Test case 01;Test case 02;Test case 03;Test case 04;Test case 05;Test case 06;Test case 07;Test case 08;Test case 09;Test case 10;Test case 11;Test case 12;Test case 13;Test case 14;Test case 15;Test case 16;Test case 17;Test case 18;Test case 19;Test case 20;Test case 21;Test case 22;Test case 23;Test case 24;Test case 25;Test case 26;Test case 27;Test case 28;Test case 29;Test case 30;Test case 31;Test case 32;Test case 33;Test case 34;Test case 35;Test case 36;Test case 37;Test case 38;Test case 39;Test case 40;Test case 41;Test case 42;Test case 43;Test case 44;Test case 45;Test case 46;Test case 47;Test case 48;Test case 49;Test case 50;Test case 51
01/01/2030 00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-8,719;5,488;1,3345;0,6845;-5,475;5,011;-1,9225;-6,9945;2,804;1,293;-0,045;-17,187;4,7425;0,5995;-1,0405;-3,4285;-8,437;-2,2405;-2,703;3,456;0,704;9,862;0,5435;0,0985;-1,6595;-5,2365;8,9315;2,922;1,588;-2,84
01/01/2030 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-8,719;5,488;1,3345;0,6845;-5,475;5,011;-1,9225;-6,9945;2,804;1,293;-0,045;-17,187;4,7425;0,5995;-1,0405;-3,4285;-8,437;-2,2405;-2,703;3,456;0,704;9,862;0,5435;0,0985;-1,6595;-5,2365;8,9315;2,922;1,588;-2,84
01/01/2030 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-8,764;5,4975;1,6435;0,872;-5,4815;4,6095;-2,076;-7,2675;2,275;1,2195;-0,209;-17,7255;4,4585;0,2655;-0,728;-3,425;-8,4905;-1,786;-2,609;3,2085;0,5755;10,2635;0,2205;0,0655;-2,163;-5,3275;8,8535;2,693;1,6075;-2,9135
01/01/2030 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-8,8865;5,4455;1,9195;0,993;-5,4005;4,2905;-2,148;-7,5415;1,8955;0,9185;-0,3715;-18,201;4,2465;0,1985;-0,1075;-3,4465;-8,5825;-1,503;-2,583;2,982;0,472;10,376;-0,1095;-0,0775;-2,5365;-5,3155;8,843;2,6725;1,789;-2,8525
01/01/2030 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-8,9655;5,296;2,084;1,0245;-5,17;4,005;-2,32;-7,723;1,573;0,4995;-0,57;-18,4025;4,1425;0,1875;0,2495;-3,2835;-8,7205;-1,2435;-2,701;2,895;0,413;9,9185;-0,3715;-0,2735;-2,587;-5,08;8,8915;2,686;2,136;-2,679
01/01/2030 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-8,9375;5,0765;2,254;1,0995;-4,9605;3,561;-2,568;-7,8505;1,1485;0,211;-0,7925;-18,456;4,109;0,2735;0,422;-2,7675;-8,9905;-1,052;-2,8515;2,8685;0,3775;8,8745;-0,4995;-0,7215;-2,4835;-4,829;8,9505;2,5725;2,536;-2,4715
01/01/2030 06:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-9,055;4,8865;2,454;1,0445;-4,613;3,175;-2,741;-7,992;0,7375;0,2425;-0,9345;-18,443;4,111;0,389;0,4745;-1,9385;-9,4205;-0,8525;-2,944;2,821;0,351;7,814;-0,5765;-1,4235;-2,39;-4,8425;9,058;2,4165;2,75;-2,443
01/01/2030 07:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-9,56;4,707;2,656;0,908;-4,3345;2,831;-2,8305;-8,18;0,399;0,321;-1,0545;-18,41;4,1335;0,656;0,4415;-1,149;-9,9405;-0,8115;-2,9935;2,738;0,302;7,0495;-0,7335;-2,147;-2,355;-4,8845;9,128;2,2215;2,956;-2,6275
01/01/2030 08:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-10,2315;4,4785;2,835;0,991;-4,0905;2,4265;-2,9425;-8,3365;0,1305;0,143;-1,1995;-18,296;4,1775;1,095;0,3765;-0,705;-10,3885;-0,7835;-3,043;2,612;0,199;6,5685;-0,778;-3,165;-2,317;-4,9175;9,209;2,1135;3,1795;-3,0535
