TimeZone;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1
DateTime;Test case 00;Test case 01;Test case 02;Test case 03;Test case 04;Test case 05;Test case 06;Test case 07;Test case 08;Test case 09;Test case 10;Test case 11;Test case 12;Test case 13;Test case 14;Test case 15;Test case 16;Test case 17;Test case 18;Test case 19;Test case 20;Test case 21;Test case 22;Test case 23;Test case 24;Test case 25;Test case 26;Test case 27;Test case 28;Test case 29;Test case 30;Test case 31;Test case 32;Test case 33;Test case 34;Test case 35;Test case 36;Test case 37;Test case 38;Test case 39;Test case 40;Test case 41;Test case 42;Test case 43;Test case 44;Test case 45;Test case 46;Test case 47;Test case 48;Test case 49;Test case 50;Test case 51
01/01/2030 00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-6,8731;1,0359;0,3185;-2,0785;-5,1227;1,752;-6,6043;-9,4593;0,0558;2,2697;-3,4912;-11,2941;1,5962;-2,2562;-11,4123;-10,8597;-6,4691;-2,3259;-0,1226;-2,1803;-0,893;2,0596;-5,2969;-4,1111;4,5713;-6,3402;-0,5764;-2,2674;0,7106;-17,916
01/01/2030 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-6,8731;1,0359;0,3185;-2,0785;-5,1227;1,752;-6,6043;-9,4593;0,0558;2,2697;-3,4912;-11,2941;1,5962;-2,2562;-11,4123;-10,8597;-6,4691;-2,3259;-0,1226;-2,1803;-0,893;2,0596;-5,2969;-4,1111;4,5713;-6,3402;-0,5764;-2,2674;0,7106;-17,916
01/01/2030 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-7,1024;0,8592;0,4867;-2,2425;-5,2981;1,6408;-7,1442;-9,4702;0,3811;2,5506;-3,3949;-11,4965;1,855;-2,12;-11,3314;-11,2424;-6,3808;-2,8289;-0,3789;-2,091;-0,2081;2,6721;-5,4105;-3,5989;4,4034;-6,3593;-0,9039;-2,2436;0,6507;-17,7273
01/01/2030 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-7,4335;0,7768;0,5478;-2,37;-5,4682;1,5468;-7,6381;-9,4548;0,6033;2,7084;-3,3802;-11,6963;2,0709;-2,0202;-11,2872;-11,6676;-6,4927;-3,2823;-0,6623;-1,9655;0,3427;3,3276;-5,4253;-3,2016;4,1969;-6,3838;-1,2564;-2,1817;0,5483;-17,111
01/01/2030 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-7,9056;0,7659;0,4243;-2,3868;-5,6706;1,5536;-8,0169;-9,3756;0,7786;2,842;-3,5026;-11,9118;2,0727;-2,0112;-11,2894;-11,9474;-6,7106;-3,6474;-0,881;-1,8573;0,764;3,7;-5,3389;-2,8358;4,1157;-6,4749;-1,8518;-2,0525;0,4035;-16,3218
01/01/2030 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-8,3465;0,787;0,3448;-2,3935;-5,8752;1,5813;-8,3191;-9,2146;1,069;2,7375;-3,7433;-12,1566;2,0621;-1,8908;-10,9551;-12,1236;-7,0708;-4,0126;-1,0587;-1,8142;0,882;3,8944;-5,3659;-2,5772;4,0053;-6,5516;-2,5506;-1,8857;0,1204;-15,5934
01/01/2030 06:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-8,71;0,902;0,2986;-2,4432;-6,0901;1,5838;-8,5664;-9,1366;1,4215;2,2895;-3,9091;-12,2128;2,0409;-1,7823;-10,2851;-12,3332;-7,5467;-4,3691;-1,3077;-1,698;0,957;4,0975;-5,4659;-2,4148;3,7962;-6,5644;-3,0817;-1,711;-0,2365;-14,9565
01/01/2030 07:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-8,9913;0,9406;0,3601;-2,5197;-6,2864;1,6143;-8,6834;-9,0588;1,5534;1,8992;-3,9199;-12,0069;1,994;-1,9364;-10,2972;-12,4346;-8,0094;-4,6406;-1,5673;-1,52;1,0065;4,2682;-5,6358;-2,3372;3,4072;-6,4828;-3,3034;-1,5126;-0,5284;-14,1676
01/01/2030 08:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-8,5085;1,4086;0,7641;-1,6383;-5,9705;1,7866;-6,7028;-8,3507;1,6156;2,0608;-3,5842;-11,1712;2,603;-1,589;-9,1052;-9,7972;-7,0815;-4,2078;-1,141;0,1071;1,052;4,4603;-4,7445;-1,827;4,0827;-4,6166;-2,0367;-0,2335;-0,2632;-11,3278
01/01/2030 09:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-7,3465;2,3677;1,5504;0,3378;-4,7497;2,2077;-2,9626;-7,0804;1,6751;2,5489;-2,7434;-9,5142;3,8307;-0,8379;-4,706;-4,4212;-5,0586;-2,9125;-0,00309999999996;1,834;1,0502;4,6823;-2,3888;-0,9773;5,1336;-1,8155;-0,0181;1,8401;0,5757;-7,0992
01/01/2030 10:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5,7138;3,3053;2,5965;2,3447;-2,9944;2,5809;-0,8653;-5,8897;1,5958;3,0721;-1,6986;-7,1695;4,7773;-0,00839999999999;-1,8844;-1,6384;-3,228;-1,4726;0,9278;2,8714;1,0448;4,9559;-0,629;-0,5287;5,9184;-0,0982;1,5238;3,8807;2,0031;-4,6456
01/01/2030 11:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-4,0215;4,0997;3,6308;3,7604;-1,4928;2,6049;1,099;-5,0133;1,6634;3,5844;-0,9435;-4,838;5,7671;0,4946;-0,3915;-0,4145;-1,661;-0,165;1,576;4,1437;1,0021;5,1971;0,3473;0,06;6,5515;1,5969;2,9055;5,3954;3,4418;-2,4747
